N,n_core,n_cid,lifespan_mean,lifespan_median,lifespan_p25,lifespan_p75
500,2,4405,1106.583427922815,500.0,500.0,1000.0
500,3,518,3537.644787644788,1500.0,500.0,4000.0
500,4,445,7421.348314606742,3500.0,1000.0,12500.0
500,5,923,10640.845070422536,7500.0,2500.0,18500.0
500,6,27,10907.407407407407,7000.0,3000.0,18250.0
500,7,25,13640.0,13000.0,8500.0,22500.0
500,8,14,11285.714285714286,7250.0,5000.0,19000.0
500,9,4,6625.0,6750.0,4500.0,8875.0
1000,2,4367,1219.1435768261965,500.0,500.0,1500.0
1000,3,401,4150.872817955113,1500.0,1000.0,4500.0
1000,4,347,9674.351585014409,5500.0,1750.0,18000.0
1000,5,607,12790.774299835255,12500.0,3500.0,22500.0
1000,6,7,19428.571428571428,25000.0,17500.0,25000.0
1000,7,5,11400.0,7500.0,5000.0,18500.0
1000,8,2,13250.0,13250.0,7375.0,19125.0
2500,2,4200,1218.9285714285713,500.0,500.0,1500.0
2500,3,320,4628.125,2000.0,1000.0,4500.0
2500,4,311,8951.76848874598,5500.0,2500.0,15000.0
2500,5,649,13456.086286594762,13000.0,4500.0,24000.0
2500,6,7,14357.142857142857,12000.0,9000.0,20000.0
2500,8,2,6250.0,6250.0,4875.0,7625.0
5000,2,3968,1243.8256048387098,500.0,500.0,1500.0
5000,3,288,4442.708333333333,2000.0,1000.0,4500.0
5000,4,327,9984.709480122325,7000.0,2000.0,17750.0
5000,5,638,13231.974921630093,12500.0,4500.0,23000.0
10000,2,3942,1265.7280568239473,500.0,500.0,1500.0
10000,3,329,4465.045592705167,2000.0,1000.0,5000.0
10000,4,326,10481.59509202454,7500.0,3000.0,18000.0
10000,5,687,13441.775836972343,13500.0,5000.0,22500.0
