N,n_core,n_total,bin_0,bin_0_share,bin_1,bin_1_share,bin_2_4,bin_2_4_share,bin_5plus,bin_5plus_share
500,2,4405,4295,0.9750283768444948,101,0.02292849035187287,9,0.0020431328036322363,0,0.0
500,3,518,476,0.918918918918919,34,0.06563706563706563,7,0.013513513513513514,1,0.0019305019305019305
500,4,445,396,0.8898876404494382,35,0.07865168539325842,14,0.03146067415730337,0,0.0
500,5,923,794,0.8602383531960996,88,0.09534127843986999,41,0.044420368364030335,0,0.0
500,6,27,25,0.9259259259259259,1,0.037037037037037035,1,0.037037037037037035,0,0.0
500,7,25,20,0.8,1,0.04,4,0.16,0,0.0
500,8,14,13,0.9285714285714286,1,0.07142857142857142,0,0.0,0,0.0
500,9,4,4,1.0,0,0.0,0,0.0,0,0.0
500,11,1,1,1.0,0,0.0,0,0.0,0,0.0
1000,2,4367,4150,0.9503091367071216,186,0.04259216853675292,31,0.007098694756125487,0,0.0
1000,3,401,335,0.8354114713216958,40,0.09975062344139651,26,0.06483790523690773,0,0.0
1000,4,347,230,0.6628242074927954,57,0.1642651296829971,54,0.15561959654178675,6,0.01729106628242075
1000,5,607,349,0.5749588138385503,100,0.16474464579901152,137,0.2257001647446458,21,0.03459637561779242
1000,6,7,3,0.42857142857142855,0,0.0,4,0.5714285714285714,0,0.0
1000,7,5,3,0.6,0,0.0,2,0.4,0,0.0
1000,8,2,1,0.5,0,0.0,0,0.0,1,0.5
1000,9,1,0,0.0,0,0.0,1,1.0,0,0.0
2500,2,4200,3816,0.9085714285714286,317,0.07547619047619047,65,0.015476190476190477,2,0.0004761904761904762
2500,3,320,229,0.715625,46,0.14375,33,0.103125,12,0.0375
2500,4,311,152,0.4887459807073955,62,0.19935691318327975,75,0.24115755627009647,22,0.0707395498392283
2500,5,649,217,0.33436055469953774,93,0.14329738058551617,202,0.31124807395993837,137,0.2110939907550077
2500,6,7,1,0.14285714285714285,3,0.42857142857142855,2,0.2857142857142857,1,0.14285714285714285
2500,7,1,0,0.0,0,0.0,0,0.0,1,1.0
2500,8,2,1,0.5,1,0.5,0,0.0,0,0.0
5000,2,3968,3567,0.8989415322580645,313,0.07888104838709678,85,0.021421370967741934,3,0.0007560483870967742
5000,3,288,194,0.6736111111111112,45,0.15625,33,0.11458333333333333,16,0.05555555555555555
5000,4,327,132,0.4036697247706422,63,0.1926605504587156,79,0.2415902140672783,53,0.1620795107033639
5000,5,638,171,0.26802507836990597,92,0.14420062695924765,158,0.2476489028213166,217,0.3401253918495298
5000,6,1,0,0.0,1,1.0,0,0.0,0,0.0
5000,7,1,0,0.0,0,0.0,0,0.0,1,1.0
5000,8,1,0,0.0,0,0.0,0,0.0,1,1.0
10000,2,3942,3555,0.9018264840182648,327,0.08295281582952815,59,0.014967021816336884,1,0.0002536783358701167
10000,3,329,217,0.6595744680851063,53,0.16109422492401215,44,0.1337386018237082,15,0.04559270516717325
10000,4,326,115,0.35276073619631904,54,0.1656441717791411,93,0.2852760736196319,64,0.19631901840490798
10000,5,687,144,0.2096069868995633,88,0.12809315866084425,209,0.3042212518195051,246,0.35807860262008734
