N,seed,label_id,n_core,n_member_nodes,n_links,dist_median,dist_max,dist_mean,dist_max_normalized
500,0,288,7,7,8,9.433981132056603,14.866068747318506,8.990737392860476,0.9140780887664626
500,0,423,8,7,8,9.055385138137417,12.083045973594572,8.348092921247632,0.7429568474189158
500,1,329,6,6,6,9.433981132056603,15.556349186104045,8.86789114877879,0.9565217391304348
500,1,437,7,7,7,9.486832980505138,13.601470508735444,8.78776697205032,0.8363210461596238
500,1,449,7,7,7,8.06225774829855,13.601470508735444,8.52496215231279,0.8363210461596238
500,2,244,7,7,6,7.280109889280518,14.212670403551895,8.328157714893601,0.8739022279235557
500,2,245,6,6,5,8.06225774829855,12.083045973594572,8.260672056851357,0.7429568474189158
500,2,290,6,6,6,8.602325267042627,11.180339887498949,7.905429309931864,0.6874516652539956
500,2,322,6,6,5,9.433981132056603,15.556349186104045,9.294136063069978,0.9565217391304348
500,2,366,8,8,8,9.667845391150621,15.556349186104045,9.183334598430166,0.9565217391304348
500,3,248,6,6,5,8.06225774829855,15.556349186104045,8.591473227798557,0.9565217391304348
500,3,413,9,9,9,8.602325267042627,14.866068747318506,9.02432107866278,0.9140780887664626
500,3,464,11,11,12,8.48528137423857,15.556349186104045,7.893932400136098,0.9565217391304348
500,4,153,7,7,6,9.486832980505138,14.866068747318506,9.243509297249746,0.9140780887664626
500,4,307,7,7,6,8.246211251235321,14.866068747318506,8.51893313516961,0.9140780887664626
500,5,305,6,6,6,7.615773105863909,15.556349186104045,8.077600290383616,0.9565217391304348
500,5,475,9,9,9,9.353188718899013,13.45362404707371,8.78461989955301,0.8272303300191499
500,6,189,7,7,7,10.0,14.212670403551895,9.515992965194636,0.8739022279235557
500,6,461,8,8,9,9.353188718899013,15.556349186104045,9.184768573423199,0.9565217391304348
500,8,116,6,6,5,10.63014581273465,14.866068747318506,9.663738090758304,0.9140780887664626
500,8,122,8,8,9,9.5,13.601470508735444,9.341438797048768,0.8363210461596238
500,8,130,8,8,8,10.198039027185569,13.601470508735444,9.209698218932957,0.8363210461596238
500,8,232,7,7,7,9.848857801796104,14.866068747318506,9.039712056108602,0.9140780887664626
500,8,403,7,7,7,9.0,14.866068747318506,9.322498144981731,0.9140780887664626
500,9,209,8,8,7,8.828855202590022,14.866068747318506,9.103396823845374,0.9140780887664626
500,9,459,8,8,7,9.924428900898052,13.45362404707371,8.910891428667481,0.8272303300191499
500,10,180,6,6,6,6.324555320336759,11.180339887498949,6.709617333874503,0.6874516652539956
500,10,333,8,8,7,9.272001872658766,14.866068747318506,9.047429290229712,0.9140780887664626
500,10,355,6,6,5,10.0,15.556349186104045,9.56925490347143,0.9565217391304348
500,11,488,6,6,6,9.899494936611665,15.556349186104045,8.87334146422457,0.9565217391304348
500,11,489,6,6,5,9.219544457292887,12.529964086141668,8.360462798053302,0.7704367455073631
500,11,553,6,6,7,8.54400374531753,13.601470508735444,8.348439221594436,0.8363210461596238
500,12,169,8,8,8,9.027692569068709,14.866068747318506,8.831127127157403,0.9140780887664626
500,12,310,9,9,8,9.219544457292887,15.556349186104045,8.746180095827555,0.9565217391304348
500,12,453,8,8,8,8.503264829148854,15.556349186104045,8.790033830447708,0.9565217391304348
500,12,473,6,6,5,10.0,14.866068747318506,9.323607600713904,0.9140780887664626
500,13,192,6,6,5,10.0,15.556349186104045,9.786755282782671,0.9565217391304348
500,13,298,6,6,5,10.295630140987,12.529964086141668,9.853829106468472,0.7704367455073631
500,13,378,9,9,10,8.54400374531753,13.038404810405298,8.002601589758607,0.8016995180254686
500,15,156,6,6,6,8.246211251235321,12.529964086141668,8.123924134060548,0.7704367455073631
500,15,279,7,7,7,9.219544457292887,15.556349186104045,9.12223273195613,0.9565217391304348
500,15,402,7,7,6,8.06225774829855,13.038404810405298,7.9182201597176265,0.8016995180254686
500,16,157,7,7,6,10.198039027185569,15.556349186104045,9.50164679043913,0.9565217391304348
500,16,450,6,6,7,9.219544457292887,14.866068747318506,9.215133080064321,0.9140780887664626
500,16,455,8,8,9,9.027692569068709,12.041594578792296,8.528070729024817,0.7404081028663653
500,17,247,6,6,5,9.0,13.45362404707371,8.713416828579005,0.8272303300191499
500,17,365,8,8,8,8.54400374531753,13.601470508735444,8.686400981551445,0.8363210461596238
500,18,379,6,6,6,9.0,13.601470508735444,9.039208494930623,0.8363210461596238
500,19,120,7,7,6,9.899494936611665,12.806248474865697,9.262868870779315,0.787424794620645
500,19,202,8,8,8,7.930992178549615,12.206555615733702,7.934461164872216,0.7505511522448725
500,19,230,7,7,6,7.211102550927978,11.180339887498949,6.770463581009251,0.6874516652539956
500,20,305,8,8,9,9.326762794674746,14.866068747318506,9.444879629836791,0.9140780887664626
500,20,471,6,6,7,9.433981132056603,13.038404810405298,9.390672724098481,0.8016995180254686
500,20,576,7,7,7,6.324555320336759,14.142135623730951,7.261847315238798,0.8695652173913044
500,21,395,7,7,6,9.433981132056603,15.556349186104045,9.736892000559742,0.9565217391304348
500,21,421,7,7,7,9.486832980505138,14.212670403551895,9.090000572298518,0.8739022279235557
500,22,444,6,6,6,9.0,14.212670403551895,8.032668864488787,0.8739022279235557
500,22,456,6,6,5,9.899494936611665,12.083045973594572,8.057337447866445,0.7429568474189158
500,23,180,6,6,7,8.246211251235321,12.806248474865697,8.0943612379242,0.787424794620645
500,23,181,8,8,8,9.326762794674746,14.212670403551895,8.915975489717095,0.8739022279235557
500,23,319,7,7,6,8.54400374531753,14.866068747318506,9.050033574168474,0.9140780887664626
1000,1,348,7,7,7,10.44030650891055,16.401219466856727,10.349378357197727,0.7248383440464503
1000,11,505,7,7,6,13.341664064126334,17.804493814764857,11.772759398686864,0.7868548945008859
1000,14,217,7,7,6,11.180339887498949,20.0,11.513737207887608,0.8838834764831844
1000,17,397,7,7,7,14.212670403551895,20.615528128088304,13.488662416117009,0.9110862335695783
1000,21,166,6,6,6,13.038404810405298,19.849433241279208,12.438856712284993,0.8772293029761375
1000,23,303,6,6,6,12.649110640673518,20.518284528683193,13.68841569903606,0.9067886330341819
1000,23,456,8,8,8,14.713144262939771,21.93171219946131,13.694405409553411,0.9692539012044264
2500,5,359,6,6,6,16.492422502470642,28.844410203711913,17.506756862552443,0.8158431221748457
2500,8,203,6,6,6,21.540659228538015,32.64965543462902,20.75612483527892,0.9234717104492158
2500,11,438,8,8,9,20.505803091229723,31.240998703626616,19.606005313352735,0.883628881374981
2500,15,337,6,6,6,15.132745950421556,28.30194339616981,16.623819231045385,0.8004998438475801
2500,20,371,6,6,6,17.204650534085253,28.42534080710379,16.77735736976362,0.8039900496896714
2500,21,213,6,6,6,13.601470508735444,23.323807579381203,14.222489649624329,0.6596969000988259
2500,23,201,6,6,6,19.1049731745428,29.410882339705484,18.78321458592525,0.831865373723417
2500,23,330,8,8,7,21.365139664477553,31.144823004794873,20.181064434705636,0.8809086218218097
5000,12,374,8,8,7,30.041627398176544,44.598206241955516,29.46787647407094,0.8883294102096608
5000,18,237,6,6,5,31.906112267087632,43.01162633521314,25.9040959466952,0.8567271169434114
5000,19,187,7,7,7,33.13608305156178,43.86342439892262,28.77475355600489,0.8736936574237084
