N,indicator,n_seeds,mean,std,cv
500,n_subjects,24,265.0833333333333,31.03982948556183,0.1170946098166432
500,cog_rate,24,0.19045146655338183,0.01990958757641601,0.10453890398809575
500,con_rate,24,0.0009385110507953333,0.0003662434353010017,0.3902388096449496
500,activation_rate,24,0.05388703293023025,0.013917958148082749,0.258280283609285
1000,n_subjects,24,239.04166666666666,32.84413674981548,0.13739921247961856
1000,cog_rate,24,0.27489277270428775,0.03595456657259705,0.13079487764952882
1000,con_rate,24,0.004848217571464658,0.0016688488358417035,0.34421904777213624
1000,activation_rate,24,0.11832323107090016,0.020958302768731833,0.1771275393601571
2500,n_subjects,24,228.75,25.728093256374358,0.11247253882568026
2500,cog_rate,24,0.4133452866268959,0.04765893767358463,0.1153005470620105
2500,con_rate,24,0.01734414328256551,0.0029997913669136908,0.17295702174745686
2500,activation_rate,24,0.19634520894143026,0.01895269470375252,0.09652741111399415
5000,n_subjects,24,217.66666666666666,22.98518741667577,0.10559810451765286
5000,cog_rate,24,0.5748048741586623,0.05253208804302815,0.09139116664575779
5000,con_rate,24,0.03553254646752551,0.00489196355481365,0.13767556905285677
5000,activation_rate,24,0.22271104540334016,0.016136355805609858,0.07245422325770219
10000,n_subjects,24,220.16666666666666,23.113456774311604,0.10498163561383016
10000,cog_rate,24,0.776051738187233,0.05807015704286071,0.07482768762106747
10000,con_rate,24,0.058012971105115295,0.008549933505243029,0.147379686686813
10000,activation_rate,24,0.23724243712931395,0.016289536850294693,0.06866198580406481
