N,seed,global_step,link_id,n_cids,cids
5000,0,9500,"cid135|(3937,4058)",3,"41,132,137"
5000,0,9500,"cid137|(3937,4058)",3,"41,132,135"
5000,0,9553,"cid102|(936,3937)",3,"41,132,135"
5000,0,9674,"cid95|(3937,4770)",3,"41,132,135"
5000,0,9730,"cid122|(1954,3937)",3,"41,132,135"
5000,0,17709,"cid191|(3199,3469)",3,"107,201,202"
5000,0,19000,"cid211|(3628,3704)",3,"207,215,216"
5000,0,19000,"cid216|(3628,3704)",3,"207,211,215"
5000,0,19000,"cid7|(3314,3704)",3,"207,211,215"
5000,0,19250,"cid171|(3704,3818)",3,"207,211,215"
5000,0,19345,"cid167|(2494,3704)",3,"207,211,215"
5000,1,500,"cid81|(1917,4065)",3,"20,92,93"
5000,1,500,"cid92|(1917,4065)",3,"20,81,93"
5000,1,607,"cid87|(1917,3060)",3,"20,92,93"
5000,7,17686,"cid92|(670,1465)",3,"173,182,183"
5000,7,17686,"cid94|(670,1465)",3,"173,182,183"
5000,7,17819,"cid73|(670,3573)",3,"173,182,183"
5000,8,12500,"cid163|(1061,1254)",3,"100,164,165"
5000,8,12500,"cid164|(1061,1254)",3,"100,163,165"
5000,8,12995,"cid156|(1061,1704)",3,"100,163,165"
5000,8,13000,"cid168|(353,3595)",3,"156,171,175"
5000,8,13000,"cid175|(353,3595)",3,"156,168,171"
5000,8,13068,"cid162|(353,2756)",3,"156,168,171"
5000,8,13096,"cid79|(353,808)",3,"156,168,171"
5000,8,13697,"cid88|(353,4039)",3,"156,168,171"
5000,9,3249,"cid92|(1960,4502)",3,"75,99,100"
5000,9,4524,"cid104|(3236,4002)",3,"26,115,120"
5000,9,4524,"cid105|(3236,4002)",3,"26,115,120"
5000,9,16500,"cid220|(3583,4827)",3,"140,221,222"
5000,9,16500,"cid222|(3583,4827)",3,"140,220,221"
5000,9,16575,"cid89|(3404,3790)",3,"188,212,213"
5000,10,2500,"cid110|(3098,3374)",3,"112,113,114"
5000,10,2500,"cid112|(3098,3374)",3,"110,113,114"
5000,10,2500,"cid51|(3082,3374)",3,"110,113,114"
5000,10,9759,"cid80|(2842,4954)",3,"122,150,154"
5000,10,14178,"cid102|(567,756)",3,"97,180,182"
5000,11,3500,"cid113|(2051,3360)",3,"114,115,123"
5000,11,3500,"cid122|(1215,2051)",3,"114,115,116"
5000,11,3500,"cid123|(1215,2051)",3,"114,115,116"
5000,11,3543,"cid99|(1263,2051)",4,"114,115,116,123"
5000,11,3917,"cid90|(985,2051)",4,"114,115,116,123"
5000,12,8556,"cid75|(3031,3511)",3,"27,155,157"
5000,12,9000,"cid171|(1441,2724)",4,"168,170,173,176"
5000,12,9000,"cid172|(124,2724)",3,"168,173,176"
5000,12,9000,"cid173|(753,2724)",3,"168,170,176"
5000,12,9118,"cid75|(422,2724)",4,"168,170,173,176"
5000,12,12581,"cid187|(970,3098)",3,"7,177,200"
5000,12,13612,"cid77|(970,4279)",3,"7,177,200"
5000,12,13612,"cid81|(970,4279)",3,"7,177,200"
5000,13,24000,"cid250|(1400,2361)",3,"138,249,254"
5000,13,24000,"cid254|(1400,2361)",3,"138,249,250"
5000,14,2500,"cid105|(1063,2461)",3,"102,106,108"
5000,14,2500,"cid106|(1063,2461)",3,"102,105,108"
5000,14,2500,"cid109|(1063,2602)",3,"102,105,108"
5000,14,2500,"cid112|(1063,4550)",3,"102,105,108"
5000,17,13212,"cid19|(62,1155)",3,"134,169,172"
5000,18,12500,"cid159|(78,4302)",3,"0,160,161"
5000,18,12500,"cid161|(78,4302)",3,"0,159,160"
5000,21,16500,"cid214|(271,2479)",3,"212,217,218"
5000,21,16500,"cid217|(271,2479)",3,"212,214,218"
5000,21,16517,"cid181|(1451,2479)",3,"212,214,218"
5000,21,16599,"cid117|(2479,2833)",3,"212,214,218"
5000,21,16804,"cid122|(2479,4479)",3,"212,214,218"
5000,22,6787,"cid102|(1235,1762)",3,"153,155,156"
5000,22,7375,"cid118|(1235,3627)",3,"153,155,156"
5000,23,18812,"cid197|(2829,3691)",3,"92,262,265"
5000,23,18812,"cid205|(2829,3691)",3,"92,262,265"
