N,n_core,group,n_cid,C_max_median,C_swing_amplitude_median,C_swing_total_median,n_C_decreases_median,n_C_increases_median,n_windows_alive_median
500,2,no_activation,929,10.0,0.0,0.0,0.0,0.0,3.0
500,2,single_or_few,70,12.0,4.5,4.5,0.0,2.0,4.0
500,3,no_activation,251,18.0,0.0,0.0,0.0,0.0,6.0
500,3,single_or_few,40,20.5,14.0,14.0,0.0,3.0,12.5
500,3,repeated_5plus,1,34.0,29.0,29.0,0.0,8.0,22.0
500,4,no_activation,274,23.0,0.0,0.0,0.0,0.0,11.0
500,4,single_or_few,49,29.0,20.0,20.0,0.0,5.0,46.0
500,5,no_activation,662,25.0,0.0,0.0,0.0,0.0,17.0
500,5,single_or_few,128,37.0,27.0,27.0,0.0,6.0,50.0
500,6,no_activation,24,33.5,0.0,0.0,0.0,0.0,12.5
500,6,single_or_few,2,44.0,36.0,36.0,0.0,7.5,50.0
500,7,no_activation,19,43.0,0.0,0.0,0.0,0.0,18.0
500,7,single_or_few,5,56.0,41.0,41.0,0.0,10.0,50.0
500,8,no_activation,13,48.0,0.0,0.0,0.0,0.0,13.0
500,8,single_or_few,1,47.0,31.0,31.0,0.0,3.0,45.0
500,9,no_activation,4,53.5,0.0,0.0,0.0,0.0,13.5
500,11,no_activation,1,66.0,0.0,0.0,0.0,0.0,7.0
1000,2,no_activation,1102,9.0,0.0,0.0,0.0,0.0,3.0
1000,2,single_or_few,144,11.0,5.0,5.0,0.0,2.0,4.0
1000,3,no_activation,192,16.0,0.0,0.0,0.0,0.0,5.0
1000,3,single_or_few,64,20.0,15.5,15.5,0.0,5.0,15.5
1000,4,no_activation,169,19.0,0.0,0.0,0.0,0.0,8.0
1000,4,single_or_few,110,30.5,26.0,26.0,0.0,8.0,42.0
1000,4,repeated_5plus,6,36.0,31.0,32.0,1.0,9.5,45.5
1000,5,no_activation,299,22.0,0.0,0.0,0.0,0.0,12.0
1000,5,single_or_few,236,35.0,28.0,28.0,0.0,8.0,46.0
1000,5,repeated_5plus,21,47.0,41.0,41.0,0.0,15.0,50.0
1000,6,no_activation,2,32.0,16.0,16.0,0.0,6.0,34.5
1000,6,single_or_few,4,51.5,43.0,43.0,0.0,10.5,50.0
1000,7,no_activation,3,38.0,0.0,0.0,0.0,0.0,10.0
1000,7,single_or_few,2,43.5,26.5,26.5,0.0,5.5,43.5
1000,8,no_activation,1,42.0,0.0,0.0,0.0,0.0,3.0
1000,8,repeated_5plus,1,66.0,58.0,60.0,1.0,11.0,50.0
1000,9,single_or_few,1,74.0,64.0,66.0,1.0,16.0,50.0
2500,2,no_activation,956,9.0,2.0,2.0,0.0,1.0,3.0
2500,2,single_or_few,263,9.0,4.0,4.0,0.0,2.0,4.0
2500,2,repeated_5plus,2,30.0,28.5,35.5,2.0,15.5,30.0
2500,3,no_activation,117,13.0,6.0,6.0,0.0,2.0,5.0
2500,3,single_or_few,75,18.0,14.0,14.0,0.0,5.0,12.0
2500,3,repeated_5plus,12,37.0,33.5,37.0,0.5,14.0,43.5
2500,4,no_activation,108,16.0,8.0,8.0,0.0,2.0,6.0
2500,4,single_or_few,134,27.0,21.0,21.0,0.0,7.0,26.5
2500,4,repeated_5plus,22,45.0,43.5,46.0,0.0,17.0,47.0
2500,5,no_activation,170,20.0,8.0,8.0,0.0,1.0,9.0
2500,5,single_or_few,291,30.0,23.0,24.0,0.0,6.0,30.0
2500,5,repeated_5plus,137,54.0,52.0,54.0,1.0,20.0,50.0
2500,6,no_activation,1,25.0,14.0,14.0,0.0,3.0,40.0
2500,6,single_or_few,5,34.0,21.0,21.0,0.0,4.0,23.0
2500,6,repeated_5plus,1,44.0,35.0,39.0,2.0,14.0,40.0
2500,7,repeated_5plus,1,61.0,56.0,56.0,0.0,22.0,50.0
2500,8,no_activation,1,30.0,3.0,3.0,0.0,1.0,7.0
2500,8,single_or_few,1,53.0,35.0,35.0,0.0,4.0,18.0
5000,2,no_activation,915,7.0,2.0,2.0,0.0,1.0,3.0
5000,2,single_or_few,282,8.0,4.0,4.0,0.0,2.0,4.5
5000,2,repeated_5plus,3,21.0,18.0,24.0,1.0,11.0,24.0
5000,3,no_activation,103,9.0,5.0,5.0,0.0,2.0,4.0
5000,3,single_or_few,74,15.5,11.5,11.5,0.0,5.0,9.0
5000,3,repeated_5plus,16,35.5,34.5,36.5,2.0,20.0,37.5
5000,4,no_activation,79,14.0,9.0,9.0,0.0,2.0,6.0
5000,4,single_or_few,137,23.0,20.0,21.0,0.0,7.0,22.0
5000,4,repeated_5plus,53,49.0,48.0,51.0,2.0,22.0,49.0
5000,5,no_activation,132,19.0,11.0,11.0,0.0,2.0,7.0
5000,5,single_or_few,250,28.0,23.5,24.0,0.0,7.5,22.5
5000,5,repeated_5plus,217,55.0,54.0,56.0,1.0,24.0,48.0
5000,6,single_or_few,1,38.0,31.0,31.0,0.0,7.0,9.0
5000,7,repeated_5plus,1,73.0,70.0,70.0,0.0,28.0,41.0
5000,8,repeated_5plus,1,61.0,44.0,44.0,0.0,9.0,16.0
10000,2,no_activation,932,4.0,1.0,1.0,0.0,1.0,3.0
10000,2,single_or_few,271,6.0,3.0,3.0,0.0,2.0,5.0
10000,2,repeated_5plus,1,31.0,31.0,33.0,1.0,21.0,50.0
10000,3,no_activation,110,6.0,3.5,3.5,0.0,2.0,4.0
10000,3,single_or_few,91,14.0,11.0,11.0,0.0,6.0,12.0
10000,3,repeated_5plus,15,35.0,34.0,36.0,2.0,19.0,40.0
10000,4,no_activation,80,11.5,8.0,8.0,0.0,4.0,6.0
10000,4,single_or_few,145,25.0,23.0,23.0,0.0,10.0,22.0
10000,4,repeated_5plus,64,46.5,45.0,48.0,1.0,24.5,41.0
