seed,n_candidate_pairs,n_3a_shared_ghost,rate_3a,n_3b_same_phase,rate_3b,n_3c_same_birth,rate_3c,gen_dist_median,gen_dist_p25,gen_dist_p75
0,74,0,0.0,0,0.0,66,0.8918918918918919,0.0,0.0,0.0
1,72,0,0.0,0,0.0,62,0.8611111111111112,0.0,0.0,0.0
2,68,0,0.0,0,0.0,59,0.8676470588235294,0.0,0.0,0.0
3,65,0,0.0,0,0.0,61,0.9384615384615385,0.0,0.0,0.0
4,54,0,0.0,2,0.037037037037037035,46,0.8518518518518519,0.0,0.0,0.0
5,68,0,0.0,0,0.0,64,0.9411764705882353,0.0,0.0,0.0
6,52,0,0.0,1,0.019230769230769232,50,0.9615384615384616,0.0,0.0,0.0
7,42,0,0.0,0,0.0,37,0.8809523809523809,0.0,0.0,0.0
8,81,0,0.0,1,0.012345679012345678,75,0.9259259259259259,0.0,0.0,0.0
9,82,0,0.0,0,0.0,71,0.8658536585365854,0.0,0.0,0.0
10,46,0,0.0,0,0.0,37,0.8043478260869565,0.0,0.0,0.0
11,86,0,0.0,3,0.03488372093023256,76,0.8837209302325582,0.0,0.0,0.0
12,88,0,0.0,0,0.0,76,0.8636363636363636,0.0,0.0,0.0
13,50,0,0.0,1,0.02,44,0.88,0.0,0.0,0.0
14,65,0,0.0,0,0.0,59,0.9076923076923077,0.0,0.0,0.0
15,52,0,0.0,0,0.0,52,1.0,0.0,0.0,0.0
16,75,0,0.0,1,0.013333333333333334,72,0.96,0.0,0.0,0.0
17,60,0,0.0,0,0.0,49,0.8166666666666667,0.0,0.0,0.0
18,44,0,0.0,0,0.0,35,0.7954545454545454,0.0,0.0,0.0
19,54,0,0.0,1,0.018518518518518517,53,0.9814814814814815,0.0,0.0,0.0
20,70,0,0.0,0,0.0,66,0.9428571428571428,0.0,0.0,0.0
21,44,0,0.0,2,0.045454545454545456,36,0.8181818181818182,0.0,0.0,0.0
22,72,0,0.0,0,0.0,68,0.9444444444444444,0.0,0.0,0.0
23,88,0,0.0,1,0.011363636363636364,79,0.8977272727272727,0.0,0.0,0.0
