N,seed,eater_cid,eater_n_core,n_unique_ghosts,n_total_ingestions,total_received
500,0,12,4,1,1,7.0
500,0,13,5,4,4,22.0
500,0,19,5,1,1,3.0
500,0,28,5,1,1,2.0
500,0,43,2,1,1,5.0
500,0,57,5,2,2,6.0
500,0,93,5,1,1,8.0
500,0,97,2,1,1,2.0
500,0,100,2,1,1,3.0
500,0,105,5,1,1,2.0
500,0,106,2,1,1,9.0
500,1,19,2,1,1,2.0
500,1,29,2,2,2,7.0
500,1,30,5,1,1,7.0
500,1,31,5,1,1,10.0
500,1,54,5,1,1,5.0
500,1,65,3,1,1,5.0
500,1,66,5,1,1,3.0
500,1,69,4,1,1,6.0
500,1,71,4,2,2,6.0
500,1,72,3,2,2,8.0
500,1,85,2,1,1,3.0
500,1,88,4,2,2,3.0
500,1,97,5,2,2,5.0
500,1,100,3,1,1,7.0
500,1,104,5,1,1,2.0
500,1,106,2,1,1,6.0
500,1,114,3,1,1,3.0
500,1,117,2,1,1,4.0
500,1,119,2,1,1,4.0
500,1,121,5,1,1,2.0
500,1,125,5,1,1,1.0
500,2,19,3,1,1,3.0
500,2,23,4,1,1,10.0
500,2,30,7,2,2,19.0
500,2,38,5,2,2,14.0
500,2,43,2,3,3,12.0
500,2,60,2,1,1,7.0
500,2,68,5,1,1,7.0
500,2,71,2,1,1,11.0
500,2,75,2,1,1,6.0
500,2,79,2,2,2,3.0
500,2,80,2,1,1,3.0
500,2,82,2,1,1,2.0
500,2,108,5,1,1,2.0
500,3,1,5,1,1,6.0
500,3,31,5,2,2,12.0
500,3,34,5,2,2,9.0
500,3,60,5,3,3,18.0
500,3,62,5,3,3,15.0
500,3,66,5,2,2,6.0
500,3,78,2,1,1,6.0
500,3,81,2,1,1,6.0
500,3,85,2,1,1,3.0
500,3,88,4,2,2,8.0
500,3,91,2,1,1,3.0
500,3,93,2,1,1,4.0
500,3,97,5,2,2,12.0
500,3,100,2,1,1,2.0
500,3,114,2,1,1,1.0
500,3,128,3,1,1,3.0
500,4,4,7,1,1,3.0
500,4,11,5,2,2,8.0
500,4,12,5,1,1,3.0
500,4,15,5,1,1,4.0
500,4,33,4,1,1,8.0
500,4,55,5,1,1,5.0
500,4,57,3,1,1,3.0
500,4,58,4,2,2,14.0
500,4,65,5,1,1,4.0
500,4,68,5,1,1,6.0
500,4,73,2,1,1,2.0
500,4,77,5,2,2,17.0
500,4,78,5,4,4,10.0
500,4,81,5,1,1,4.0
500,4,93,2,1,1,5.0
500,4,98,2,1,1,1.0
500,4,108,3,1,1,1.0
500,5,0,5,1,1,4.0
500,5,14,2,1,1,1.0
500,5,35,4,1,1,1.0
500,5,62,5,1,1,5.0
500,5,69,5,1,1,1.0
500,5,92,4,1,1,3.0
500,5,98,5,4,4,15.0
500,5,100,2,1,1,1.0
500,5,106,2,1,1,2.0
500,6,4,2,3,3,11.0
500,6,14,3,1,1,2.0
500,6,29,7,2,2,14.0
500,6,34,4,3,3,21.0
500,6,60,5,2,2,5.0
500,6,92,5,1,1,15.0
500,6,97,4,1,1,7.0
500,6,98,4,1,1,21.0
500,6,99,3,1,1,3.0
500,6,101,2,1,1,3.0
500,6,104,2,1,1,4.0
500,6,115,5,1,1,3.0
500,6,134,5,1,1,2.0
500,7,20,5,2,2,7.0
500,7,27,5,2,2,8.0
500,7,34,5,1,1,1.0
500,7,49,3,3,3,17.0
500,7,53,2,1,1,8.0
500,7,62,2,1,1,7.0
500,7,67,2,1,1,7.0
500,7,71,2,2,2,18.0
500,7,72,2,1,1,8.0
500,7,76,2,1,1,8.0
500,7,78,2,1,1,5.0
500,7,79,2,1,1,6.0
500,7,83,2,1,1,3.0
500,7,89,4,1,1,6.0
500,7,92,2,1,1,5.0
500,7,94,3,2,2,3.0
500,7,95,3,1,1,1.0
500,7,96,2,1,1,3.0
500,7,107,3,1,1,2.0
500,7,126,5,1,1,6.0
500,8,45,5,1,1,1.0
500,8,56,5,1,1,4.0
500,8,59,5,1,1,1.0
500,8,60,2,1,1,9.0
500,8,61,3,1,1,8.0
500,8,65,4,1,1,6.0
500,8,72,5,1,1,6.0
500,8,76,5,2,2,10.0
500,8,82,2,1,1,5.0
500,8,86,2,1,1,3.0
500,8,87,2,1,1,2.0
500,8,88,2,1,1,6.0
500,8,114,2,1,1,6.0
500,9,16,4,2,2,6.0
500,9,31,3,1,1,1.0
500,9,50,5,2,2,13.0
500,9,51,5,1,1,4.0
500,9,52,3,1,1,1.0
500,9,59,5,1,1,12.0
500,9,66,5,1,1,5.0
500,9,84,2,1,1,1.0
500,9,88,5,2,2,3.0
500,9,91,2,1,1,1.0
500,9,94,2,1,1,6.0
500,9,97,4,1,1,3.0
500,9,98,3,1,1,5.0
500,9,156,5,1,1,1.0
500,10,43,3,1,1,6.0
500,10,44,3,1,1,2.0
500,10,46,5,2,2,11.0
500,10,47,2,1,1,4.0
500,10,65,5,3,3,12.0
500,10,67,5,2,2,11.0
500,10,73,2,1,1,6.0
500,10,80,5,1,1,5.0
500,10,83,2,1,1,8.0
500,10,90,2,1,1,3.0
500,10,92,4,1,1,4.0
500,11,0,4,1,1,4.0
500,11,19,5,1,1,27.0
500,11,31,4,1,1,11.0
500,11,38,3,1,1,14.0
500,11,48,4,1,1,2.0
500,11,64,5,2,2,18.0
500,11,92,4,1,1,6.0
500,11,102,3,1,1,7.0
500,11,104,2,1,1,2.0
500,11,105,2,1,1,10.0
500,11,113,4,1,1,11.0
500,11,115,5,1,1,1.0
500,11,135,5,1,1,2.0
500,12,6,5,1,1,5.0
500,12,15,4,1,1,8.0
500,12,20,4,1,1,9.0
500,12,44,3,2,2,5.0
500,12,48,3,1,1,1.0
500,12,72,5,4,4,17.0
500,12,89,4,1,1,3.0
500,12,94,2,1,1,8.0
500,12,101,2,1,1,3.0
500,12,116,5,1,1,3.0
500,12,117,8,1,1,2.0
500,12,135,2,1,1,2.0
500,13,12,5,1,1,3.0
500,13,31,5,1,1,9.0
500,13,33,5,3,3,19.0
500,13,45,5,3,3,14.0
500,13,48,5,2,2,7.0
500,13,64,5,1,1,2.0
500,13,77,4,2,2,14.0
500,13,80,5,1,1,3.0
500,13,81,2,1,1,5.0
