N,eater_n_core,ghost_n_core,n_events,total_received
500,2,2,91,348
500,2,3,8,44
500,2,4,8,38
500,2,5,14,80
500,3,2,47,156
500,3,3,4,33
500,3,5,2,13
500,3,7,1,6
500,4,2,56,243
500,4,3,2,14
500,4,4,3,32
500,4,5,4,52
500,5,2,144,609
500,5,3,23,147
500,5,4,11,75
500,5,5,9,93
500,6,2,2,10
500,6,3,1,3
500,7,2,9,53
500,7,3,1,7
500,7,4,1,10
500,8,2,1,2
1000,2,2,209,929
1000,2,3,26,146
1000,2,4,15,101
1000,2,5,9,50
1000,3,2,92,391
1000,3,3,8,49
1000,3,4,3,29
1000,3,5,4,39
1000,4,2,197,866
1000,4,3,16,106
1000,4,4,8,55
1000,4,5,7,68
1000,5,2,517,2048
1000,5,3,42,278
1000,5,4,23,181
1000,5,5,15,114
1000,6,2,7,25
1000,6,3,2,12
1000,7,2,4,15
1000,8,2,5,18
1000,9,2,4,13
2500,2,2,428,1891
2500,2,3,15,74
2500,2,4,19,101
2500,2,5,14,93
2500,3,2,174,804
2500,3,3,13,95
2500,3,4,5,36
2500,3,5,9,82
2500,4,2,344,1588
2500,4,3,25,162
2500,4,4,11,122
2500,4,5,14,100
2500,5,2,1438,6404
2500,5,3,73,537
2500,5,4,40,373
2500,5,5,34,381
2500,6,2,15,53
2500,6,3,1,8
2500,6,4,1,8
2500,7,2,5,14
2500,7,3,1,7
2500,8,3,1,4
5000,2,2,459,2097
5000,2,3,27,154
5000,2,4,14,91
5000,2,5,20,105
5000,3,2,221,1092
5000,3,3,10,72
5000,3,4,5,29
5000,3,5,10,67
5000,4,2,586,2856
5000,4,3,35,278
5000,4,4,23,204
5000,4,5,15,118
5000,5,2,1848,9197
5000,5,3,113,916
5000,5,4,59,551
5000,5,5,55,551
5000,5,6,1,2
5000,6,5,1,9
5000,7,2,9,50
5000,7,4,1,7
5000,8,2,5,22
10000,2,2,399,1886
10000,2,3,22,111
10000,2,4,29,156
10000,2,5,17,103
10000,3,2,218,1123
10000,3,3,16,109
10000,3,4,9,76
10000,3,5,9,75
10000,4,2,674,3531
10000,4,3,39,365
10000,4,4,24,231
10000,4,5,21,222
10000,5,2,2111,11558
10000,5,3,156,1406
10000,5,4,70,703
10000,5,5,84,958
