N,n_core,group,n_cid,E1_median,E1_mean,E2_median,E2_mean,E3_median,E3_mean,total_events_median
500,2,no_activation,4294,1.0,0.9715882626921285,2.0,1.5691662785281788,10.0,10.377736376339078,13.0
500,2,single_or_few,110,1.0,0.8,2.0,1.2181818181818183,14.0,13.909090909090908,16.0
500,3,no_activation,476,2.0,2.4600840336134455,2.0,2.2478991596638656,18.0,16.771008403361346,21.0
500,3,single_or_few,41,2.0,2.926829268292683,0.0,1.1219512195121952,23.0,22.73170731707317,26.0
500,3,repeated_5plus,1,0.0,0.0,0.0,0.0,44.0,44.0,44.0
500,4,no_activation,396,4.0,5.5227272727272725,5.0,4.058080808080808,23.0,22.123737373737374,31.0
500,4,single_or_few,49,8.0,9.408163265306122,0.0,2.0408163265306123,32.0,32.224489795918366,43.0
500,5,no_activation,794,9.0,11.240554156171285,10.0,8.42317380352645,25.0,26.138539042821158,45.0
500,5,single_or_few,129,20.0,18.62015503875969,2.0,4.2015503875969,39.0,37.674418604651166,61.0
500,6,no_activation,25,14.0,18.56,10.0,8.8,33.0,33.88,59.0
500,6,single_or_few,2,39.0,39.0,3.0,3.0,47.0,47.0,89.0
500,7,no_activation,20,31.5,28.6,6.0,6.8,42.5,40.6,79.5
500,7,single_or_few,5,46.0,52.6,6.0,4.8,60.0,55.6,112.0
500,8,no_activation,13,29.0,39.15384615384615,6.0,10.307692307692308,48.0,46.76923076923077,88.0
500,8,single_or_few,1,75.0,75.0,10.0,10.0,49.0,49.0,134.0
500,9,no_activation,4,30.5,31.0,11.0,11.0,53.5,54.0,95.5
500,11,no_activation,1,36.0,36.0,24.0,24.0,66.0,66.0,126.0
1000,2,no_activation,4144,1.0,0.9717664092664092,2.0,1.666023166023166,9.0,8.831563706563706,12.0
1000,2,single_or_few,217,1.0,0.8571428571428571,2.0,1.4377880184331797,12.0,13.331797235023041,15.0
1000,3,no_activation,335,2.0,2.208955223880597,0.0,2.2507462686567163,15.0,14.170149253731344,20.0
1000,3,single_or_few,66,2.0,1.7727272727272727,0.0,1.393939393939394,23.0,23.742424242424242,25.0
1000,4,no_activation,230,4.0,4.021739130434782,6.0,3.8434782608695652,19.0,19.160869565217393,28.0
1000,4,single_or_few,111,4.0,4.207207207207207,0.0,1.8918918918918919,33.0,33.68468468468468,39.0
1000,4,repeated_5plus,6,3.5,3.1666666666666665,0.0,2.6666666666666665,48.5,46.666666666666664,50.0
1000,5,no_activation,349,6.0,6.607449856733524,10.0,8.189111747851003,21.0,22.544412607449857,37.0
1000,5,single_or_few,237,9.0,8.755274261603375,0.0,4.447257383966245,38.0,38.14767932489451,50.0
1000,5,repeated_5plus,21,8.0,9.952380952380953,0.0,3.619047619047619,58.0,58.857142857142854,70.0
1000,6,no_activation,3,10.0,13.333333333333334,12.0,8.666666666666666,27.0,30.333333333333332,49.0
1000,6,single_or_few,4,13.0,12.5,0.0,0.0,56.0,55.0,68.0
1000,7,no_activation,3,11.0,10.666666666666666,10.0,8.0,38.0,38.333333333333336,56.0
1000,7,single_or_few,2,22.0,22.0,5.0,5.0,47.5,47.5,74.5
1000,8,no_activation,1,10.0,10.0,8.0,8.0,42.0,42.0,60.0
1000,8,repeated_5plus,1,20.0,20.0,2.0,2.0,76.0,76.0,98.0
1000,9,single_or_few,1,32.0,32.0,0.0,0.0,82.0,82.0,114.0
2500,2,no_activation,3795,1.0,0.9660079051383399,2.0,1.663768115942029,8.0,6.69433465085639,10.0
2500,2,single_or_few,382,1.0,0.918848167539267,2.0,1.581151832460733,11.0,11.209424083769633,14.0
2500,2,repeated_5plus,2,0.0,0.0,0.0,0.0,45.0,45.0,45.0
2500,3,no_activation,229,2.0,2.183406113537118,4.0,2.558951965065502,10.0,10.685589519650655,18.0
2500,3,single_or_few,79,2.0,1.9240506329113924,0.0,1.8734177215189873,22.0,23.037974683544302,25.0
2500,3,repeated_5plus,12,2.0,1.4166666666666667,0.0,1.1666666666666667,47.5,48.25,50.5
2500,4,no_activation,150,4.0,3.44,6.0,4.386666666666667,15.5,15.64,26.0
2500,4,single_or_few,137,3.0,3.0291970802919708,0.0,2.4525547445255476,30.0,30.927007299270073,35.0
2500,4,repeated_5plus,22,2.0,2.272727272727273,0.0,1.7272727272727273,57.5,57.27272727272727,61.0
2500,5,no_activation,217,5.0,5.3963133640553,10.0,8.350230414746544,20.0,18.83410138248848,34.0
2500,5,single_or_few,295,5.0,5.122033898305085,8.0,5.796610169491525,35.0,36.84406779661017,47.0
2500,5,repeated_5plus,137,4.0,4.218978102189781,0.0,2.9927007299270074,67.0,68.0,73.0
2500,6,no_activation,1,8.0,8.0,12.0,12.0,25.0,25.0,45.0
2500,6,single_or_few,5,8.0,7.2,8.0,6.8,38.0,39.2,50.0
2500,6,repeated_5plus,1,10.0,10.0,12.0,12.0,60.0,60.0,82.0
