N,n_core,cid_count,cid_share,consciousness_activation_rate,Q0_median_by_n_core,B_Gen_median_by_n_core
500,2,4405,0.6923923294561458,0.024971623155505107,12.0,12.767073
500,3,518,0.08142093681232317,0.08108108108108109,20.0,20.6006695
500,4,445,0.06994655768626218,0.1101123595505618,28.0,28.828964
500,5,923,0.14508016347060673,0.13976164680390032,37.0,37.405207
500,6,27,0.004243948443885571,0.07407407407407407,45.0,46.097783
500,7,25,0.00392958189248664,0.2,54.0,54.205248
500,8,14,0.0022005658597925182,0.07142857142857142,62.0,62.473691
500,9,4,0.0006287331027978623,0.0,69.5,70.2926985
500,11,1,0.00015718327569946557,0.0,88.0,88.567882
1000,2,4367,0.7611992330486317,0.049690863292878404,12.0,12.7346195
1000,3,401,0.06989715879379467,0.16458852867830423,20.0,20.200981
1000,4,347,0.0604845738190692,0.3371757925072046,28.0,28.230097
1000,5,607,0.1058044274010807,0.42504118616144976,36.0,36.4003265
1000,6,7,0.001220149904131079,0.5714285714285714,45.0,45.120789
1000,7,5,0.0008715356458079135,0.4,52.0,52.509806
1000,8,2,0.0003486142583231654,0.5,59.5,59.942055499999995
1000,9,1,0.0001743071291615827,1.0,69.0,69.69591
1000,11,0,0.0,,,
2500,2,4200,0.7650273224043715,0.09142857142857143,12.0,12.392843
2500,3,320,0.058287795992714025,0.284375,19.0,19.441675
2500,4,311,0.05664845173041894,0.5112540192926045,27.0,27.011549000000002
2500,5,649,0.11821493624772313,0.6656394453004623,34.0,34.864076499999996
2500,6,7,0.0012750455373406193,0.8571428571428571,42.0,42.921714
2500,7,1,0.00018214936247723133,1.0,52.0,52.527017
2500,8,2,0.00036429872495446266,0.5,58.0,58.115914000000004
2500,9,0,0.0,,,
2500,11,0,0.0,,,
5000,2,3968,0.7595712098009189,0.10105846774193548,12.0,12.07524
5000,3,288,0.055130168453292494,0.3263888888888889,18.0,18.781922
5000,4,327,0.06259571209800918,0.5963302752293578,26.0,26.219543
5000,5,638,0.12212863705972435,0.731974921630094,33.0,33.81395
5000,6,1,0.00019142419601837673,1.0,40.0,
5000,7,1,0.00019142419601837673,1.0,49.0,49.30521
5000,8,1,0.00019142419601837673,1.0,55.0,55.882828
5000,9,0,0.0,,,
5000,11,0,0.0,,,
10000,2,3942,0.7460257380772143,0.09817351598173515,11.0,11.836249
10000,3,329,0.06226343679031037,0.3404255319148936,18.0,18.319284500000002
10000,4,326,0.06169568508705526,0.647239263803681,25.0,25.3710885
10000,5,687,0.13001514004542014,0.7903930131004366,32.0,32.708357
10000,6,0,0.0,,,
10000,7,0,0.0,,,
10000,8,0,0.0,,,
10000,9,0,0.0,,,
10000,11,0,0.0,,,
