atom,category,method,baseline_rank1_sim_mean,baseline_rank1_sim_std,baseline_rank1_sim_min,baseline_rank1_sim_max,baseline_n_strong_seeds,baseline_n_partial_seeds,baseline_n_weak_seeds,baseline_strong_ratio_24
ABS.bound,ABS,uniform,0.6327535808086395,0.017551651928582886,0.6079861521720886,0.6693564057350159,24,0,0,1.0
ABS.exempt,ABS,uniform,0.4339811069269975,0.03345675145706673,0.39789003133773804,0.5601046681404114,1,23,0,0.041666666666666664
ABS.foolish,ABS,uniform,0.4070304458340009,0.02721071832579268,0.3606700003147125,0.4772224426269531,0,24,0,0.0
ABS.other,ABS,uniform,0.5215354139606158,0.03482540160246016,0.47635555267333984,0.6097989082336426,17,7,0,0.7083333333333334
ABS.release,ABS,uniform,0.6161425684889158,0.01973546243127377,0.5877476930618286,0.6576507687568665,24,0,0,1.0
ABS.responsibility,ABS,uniform,0.5483766173322996,0.0268404193479322,0.4853563904762268,0.6125462651252747,23,1,0,0.9583333333333334
ABS.self,ABS,uniform,0.4859834561745326,0.03870937891273224,0.4316863715648651,0.6117496490478516,7,17,0,0.2916666666666667
ABS.wise,ABS,uniform,0.5462321614225706,0.031834413751512296,0.5133888125419617,0.6645992398262024,24,0,0,1.0
ACT.abandon,ACT,uniform,0.5572316696246465,0.023297910745933414,0.5285091996192932,0.6369806528091431,24,0,0,1.0
ACT.agitate,ACT,uniform,0.5805039455493292,0.025144499929598926,0.5329140424728394,0.6309501528739929,24,0,0,1.0
ACT.arrive,ACT,uniform,0.5246767488618692,0.02641049398522981,0.48228177428245544,0.6032488942146301,20,4,0,0.8333333333333334
ACT.ascend,ACT,uniform,0.5543061296145121,0.02228191186107422,0.5201204419136047,0.6154863238334656,24,0,0,1.0
ACT.build,ACT,uniform,0.6357441743214926,0.022067857907609827,0.5944849252700806,0.7046324014663696,24,0,0,1.0
ACT.calm,ACT,uniform,0.4808789789676666,0.03779397618883809,0.43975234031677246,0.6274870038032532,5,19,0,0.20833333333333334
ACT.create,ACT,uniform,0.6219217528899511,0.02903928958297788,0.5789862275123596,0.6859702467918396,24,0,0,1.0
ACT.descend,ACT,uniform,0.4965918759504954,0.024348859922416963,0.45992350578308105,0.5668235421180725,11,13,0,0.4583333333333333
ACT.destroy,ACT,uniform,0.4170028567314148,0.029862615724135576,0.3643125593662262,0.4803987443447113,0,24,0,0.0
ACT.dissolve,ACT,uniform,0.4712600074708462,0.024355298354540627,0.4298573136329651,0.5155457258224487,4,20,0,0.16666666666666666
ACT.emit,ACT,uniform,0.49390384058157605,0.02993152048639156,0.44323375821113586,0.581769585609436,9,15,0,0.375
ACT.exit,ACT,uniform,0.5157117135822773,0.022821403932603294,0.47022145986557007,0.5746337175369263,19,5,0,0.7916666666666666
ACT.fall,ACT,uniform,0.46686191484332085,0.02979224563496003,0.42502227425575256,0.5524724125862122,4,20,0,0.16666666666666666
ACT.give,ACT,uniform,0.5850707665085793,0.019149914382087626,0.5415798425674438,0.6241089701652527,24,0,0,1.0
ACT.go,ACT,uniform,0.5277818876008192,0.022373766534994417,0.49263736605644226,0.6028658151626587,21,3,0,0.875
ACT.leave,ACT,uniform,0.4772113698224227,0.022272941058758704,0.44835346937179565,0.541266143321991,3,21,0,0.125
ACT.lie_down,ACT,uniform,0.5244743985434374,0.023154655030180937,0.4911678433418274,0.5849536657333374,20,4,0,0.8333333333333334
ACT.lose,ACT,uniform,0.5330145210027695,0.02635929299895993,0.4697260856628418,0.5828649997711182,22,2,0,0.9166666666666666
