category,n_atoms,observed_strong_24/24_atoms,observed_strong_ratio,uniform_strong_24/24_atoms,uniform_strong_atoms_expected_mean,shuffled_strong_24/24_atoms,delta_strong_atoms_uniform,delta_strong_atoms_shuffled,observed_always_unmatched_atoms,uniform_always_unmatched_atoms,shuffled_always_unmatched_atoms,category_z_score_uniform,category_z_score_shuffled,observed_sim_mean_avg,uniform_sim_mean_avg,shuffled_sim_mean_avg
LOG,4,0,0.0,3,3.5,3,-3.0,-3.0,1,0,0,-8.27784909085246,-4.555416990341821,0.43677221192047,0.6312779014309248,0.5934865040083727
VAL,10,0,0.0,4,7.708333333333334,0,-4.0,0.0,2,0,0,-7.838365648936984,-5.202648369927871,0.3380298042049011,0.5487923288096985,0.5127165904889504
SPC,6,1,0.16666666666666666,6,6.0,3,-5.0,-2.0,0,0,0,-7.540154018196983,-3.130495064810448,0.452981665937437,0.6162819903757837,0.5421150152881941
EXS,11,0,0.0,7,7.958333333333334,6,-7.0,-6.0,0,1,1,-5.385445306314954,-4.440601803320156,0.4064162076648437,0.5520720881494608,0.5382722495405962
TIM,7,3,0.42857142857142855,6,6.166666666666667,3,-3.0,0.0,0,0,0,-4.6911195622283435,-0.8107477591943741,0.5271461685853345,0.6306443549692631,0.5586976102065472
COM,12,5,0.4166666666666667,8,10.416666666666668,4,-3.0,1.0,1,1,2,-4.627298811337554,-2.2110692942604286,0.47262375729365474,0.5816690726205707,0.5407819306063983
REL,4,0,0.0,0,1.0416666666666667,0,0.0,0.0,2,1,2,-4.143238569590811,-4.514857179734131,0.3058495943744977,0.45886792863408726,0.44509776681661606
CHG,7,4,0.5714285714285714,5,5.083333333333334,3,-1.0,1.0,1,0,0,-4.083041332793566,-1.726899110182219,0.5082865683805375,0.5955481908860661,0.5680554361925239
WLD,12,7,0.5833333333333334,10,10.666666666666666,4,-3.0,3.0,0,1,1,-3.8716609403477404,-1.488355059052686,0.5010700109932158,0.5981887760054734,0.5436246618628502
ELM,12,3,0.25,5,7.083333333333334,3,-2.0,0.0,0,2,4,-3.6301391070692866,-1.531251605612882,0.44306072716911626,0.5346994391745991,0.49190347672750545
ABS,8,2,0.25,3,5.0,4,-1.0,-2.0,0,1,0,-3.3740774252191486,-3.957393142289333,0.42693044090022647,0.5240044188685715,0.5498736964849134
FND,24,4,0.16666666666666666,12,15.125,10,-8.0,-6.0,1,2,3,-3.1068889008719593,-2.452548222078945,0.45091483046093744,0.532832539640367,0.5339879501197072
STA,11,1,0.09090909090909091,2,5.208333333333333,3,-1.0,-2.0,2,0,0,-3.0714089449262936,-3.03104900899787,0.42567933266135777,0.5084423938709679,0.5386626489008918
EMO,30,1,0.03333333333333333,3,7.833333333333334,8,-2.0,-7.0,2,1,0,-2.6128946602085508,-4.722649846737461,0.38853629144529495,0.4694685480246942,0.5477691403693623
NAT,4,0,0.0,0,0.8333333333333334,0,0.0,0.0,0,1,4,-2.438100475743118,0.48555897244708884,0.39276430166016024,0.46235960690925515,0.3815417345613241
ECO,12,8,0.6666666666666666,7,10.5,3,1.0,5.0,1,1,1,-2.2068673488620303,-0.7681906194324307,0.5045077250753013,0.5684221467624108,0.5274584570692645
BEI,8,4,0.5,3,5.791666666666667,3,1.0,1.0,0,0,2,-1.7613123604112875,-1.0132192878848951,0.4809604074495534,0.5289056192462643,0.5107632350797454
PRP,46,12,0.2608695652173913,13,23.041666666666664,7,-1.0,5.0,0,8,17,-1.6755852682071557,0.03706641463812109,0.4704909596754157,0.5152149608871642,0.46940077190705826
ACT,28,14,0.5,11,18.54166666666667,6,3.0,8.0,1,1,5,-1.4992905876811113,-0.4542860788617512,0.4934418935639163,0.5316974212459865,0.5077970443027361
SOC,22,7,0.3181818181818182,8,12.45833333333333,4,-1.0,3.0,0,2,3,-1.4849235612142544,-1.9061434360402134,0.4647046294571325,0.50727651866548,0.5188148970518148
COG,13,4,0.3076923076923077,5,6.041666666666668,5,-1.0,-1.0,0,2,1,-0.23970887481721498,-1.7624000207470991,0.4845927237318112,0.49173538167125136,0.5293432631744789
MAT,6,1,0.16666666666666666,0,1.6666666666666667,0,1.0,1.0,0,0,1,-0.04898097636255914,1.1957596707877787,0.476113836798403,0.47742313746776843,0.4347301953368717
PER,20,12,0.6,1,7.541666666666666,3,11.0,9.0,0,2,2,2.2703903212541636,1.1772688104069584,0.5423321802789965,0.483820787196358,0.5018604479109248
BOD,8,7,0.875,1,4.625,0,6.0,7.0,0,0,0,2.475211115939518,1.6519115210640791,0.5679311415491005,0.5098751317709684,0.5100474225667616
