atom,category,observed_rank1_sim_mean,observed_rank1_sim_std,observed_rank1_sim_min,observed_rank1_sim_max,observed_n_strong_seeds,observed_n_partial_seeds,observed_n_weak_seeds,observed_strong_ratio_24,uniform_baseline_mean,uniform_baseline_std,uniform_baseline_n_strong,uniform_baseline_strong_ratio,shuffled_baseline_mean,shuffled_baseline_std,shuffled_baseline_n_strong,shuffled_baseline_strong_ratio,delta_uniform,delta_shuffled,z_score_uniform,z_score_shuffled,direction_consistency_24,true_finding_uniform,true_finding_shuffled,true_finding_either,true_finding_both
VAL.incorrect,VAL,0.2908780301610629,0.02010518480503788,0.2500009834766388,0.3281803727149963,0,9,15,0.0,0.5343547773857912,0.015390559753289292,23,0.9583333333333334,0.47692518184582394,0.03058780951199368,6,0.25,-0.24347674722472828,-0.18604715168476105,-15.819876023202607,-6.08239539388431,True,True,True,True,True
VAL.truth,VAL,0.3846997308234374,0.018039299439757045,0.335247665643692,0.4072334170341491,0,24,0,0.0,0.6241679141918818,0.015211387654353058,24,1.0,0.5497340559959412,0.030046342511887418,23,0.9583333333333334,-0.2394681833684444,-0.16503432517250377,-15.742691515715567,-5.4926593846558935,True,True,True,True,True
EXS.void,EXS,0.3299751641849677,0.034318195467311324,0.2965834438800812,0.4571426212787628,0,22,2,0.0,0.5795985634128252,0.017256837613086308,24,1.0,0.5803450991710027,0.03093906294804206,24,1.0,-0.24962339922785753,-0.25036993498603505,-14.46518793446614,-8.09235675322479,True,True,True,True,True
COM.conduct,COM,0.5263604943950971,0.00912277618202701,0.5129325985908508,0.5608755946159363,24,0,0,1.0,0.7232603306571642,0.014465047373482195,24,1.0,0.582407442231973,0.028881328114273193,24,1.0,-0.19689983626206709,-0.056046947836875916,-13.612111400549603,-1.9405945465914165,True,True,False,True,False
FND.language,FND,0.4251464692254861,0.010615999419636219,0.3932378590106964,0.4445221126079559,0,24,0,0.0,0.6186827098329862,0.015194274535550835,24,1.0,0.4856922961771488,0.018676469066724172,5,0.20833333333333334,-0.19353624060750013,-0.06054582695166272,-12.737445289320876,-3.2418240693867073,True,True,True,True,True
TIM.past,TIM,0.5155085821946462,0.030881490556821357,0.4352052807807922,0.5679917931556702,18,6,0,0.75,0.7219102531671524,0.01703772971920973,24,1.0,0.6050907224416733,0.03379455098973967,24,1.0,-0.20640167097250617,-0.08958214024702704,-12.114388147605842,-2.6507865210052644,True,True,True,True,True
TIM.now,TIM,0.43577397366364795,0.031630878285809454,0.4062460064888,0.5294691920280457,2,22,0,0.08333333333333333,0.6186469420790672,0.015112631582589107,24,1.0,0.5499936963121096,0.028726660781421755,23,0.9583333333333334,-0.18287296841541928,-0.11421972264846164,-12.100670053129777,-3.976087701858142,True,True,True,True,True
COM.conflict,COM,0.28047556802630424,0.009372498236830385,0.2676359415054321,0.2989129722118377,0,0,24,0.0,0.5602306425571442,0.02365664817925873,24,1.0,0.5390585151811441,0.03417751441305637,22,0.9166666666666666,-0.2797550745308399,-0.25858294715483987,-11.825642940242005,-7.565879251185597,True,True,True,True,True
STA.danger,STA,0.19610186479985714,0.00709982347681927,0.1833426505327224,0.2074395716190338,0,0,24,0.0,0.5345756014188131,0.029011156858501648,20,0.8333333333333334,0.5724996998906136,0.028834917884966872,24,1.0,-0.33847373661895597,-0.3763978350907564,-11.667019632130494,-13.053542811959662,True,True,True,True,True
VAL.falsehood,VAL,0.312823382516702,0.02778681337264731,0.2649687826633453,0.374157965183258,0,16,8,0.0,0.5878598168492317,0.023680156449087362,24,1.0,0.5610831218461195,0.0416272651676609,22,0.9166666666666666,-0.2750364343325297,-0.24825973932941753,-11.614637552072832,-5.9638733971474975,True,True,True,True,True
LOG.unreason,LOG,0.21936955240865544,0.01206058166624361,0.1931826472282409,0.2452405393123626,0,0,24,0.0,0.5005837877591451,0.02478339755075839,12,0.5,0.5794102971752485,0.02946345113720816,24,1.0,-0.2812142353504897,-0.3600407447665931,-11.346879893063104,-12.219910800330947,True,True,True,True,True
ECO.loss,ECO,0.2354418976853291,0.0158002707563038,0.1921325773000717,0.2654899954795837,0,0,24,0.0,0.5327874148885409,0.02661289952503437,21,0.875,0.5715013444423676,0.02788909717704386,24,1.0,-0.2973455172032118,-0.33605944675703847,-11.172984624373724,-12.049850327663403,True,True,True,True,True
WLD.nonscience,WLD,0.3437379337847233,0.02166759556229735,0.3069095015525818,0.3836947083473205,0,24,0,0.0,0.6317651644349098,0.025807789742801457,24,1.0,0.5350564370552698,0.029475519222029817,22,0.9166666666666666,-0.28802723065018654,-0.19131850327054656,-11.16047648871309,-6.490759393563331,True,True,True,True,True
STA.war,STA,0.22319945817192388,0.010580606382554182,0.206802636384964,0.245845153927803,0,0,24,0.0,0.530321042984724,0.027872067921818622,20,0.8333333333333334,0.5173484310507774,0.02410910360980699,20,0.8333333333333334,-0.30712158481280016,-0.29414897287885355,-11.018973750863363,-12.200742824764376,True,True,True,True,True
FND.temporality,FND,0.4467747074862321,0.03654615462412738,0.4058945775032043,0.55286705493927,2,22,0,0.08333333333333333,0.6268662288784981,0.01699457449763918,24,1.0,0.6144028926889101,0.03270579023716101,24,1.0,-0.18009152139226597,-0.16762818520267803,-10.597000908571356,-5.125336644892173,True,True,True,True,True
EXS.death,EXS,0.3500763364136219,0.011232659264539788,0.3310325443744659,0.3810113668441772,0,24,0,0.0,0.5721898054083189,0.02145296161684772,24,1.0,0.6111993690331777,0.045291243892753213,24,1.0,-0.22211346899469697,-0.26112303261955583,-10.353510762833974,-5.765419762766475,True,True,True,True,True
VAL.profane,VAL,0.3204542634387811,0.02496325884499033,0.2766281366348266,0.3663059175014496,0,19,5,0.0,0.5867364754279455,0.02572529301391754,24,1.0,0.5424135029315948,0.04102460460434455,21,0.875,-0.2662822119891644,-0.22195923949281376,-10.35098849389603,-5.410393144150085,True,True,True,True,True
