atom,category,finding_direction,observed_rank1_sim_mean,observed_n_strong_seeds,observed_n_weak_seeds,uniform_baseline_mean,uniform_baseline_std,shuffled_baseline_mean,shuffled_baseline_std,delta_uniform,delta_shuffled,z_score_uniform,z_score_shuffled,direction_consistency_24,true_finding_uniform,true_finding_shuffled,true_finding_both
EMO.desire,EMO,above_baseline,0.4292718581855297,0,0,0.41275473435719806,0.0397412177217168,0.519029845794042,0.02844211286604781,0.016517123828331648,-0.08975798760851228,0.4156169532597331,-3.1558129324372044,True,False,True,False
EMO.doubt,EMO,above_baseline,0.42472343395153683,0,0,0.40036507447560626,0.03999386658192658,0.5084252692759037,0.02727892111632042,0.02435835947593057,-0.08370183532436687,0.6090523762195633,-3.068370444983976,True,False,True,False
COG.confusion,COG,above_baseline,0.41713139538963634,0,0,0.3897267480691274,0.039811931714736716,0.49129752193888027,0.023265806901686406,0.027404647320508957,-0.07416612654924393,0.6883526154136576,-3.1877736655618873,True,False,True,False
REL.alone,REL,above_baseline,0.44986403236786526,0,0,0.4245183827976386,0.02989072446199198,0.5621520653367043,0.050293406663911765,0.02534564957022667,-0.11228803296883899,0.8479436355734813,-2.2326591181068616,True,False,True,False
COG.forget,COG,above_baseline,0.41163524736960727,0,0,0.3779948055744171,0.038421442857600914,0.4730519726872444,0.01670044474727901,0.03364044179519016,-0.061416725317637144,0.875564249886963,-3.6775502836619793,True,False,True,False
ACT.fall,ACT,above_baseline,0.49402151505152386,4,0,0.46686191484332085,0.02979224563496003,0.4281274378299713,0.024276604859316573,0.027159600208203016,0.06589407722155255,0.9116331994904168,2.714303651742494,True,False,True,False
PER.salty,PER,above_baseline,0.5095684640109539,23,0,0.47951564689477283,0.029051264352091374,0.4331229751308759,0.02437840387118787,0.030052817116181074,0.07644548888007802,1.0344753588673878,3.1357872846805495,True,False,True,False
FND.unconscious,FND,above_baseline,0.45909254377086955,0,0,0.4237960974375407,0.03407608809363272,0.5221619121730328,0.01760095012188843,0.035296446333328846,-0.0630693684021632,1.035812744595063,-3.5832933998108736,True,False,True,False
PER.numb,PER,above_baseline,0.39206987743576366,0,0,0.3526748903095722,0.037691832208598654,0.46120795607566833,0.016944275894793345,0.03939498712619144,-0.06913807863990468,1.045186312731283,-4.080320638614571,True,False,True,False
COM.muteness,COM,above_baseline,0.3793065622448921,0,0,0.3360975608229637,0.03795850649306417,0.4428624187906583,0.010236593306419052,0.043209001421928406,-0.06355585654576618,1.1383219576835462,-6.2086921540501425,True,False,True,False
COG.unlearned,COG,above_baseline,0.39444124574462575,0,0,0.34689447035392124,0.03676496585067136,0.4432238886753718,0.011445881484816293,0.04754677539070451,-0.04878264293074608,1.2932631457846508,-4.26202586453996,True,False,True,False
ECO.withdraw,ECO,above_baseline,0.592260055243969,24,0,0.541771532346805,0.03600556974879244,0.5366449827949206,0.02716360967516912,0.05048852289716399,0.0556150724490484,1.4022420211488886,2.0474109705635852,True,False,True,False
ACT.sit,ACT,above_baseline,0.5651942392190298,24,0,0.5175351426005363,0.025665902549955565,0.48184123386939365,0.03655285325847301,0.047659096618493435,0.08335300534963613,1.8569032016595086,2.2803419683883304,True,False,True,False
ACT.emit,ACT,above_baseline,0.5495688219865164,24,0,0.49390384058157605,0.02993152048639156,0.4479528491695722,0.03586781848657826,0.055664981404940306,0.10161597281694418,1.8597445268525041,2.8330681124353543,True,False,True,False
SOC.awake,SOC,above_baseline,0.4881632352868716,0,0,0.41142751028140384,0.03694211115711977,0.5051259932418665,0.017891727268690694,0.07673572500546777,-0.016962757954994856,2.0771884064530153,-0.9480782766389765,True,True,False,False
SOC.public,SOC,above_baseline,0.47078223650654155,2,0,0.40298748513062793,0.03213637543485746,0.4715018458664417,0.01299216890178104,0.06779475137591362,-0.0007196093599001752,2.109595449347984,-0.05538793140239479,True,True,False,False
ELM.light,ELM,above_baseline,0.5697042172153791,24,0,0.5113622757295767,0.02655558674112789,0.4737812578678131,0.03771221408105982,0.05834194148580241,0.095922959347566,2.19697429601303,2.5435515173250285,True,True,True,True
SOC.sleep,SOC,above_baseline,0.49858613808949787,9,0,0.41478599856297177,0.03780524299810601,0.5094973047574362,0.01870433889354202,0.0838001395265261,-0.010911166667938288,2.2166274537826505,-0.5833494960736382,True,True,False,False
PER.feel,PER,above_baseline,0.530106820166111,23,0,0.49113375693559647,0.017262762451798867,0.52849480509758,0.030601047437879638,0.038973063230514526,0.0016120150685310364,2.2576376949711974,0.05267842781536937,True,True,False,False
PER.touch,PER,above_baseline,0.5237359503904978,24,0,0.45535575971007347,0.028881088429838945,0.44770470758279163,0.04176026619475248,0.06838019068042434,0.07603124280770618,2.367645902492244,1.820659917566812,True,True,False,False
SOC.rest,SOC,above_baseline,0.541149211426576,24,0,0.457158421476682,0.03538844378425843,0.541469314446052,0.02690721008783856,0.083990789949894,-0.0003201030194759369,2.3733959724800044,-0.011896551832425618,True,True,False,False
PER.soundless,PER,above_baseline,0.5889750147859255,24,0,0.528349240620931,0.025413939198444473,0.5589240503807863,0.033405951051386065,0.060625774164994484,0.030050964405139213,2.385532352603773,0.8995691922949265,True,True,False,False
PRP.single,PRP,above_baseline,0.4805949106812477,0,0,0.3974924373130004,0.03482629968607813,0.5319101251661777,0.03133551258044592,0.08310247336824733,-0.05131521448493004,2.386198766947029,-1.6376057150235324,True,True,False,False
