atom,category,event_count,event_ratio,step10_count,step10_ratio,pulse_count,pulse_ratio,window_count,window_ratio
WLD.artless,WLD,115670,0.2624890506642219,436964,0.24329830551319293,78870,0.21962629834869538,3745,0.11895686423988311
PER.sound,PER,113957,0.25860175280144143,507845,0.28276431917354167,26973,0.07511069031772995,45,0.001429388221841052
WLD.culture,WLD,29472,0.06688058529589304,142646,0.07942423194641873,24185,0.06734705243518699,2300,0.07305762022743155
EXS.being,EXS,28336,0.06430266914170824,139014,0.07740196135748253,41731,0.11620673331291248,2177,0.06915062575439934
FND.timeless,FND,23476,0.053273908129966914,116383,0.06480118886348059,10691,0.029770822310712593,543,0.01724795121021536
TIM.appear,TIM,23067,0.052345767542764814,41423,0.023064018338519857,44448,0.12377266018768622,2716,0.08627152023378439
TIM.moment,TIM,22787,0.051710365673775606,112058,0.06239306102836246,29751,0.08284648157946033,10751,0.3414967282891811
ELM.light,ELM,14391,0.03265738677365624,0,0.0,15,4.1769931218846594e-05,0,0.0
COM.conduct,COM,11014,0.024993986375168496,53315,0.02968539549810941,3899,0.010857397454818857,22,0.0006988120195667365
LOG.effect,LOG,7638,0.01733285526907,34787,0.019369142890232244,16297,0.04538163793823619,1707,0.05422145988183724
SOC.city,SOC,7106,0.016125591717990495,33624,0.018721593139424755,5172,0.014402272284258305,1218,0.03868877453783114
PRP.bright,PRP,6802,0.015435726831659353,11512,0.006409795985636979,1307,0.0036395533402021666,0,0.0
PRP.deep,PRP,6505,0.014761746992052937,31833,0.017724377659032484,5827,0.016226225947481274,278,0.008830442792706944
COG.learn,COG,5705,0.01294631308065519,28260,0.01573495783131524,4774,0.013293976775918242,1634,0.05190267454418398
PER.taste,PER,5135,0.011652816418784295,14513,0.008080730467299294,1042,0.00290161788866921,0,0.0
PRP.multiple,PRP,3886,0.008818470224614561,19419,0.010812354781539654,3447,0.009598730194090946,152,0.004828155771551998
PER.hear,PER,2157,0.004894863683606178,10976,0.0061113551718512404,3191,0.008885856701289298,36,0.0011435105774728416
WLD.realm,WLD,1627,0.00369213871730517,8179,0.004554006373047676,4121,0.011475592436857788,10,0.00031764182707578933
PRP.clear,PRP,1306,0.0029636958603568237,6478,0.0036069022233283835,1608,0.004477736626660355,405,0.012864493996569469
PRP.sharp,PRP,1246,0.0028275383170019925,6033,0.0033591295327786565,40,0.00011138648325025758,5,0.00015882091353789466
PRP.shallow,PRP,1151,0.00261195554002351,4492,0.0025011121931446585,615,0.0017125671799727103,148,0.004701099040721682
FND.transformation,FND,937,0.0021263269687246122,4275,0.0023802882069664773,469,0.00130600651610927,1537,0.04882154882154882
CHG.advance,CHG,873,0.0019810922558127927,4569,0.002543985220498207,180,0.0005012391746261591,300,0.00952925481227368
LOG.cause,LOG,735,0.0016679299060966808,3437,0.0019136960391447444,54,0.00015037175238784774,43,0.0013658598564258943
ACT.create,ACT,626,0.0014205770356687378,2405,0.0013390861140945912,721,0.0020077413605858927,0,0.0
EMO.manifest,EMO,616,0.0013978841117762658,2919,0.0016252774914936015,606,0.0016875052212414023,32,0.001016453846642526
CHG.end,CHG,601,0.0013638447259375582,2987,0.001663139385779852,725,0.0020188800089109187,315,0.010005717552887363
ACT.make,ACT,588,0.0013343439248773448,2591,0.0014426495308187467,271,0.0007546434240204951,0,0.0
FND.temporality,FND,431,0.0009780650197655366,2267,0.0012622487403960243,249,0.0006933808582328534,0,0.0
COM.teach,COM,399,0.0009054476633096268,2063,0.0011486630575372732,2,5.569324162512879e-06,395,0.012546852169493678
ACT.build,ACT,294,0.0006671719624386724,1547,0.0008613580950121966,509,0.0014173929993595278,0,0.0
CHG.begin,CHG,270,0.0006127089450967399,903,0.000502783684418884,18198,0.05067528055470469,1,3.1764182707578934e-05
PER.fragrance,PER,265,0.000601362483150504,286,0.0001592426730274649,35,9.746317284397538e-05,0,0.0
VAL.ugliness,VAL,247,0.0005605152201440547,170,9.4654735715626e-05,384,0.0010693102392024727,0,0.0
WLD.art,WLD,199,0.0004515891854601898,473,0.0002633628823146535,1,2.7846620812564394e-06,0,0.0
ELM.sun,ELM,133,0.0003018158877698756,397,0.00022104664752413834,94,0.00026175823563810534,1,3.1764182707578934e-05
BOD.ear,BOD,124,0.00028139225626665096,703,0.00039142517181226514,128,0.00035643674640082425,50,0.0015882091353789467
ELM.morning,ELM,123,0.00027912296387740376,0,0.0,21718,0.06047729108072735,0,0.0
EXS.death,EXS,117,0.00026550720954192066,578,0.0003218261014331284,42,0.00011695580741277047,0,0.0
PER.soundless,PER,107,0.00024281428564944878,491,0.0002733851484492492,85,0.00023669627690679735,3,9.52925481227368e-05
SOC.public,SOC,92,0.000208774899810741,440,0.0002449887277345614,566,0.0015761187379911448,0,0.0
FND.time,FND,88,0.00019969773025375228,498,0.0002772826963904809,36,0.00010024783492523182,0,0.0
WLD.science,WLD,61,0.00013842683574407828,294,0.00016369701353172967,18,5.012391746261591e-05,13,0.00041293437519852617
PER.see,PER,56,0.00012708037379784235,268,0.0001492204068928692,160,0.0004455459330010303,2,6.352836541515787e-05
PER.smell,PER,44,9.984886512687614e-05,146,8.129171420283174e-05,3,8.353986243769318e-06,0,0.0
FND.numberless,FND,29,6.580947928816836e-05,116,6.458793731183891e-05,62,0.00017264904903789926,7,0.00022234927895305255
EXS.void,EXS,28,6.354018689892118e-05,130,7.238303319430223e-05,7,1.9492634568795075e-05,0,0.0
SPC.nowhere,SPC,24,5.446301734193244e-05,116,6.458793731183891e-05,25,6.961655203141099e-05,0,0.0
ACT.agitate,ACT,23,5.219372495268525e-05,106,5.9020011681507975e-05,14,3.898526913759015e-05,35,0.0011117463947652626
PRP.new,PRP,18,4.0847263006449326e-05,9,5.011133067297846e-06,7,1.9492634568795075e-05,0,0.0
PRP.easy,PRP,16,3.630867822795496e-05,74,4.120264966444896e-05,1,2.7846620812564394e-06,0,0.0
STA.peace,STA,14,3.177009344946059e-05,68,3.7861894286250395e-05,13,3.6200607056333715e-05,1,3.1764182707578934e-05
SOC.nation,SOC,13,2.9500801060213404e-05,60,3.340755378198564e-05,65,0.00018100303528166857,0,0.0
LOG.reason,LOG,10,2.269292389247185e-05,52,2.8953213277720892e-05,12,3.341594497507727e-05,0,0.0
WLD.technique,WLD,8,1.815433911397748e-05,53,2.9510005840753988e-05,47,0.00013087911781905267,0,0.0
EXS.nonbeing,EXS,6,1.361575433548311e-05,30,1.670377689099282e-05,52,0.00014480242822533486,11,0.00034940600978336826
PER.feel,PER,6,1.361575433548311e-05,30,1.670377689099282e-05,7,1.9492634568795075e-05,10,0.00031764182707578933
ABS.release,ABS,5,1.1346461946235925e-05,25,1.3919814075827352e-05,1,2.7846620812564394e-06,20,0.0006352836541515787
COM.silence,COM,4,9.07716955698874e-06,21,1.1692643823694975e-05,5,1.3923310406282198e-05,0,0.0
FND.mind,FND,2,4.53858477849437e-06,10,5.5679256303309405e-06,0,0.0,0,0.0
ELM.night,ELM,0,0.0,46,2.5612457899522327e-05,0,0.0,0,0.0
FND.logic,FND,0,0.0,0,0.0,559,0.0015566261034223497,10,0.00031764182707578933
FND.ahistorical,FND,0,0.0,0,0.0,0,0.0,795,0.025252525252525252
CHG.stay,CHG,0,0.0,0,0.0,1,2.7846620812564394e-06,0,0.0
PRP.impossible,PRP,0,0.0,0,0.0,4126,0.011489515747264069,0,0.0
TIM.past,TIM,0,0.0,0,0.0,778,0.00216646709921751,3,9.52925481227368e-05
STA.healing,STA,0,0.0,0,0.0,14,3.898526913759015e-05,6,0.0001905850962454736
SOC.village,SOC,0,0.0,0,0.0,56,0.0001559410765503606,0,0.0
TIM.period,TIM,0,0.0,594,0.00033073478244165786,0,0.0,0,0.0
