atom,category,n_records,ratio_overall,n_seeds_appeared,n_unique_cids,rank_1_sim_mean,rank_1_sim_max
WLD.artless,WLD,115670,0.2624890506642219,24,321,0.6435793556378492,0.75966156
PER.sound,PER,113957,0.25860175280144143,24,296,0.49171139444176315,0.5810846
WLD.culture,WLD,29472,0.06688058529589304,24,154,0.5030012873883686,0.62583655
EXS.being,EXS,28336,0.06430266914170824,24,171,0.46625284354884244,0.58866096
FND.timeless,FND,23476,0.053273908129966914,24,135,0.45076516035781217,0.5357288
TIM.appear,TIM,23067,0.052345767542764814,24,309,0.5375449052204448,0.66195655
TIM.moment,TIM,22787,0.051710365673775606,24,256,0.48908447889849477,0.62112135
ELM.light,ELM,14391,0.03265738677365624,24,210,0.5311706627600584,0.5605159
COM.conduct,COM,11014,0.024993986375168496,24,212,0.4976946726620665,0.59790236
LOG.effect,LOG,7638,0.01733285526907,24,188,0.48698064945404557,0.63726467
SOC.city,SOC,7106,0.016125591717990495,24,178,0.5039742779988742,0.6049442
PRP.bright,PRP,6802,0.015435726831659353,24,245,0.5393001143531314,0.5772902
PRP.deep,PRP,6505,0.014761746992052937,24,138,0.5107937667225211,0.61014205
COG.learn,COG,5705,0.01294631308065519,24,164,0.5960035116038562,0.66734064
PER.taste,PER,5135,0.011652816418784295,24,186,0.6425451462083739,0.66747206
PRP.multiple,PRP,3886,0.008818470224614561,24,176,0.45135394778178073,0.52551234
PER.hear,PER,2157,0.004894863683606178,24,126,0.578920238312471,0.62282157
WLD.realm,WLD,1627,0.00369213871730517,24,56,0.4894731176828519,0.5304548
PRP.clear,PRP,1306,0.0029636958603568237,15,30,0.44266788900459414,0.4827284
PRP.sharp,PRP,1246,0.0028275383170019925,24,160,0.4779570386276084,0.52913404
PRP.shallow,PRP,1151,0.00261195554002351,24,131,0.4637959966811469,0.4987709
FND.transformation,FND,937,0.0021263269687246122,24,185,0.5070785769690501,0.575137
CHG.advance,CHG,873,0.0019810922558127927,23,94,0.4722626344788087,0.62075776
LOG.cause,LOG,735,0.0016679299060966808,24,117,0.606558845782313,0.6971244
ACT.create,ACT,626,0.0014205770356687378,24,174,0.5291023036261981,0.59480864
EMO.manifest,EMO,616,0.0013978841117762658,23,60,0.6007790310064934,0.65627867
CHG.end,CHG,601,0.0013638447259375582,18,33,0.5354676250915141,0.605807
ACT.make,ACT,588,0.0013343439248773448,24,174,0.5022888795578232,0.5680152
FND.temporality,FND,431,0.0009780650197655366,24,84,0.46369486090487244,0.5020763
COM.teach,COM,399,0.0009054476633096268,23,54,0.5948171787468671,0.64736634
ACT.build,ACT,294,0.0006671719624386724,24,112,0.47250582119047624,0.5372522
CHG.begin,CHG,270,0.0006127089450967399,24,148,0.656560078962963,0.7154055
PER.fragrance,PER,265,0.000601362483150504,21,56,0.5637266266415095,0.57912296
VAL.ugliness,VAL,247,0.0005605152201440547,23,52,0.5484229388663967,0.5561118
WLD.art,WLD,199,0.0004515891854601898,24,102,0.5269347378894472,0.554423
ELM.sun,ELM,133,0.0003018158877698756,1,1,0.541191142330827,0.61827576
BOD.ear,BOD,124,0.00028139225626665096,16,22,0.6115061831451611,0.64022523
ELM.morning,ELM,123,0.00027912296387740376,2,2,0.512480010894309,0.5139885
EXS.death,EXS,117,0.00026550720954192066,16,21,0.4634605674358975,0.49350497
PER.soundless,PER,107,0.00024281428564944878,9,11,0.5900416955140187,0.62617826
SOC.public,SOC,92,0.000208774899810741,2,3,0.4259393242391304,0.44714782
FND.time,FND,88,0.00019969773025375228,16,29,0.47766721409090906,0.57846767
WLD.science,WLD,61,0.00013842683574407828,6,7,0.4379389593442622,0.49641642
PER.see,PER,56,0.00012708037379784235,7,8,0.6003913898214286,0.6230244
PER.smell,PER,44,9.984886512687614e-05,10,15,0.6416888659090909,0.6545651
FND.numberless,FND,29,6.580947928816836e-05,1,1,0.5178842127586207,0.57046646
EXS.void,EXS,28,6.354018689892118e-05,2,2,0.5252773778571428,0.5667107
SPC.nowhere,SPC,24,5.446301734193244e-05,4,5,0.5839685279166666,0.6557661
ACT.agitate,ACT,23,5.219372495268525e-05,12,16,0.49180507000000007,0.51116294
PRP.new,PRP,18,4.0847263006449326e-05,9,10,0.5507431183333332,0.5673044
PRP.easy,PRP,16,3.630867822795496e-05,9,14,0.567474495,0.57258546
STA.peace,STA,14,3.177009344946059e-05,2,2,0.49603716928571434,0.5085911
SOC.nation,SOC,13,2.9500801060213404e-05,3,5,0.4425691523076924,0.4617033
LOG.reason,LOG,10,2.269292389247185e-05,2,2,0.467485963,0.46822277
WLD.technique,WLD,8,1.815433911397748e-05,5,7,0.57760162,0.5872883
EXS.nonbeing,EXS,6,1.361575433548311e-05,1,1,0.43993335499999997,0.4401653
PER.feel,PER,6,1.361575433548311e-05,2,2,0.5685833666666666,0.59354085
ABS.release,ABS,5,1.1346461946235925e-05,2,3,0.62424729,0.66916513
COM.silence,COM,4,9.07716955698874e-06,1,1,0.626583935,0.6369304
FND.mind,FND,2,4.53858477849437e-06,2,2,0.5863887649999999,0.60071033
