atom,category,obs_rank1_ratio_mean,uni_baseline_rank1_ratio_mean,delta_ratio,z_score_uniform,n_seeds_obs_appeared
BOD.ear,BOD,0.00027937147267902417,0.0,0.00027937147267902417,inf,16
SOC.nation,SOC,3.105426109664183e-05,0.0,3.105426109664183e-05,inf,3
SOC.public,SOC,0.0001805074947129338,0.0,0.0001805074947129338,inf,2
COM.silence,COM,8.260230295220631e-06,0.0,8.260230295220631e-06,inf,1
ELM.light,ELM,0.03291174460820249,0.0,0.03291174460820249,inf,24
PER.smell,PER,9.127720335763646e-05,0.0,9.127720335763646e-05,inf,10
TIM.appear,TIM,0.05258248404938504,0.0,0.05258248404938504,inf,24
PRP.bright,PRP,0.015449268567945226,0.0,0.015449268567945226,inf,24
PER.taste,PER,0.0118781181187962,0.0,0.0118781181187962,inf,24
PER.hear,PER,0.0048457849623863005,0.0,0.0048457849623863005,inf,24
FND.transformation,FND,0.0021235559898205273,0.0,0.0021235559898205273,inf,24
PER.feel,PER,1.3023223741341649e-05,0.0,1.3023223741341649e-05,inf,2
PER.fragrance,PER,0.0005921388986717608,0.0,0.0005921388986717608,inf,21
EXS.nonbeing,EXS,1.172497889503799e-05,0.0,1.172497889503799e-05,inf,1
PRP.sharp,PRP,0.0028582227736132647,0.0,0.0028582227736132647,inf,24
PER.soundless,PER,0.00023672917169576162,0.0,0.00023672917169576162,inf,9
PER.see,PER,0.0001387591089959271,0.0,0.0001387591089959271,inf,7
WLD.technique,WLD,1.746560736939734e-05,0.0,1.746560736939734e-05,inf,5
VAL.ugliness,VAL,0.0005692011115290049,0.0,0.0005692011115290049,inf,23
PER.sound,PER,0.2585628174365145,2.0108853052345262e-05,0.2585427085834621,7547.814721929155,24
FND.timeless,FND,0.05329869795657985,4.578125527162617e-06,0.053294119831052686,3491.7126595427635,24
SOC.city,SOC,0.016127294903439306,2.5771070427181266e-06,0.016124717796396588,1304.655191817373,24
WLD.artless,WLD,0.2637231995283506,0.01822379907093104,0.24549940045741955,257.0700834181585,24
WLD.culture,WLD,0.06561501807094157,0.006324038543649248,0.05929097952729232,126.19907304012725,24
EMO.manifest,EMO,0.001396713301864097,9.088504581936079e-06,0.001387624797282161,67.99076099830141,23
PRP.shallow,PRP,0.002660271679240729,4.710435810150649e-05,0.0026131673211392224,52.16516352677284,24
COG.learn,COG,0.012824672501625431,0.001587637650315183,0.011237034851310248,38.91839165677112,24
PRP.deep,PRP,0.01435681778121956,0.0034813271341706587,0.010875490647048902,29.396145173530204,24
CHG.begin,CHG,0.0006246800614959204,1.7504240162346618e-05,0.0006071758213335738,24.442213524754717,24
FND.temporality,FND,0.0009709549137275156,3.98176019088181e-05,0.0009311373118186976,19.32081018060311,24
PRP.clear,PRP,0.002843572244532974,0.000821368464925112,0.002022203779607862,12.038357994937577,15
EXS.being,EXS,0.06505699925132494,0.05779133847129877,0.007265660780026169,6.262042024249296,24
ACT.build,ACT,0.0006775382874115438,0.0001896709054618697,0.00048786738194967405,5.0689464357254845,24
FND.numberless,FND,6.789152339214144e-05,4.295250162695117e-06,6.359627322944632e-05,4.444603644754323,1
EXS.death,EXS,0.0002788882019222184,6.2183872679841e-05,0.0002167043292423774,3.860068128378124,16
COM.teach,COM,0.0009509651271826557,0.0004884261137357486,0.0004625390134469071,2.7252525119636535,23
ACT.agitate,ACT,5.283002878868565e-05,1.4362702409864384e-05,3.8467326378821264e-05,1.5429936488236868,12
SOC.stateless,SOC,0.0,0.0,0.0,0.0,0
SPC.outside,SPC,0.0,0.0,0.0,0.0,0
SOC.praise,SOC,0.0,0.0,0.0,0.0,0
SOC.pass,SOC,0.0,0.0,0.0,0.0,0
SOC.official,SOC,0.0,0.0,0.0,0.0,0
ABS.exempt,ABS,0.0,0.0,0.0,0.0,0
STA.health,STA,0.0,0.0,0.0,0.0,0
STA.illness,STA,0.0,0.0,0.0,0.0,0
WLD.uncultured,WLD,0.0,0.0,0.0,0.0,0
WLD.unskilled,WLD,0.0,0.0,0.0,0.0,0
BEI.male,BEI,0.0,0.0,0.0,0.0,0
BEI.female,BEI,0.0,0.0,0.0,0.0,0
BEI.child,BEI,0.0,0.0,0.0,0.0,0
BEI.beast,BEI,0.0,0.0,0.0,0.0,0
ECO.waste,ECO,0.0,0.0,0.0,0.0,0
BEI.plant,BEI,0.0,0.0,0.0,0.0,0
ECO.save,ECO,0.0,0.0,0.0,0.0,0
BEI.root,BEI,0.0,0.0,0.0,0.0,0
ELM.earth,ELM,0.0,0.0,0.0,0.0,0
ELM.fire,ELM,0.0,0.0,0.0,0.0,0
ECO.buy,ECO,0.0,0.0,0.0,0.0,0
ECO.currency,ECO,0.0,0.0,0.0,0.0,0
ECO.earn,ECO,0.0,0.0,0.0,0.0,0
ECO.withdraw,ECO,0.0,0.0,0.0,0.0,0
ELM.darkness,ELM,0.0,0.0,0.0,0.0,0
ECO.sell,ECO,0.0,0.0,0.0,0.0,0
ECO.pay,ECO,0.0,0.0,0.0,0.0,0
ECO.money,ECO,0.0,0.0,0.0,0.0,0
ECO.income,ECO,0.0,0.0,0.0,0.0,0
COM.muteness,COM,0.0,0.0,0.0,0.0,0
COM.speak,COM,0.0,0.0,0.0,0.0,0
COG.remember,COG,0.0,0.0,0.0,0.0,0
COG.think,COG,0.0,0.0,0.0,0.0,0
ECO.price,ECO,0.0,0.0,0.0,0.0,0
COG.unlearned,COG,0.0,0.0,0.0,0.0,0
EMO.like,EMO,0.0,0.0,0.0,0.0,0
EMO.patience,EMO,0.0,0.0,0.0,0.0,0
EMO.pleasure,EMO,0.0,0.0,0.0,0.0,0
EMO.pride,EMO,0.0,0.0,0.0,0.0,0
EMO.respect,EMO,0.0,0.0,0.0,0.0,0
EMO.satisfaction,EMO,0.0,0.0,0.0,0.0,0
EMO.dislike,EMO,0.0,0.0,0.0,0.0,0
EMO.doubt,EMO,0.0,0.0,0.0,0.0,0
EMO.fear,EMO,0.0,0.0,0.0,0.0,0
EMO.forgiveness,EMO,0.0,0.0,0.0,0.0,0
EMO.happiness,EMO,0.0,0.0,0.0,0.0,0
EMO.hate,EMO,0.0,0.0,0.0,0.0,0
STA.pain,STA,0.0,0.0,0.0,0.0,0
SOC.sleep,SOC,0.0,0.0,0.0,0.0,0
SOC.criticize,SOC,0.0,0.0,0.0,0.0,0
SOC.individual,SOC,0.0,0.0,0.0,0.0,0
SOC.defend,SOC,0.0,0.0,0.0,0.0,0
COG.forget,COG,0.0,0.0,0.0,0.0,0
SOC.obstruct,SOC,0.0,0.0,0.0,0.0,0
COG.ignorance,COG,0.0,0.0,0.0,0.0,0
COG.instinct,COG,0.0,0.0,0.0,0.0,0
SOC.rest,SOC,0.0,0.0,0.0,0.0,0
SOC.refuse,SOC,0.0,0.0,0.0,0.0,0
COG.mindless,COG,0.0,0.0,0.0,0.0,0
COG.intention,COG,0.0,0.0,0.0,0.0,0
CHG.stay,CHG,0.0,0.0,0.0,0.0,0
CHG.decay,CHG,0.0,0.0,0.0,0.0,0
COG.confusion,COG,0.0,0.0,0.0,0.0,0
BOD.eye,BOD,0.0,0.0,0.0,0.0,0
BOD.face,BOD,0.0,0.0,0.0,0.0,0
BOD.foot,BOD,0.0,0.0,0.0,0.0,0
BOD.hand,BOD,0.0,0.0,0.0,0.0,0
BOD.head,BOD,0.0,0.0,0.0,0.0,0
BOD.hip,BOD,0.0,0.0,0.0,0.0,0
BOD.mouth,BOD,0.0,0.0,0.0,0.0,0
ABS.foolish,ABS,0.0,0.0,0.0,0.0,0
SPC.reverse,SPC,0.0,0.0,0.0,0.0,0
STA.comfort,STA,0.0,0.0,0.0,0.0,0
STA.healing,STA,0.0,0.0,0.0,0.0,0
PRP.possible,PRP,0.0,0.0,0.0,0.0,0
PRP.part,PRP,0.0,0.0,0.0,0.0,0
PRP.wide,PRP,0.0,0.0,0.0,0.0,0
PRP.wet,PRP,0.0,0.0,0.0,0.0,0
PRP.weak,PRP,0.0,0.0,0.0,0.0,0
PRP.strong,PRP,0.0,0.0,0.0,0.0,0
PRP.soft,PRP,0.0,0.0,0.0,0.0,0
PRP.smooth,PRP,0.0,0.0,0.0,0.0,0
PRP.small,PRP,0.0,0.0,0.0,0.0,0
SOC.citizen,SOC,0.0,0.0,0.0,0.0,0
SOC.awake,SOC,0.0,0.0,0.0,0.0,0
REL.together,REL,0.0,0.0,0.0,0.0,0
REL.different,REL,0.0,0.0,0.0,0.0,0
REL.alone,REL,0.0,0.0,0.0,0.0,0
PRP.young,PRP,0.0,0.0,0.0,0.0,0
ELM.wind,ELM,0.0,0.0,0.0,0.0,0
ELM.water,ELM,0.0,0.0,0.0,0.0,0
ELM.star,ELM,0.0,0.0,0.0,0.0,0
EMO.despair,EMO,0.0,0.0,0.0,0.0,0
EMO.desire,EMO,0.0,0.0,0.0,0.0,0
EMO.courage,EMO,0.0,0.0,0.0,0.0,0
EMO.contempt,EMO,0.0,0.0,0.0,0.0,0
EMO.apology,EMO,0.0,0.0,0.0,0.0,0
EMO.anxiety,EMO,0.0,0.0,0.0,0.0,0
EMO.anger,EMO,0.0,0.0,0.0,0.0,0
EMO.joy,EMO,0.0,0.0,0.0,0.0,0
EMO.hope,EMO,0.0,0.0,0.0,0.0,0
FND.consciousness,FND,0.0,0.0,0.0,0.0,0
PRP.murky,PRP,0.0,0.0,0.0,0.0,0
PRP.narrow,PRP,0.0,0.0,0.0,0.0,0
PRP.single,PRP,0.0,0.0,0.0,0.0,0
PRP.rough,PRP,0.0,0.0,0.0,0.0,0
EXS.absence,EXS,0.0,0.0,0.0,0.0,0
EMO.worry,EMO,0.0,0.0,0.0,0.0,0
EMO.wish,EMO,0.0,0.0,0.0,0.0,0
EMO.unhappiness,EMO,0.0,0.0,0.0,0.0,0
EMO.sorrow,EMO,0.0,0.0,0.0,0.0,0
EMO.trust,EMO,0.0,0.0,0.0,0.0,0
PER.delicious,PER,0.0,0.0,0.0,0.0,0
PER.blind,PER,0.0,0.0,0.0,0.0,0
MAT.food,MAT,0.0,0.0,0.0,0.0,0
MAT.naked,MAT,0.0,0.0,0.0,0.0,0
MAT.tool,MAT,0.0,0.0,0.0,0.0,0
NAT.flower,NAT,0.0,0.0,0.0,0.0,0
NAT.river,NAT,0.0,0.0,0.0,0.0,0
PER.deaf,PER,0.0,0.0,0.0,0.0,0
PER.numb,PER,0.0,0.0,0.0,0.0,0
PER.odorless,PER,0.0,0.0,0.0,0.0,0
PER.bitter,PER,0.0,0.0,0.0,0.0,0
FND.body,FND,0.0,0.0,0.0,0.0,0
FND.memoryless,FND,0.0,0.0,0.0,0.0,0
FND.information,FND,0.0,0.0,0.0,0.0,0
FND.intuition,FND,0.0,0.0,0.0,0.0,0
EXS.matter,EXS,0.0,0.0,0.0,0.0,0
EXS.physical_body,EXS,0.0,0.0,0.0,0.0,0
FND.history,FND,0.0,0.0,0.0,0.0,0
EXS.spirit,EXS,0.0,0.0,0.0,0.0,0
EMO.shame,EMO,0.0,0.0,0.0,0.0,0
PRP.old,PRP,0.0,0.0,0.0,0.0,0
PRP.near,PRP,0.0,0.0,0.0,0.0,0
FND.memory,FND,0.0,0.0,0.0,0.0,0
PRP.long,PRP,0.0,0.0,0.0,0.0,0
PRP.low,PRP,0.0,0.0,0.0,0.0,0
PRP.short,PRP,0.0,0.0,0.0,0.0,0
PRP.hot,PRP,0.0,0.0,0.0,0.0,0
PRP.high,PRP,0.0,0.0,0.0,0.0,0
PRP.heavy,PRP,0.0,0.0,0.0,0.0,0
PRP.hard,PRP,0.0,0.0,0.0,0.0,0
PRP.fast,PRP,0.0,0.0,0.0,0.0,0
FND.unconscious,FND,0.0,0.0,0.0,0.0,0
FND.unchanging,FND,0.0,0.0,0.0,0.0,0
MAT.drink,MAT,0.0,0.0,0.0,0.0,0
LOG.unreason,LOG,0.0,0.0,0.0,0.0,0
FND.spatiality,FND,0.0,0.0,0.0,0.0,0
MAT.bare_hand,MAT,0.0,0.0,0.0,0.0,0
MAT.clothing,MAT,0.0,0.0,0.0,0.0,0
FND.uninformed,FND,0.0,0.0,0.0,0.0,0
NAT.sea,NAT,0.0,0.0,0.0,0.0,0
NAT.tree,NAT,0.0,0.0,0.0,0.0,0
PRP.dark,PRP,0.0,0.0,0.0,0.0,0
PRP.clean,PRP,0.0,0.0,0.0,0.0,0
PRP.blunt,PRP,0.0,0.0,0.0,0.0,0
PER.untouched,PER,0.0,0.0,0.0,0.0,0
PRP.aged,PRP,0.0,0.0,0.0,0.0,0
PER.touch,PER,0.0,0.0,0.0,0.0,0
PER.tasteless,PER,0.0,0.0,0.0,0.0,0
PRP.dry,PRP,0.0,0.0,0.0,0.0,0
PRP.far,PRP,0.0,0.0,0.0,0.0,0
PRP.light,PRP,0.0,0.0,0.0,0.0,0
WLD.secular,WLD,0.0,0.0,0.0,0.0,0
PER.salty,PER,0.0,0.0,0.0,0.0,0
PER.stench,PER,0.0,0.0,0.0,0.0,0
VAL.sacred,VAL,0.0,0.0,0.0,0.0,0
PRP.dirty,PRP,0.0,0.0,0.0,0.0,0
PRP.cold,PRP,0.0,0.0,0.0,0.0,0
PRP.large,PRP,0.0,0.0,0.0,0.0,0
VAL.good,VAL,0.0,0.0,0.0,0.0,0
VAL.evil,VAL,0.0,0.0,0.0,0.0,0
VAL.beauty,VAL,0.0,0.0,0.0,0.0,0
STA.poverty,STA,0.0,0.0,0.0,0.0,0
TIM.come,TIM,0.0,0.0,0.0,0.0,0
ACT.obtain,ACT,0.0,0.0,0.0,0.0,0
STA.wealth,STA,0.0,0.0,0.0,0.0,0
STA.wound,STA,0.0,0.0,0.0,0.0,0
ACT.sit,ACT,0.0,0.0,0.0,0.0,0
ACT.stand,ACT,0.0,0.0,0.0,0.0,0
ACT.stop,ACT,0.0,0.0,0.0,0.0,0
ACT.take,ACT,0.0,0.0,0.0,0.0,0
ACT.fall,ACT,0.0,0.0,0.0,0.0,0
ACT.give,ACT,0.0,0.0,0.0,0.0,0
ACT.rise,ACT,0.0,0.0,0.0,0.0,0
ACT.sink,ACT,0.0,0.0,0.0,0.0,0
ACT.leave,ACT,0.0,0.0,0.0,0.0,0
ACT.go,ACT,0.0,0.0,0.0,0.0,0
ACT.lose,ACT,0.0,0.0,0.0,0.0,0
ACT.lie_down,ACT,0.0,0.0,0.0,0.0,0
ACT.calm,ACT,0.0,0.0,0.0,0.0,0
ACT.descend,ACT,0.0,0.0,0.0,0.0,0
ACT.destroy,ACT,0.0,0.0,0.0,0.0,0
ACT.move,ACT,0.0,0.0,0.0,0.0,0
ACT.dissolve,ACT,0.0,0.0,0.0,0.0,0
ACT.emit,ACT,0.0,0.0,0.0,0.0,0
ABS.self,ABS,0.0,0.0,0.0,0.0,0
ACT.exit,ACT,0.0,0.0,0.0,0.0,0
ABS.wise,ABS,0.0,0.0,0.0,0.0,0
ACT.abandon,ACT,0.0,0.0,0.0,0.0,0
ACT.arrive,ACT,0.0,0.0,0.0,0.0,0
ACT.ascend,ACT,0.0,0.0,0.0,0.0,0
ABS.release,ABS,1.186203933435364e-05,1.5217310369735624e-05,-3.3552710353819847e-06,-0.12060904364429312,2
FND.mind,FND,4.295896960737477e-06,6.814458913857612e-06,-2.518561953120135e-06,-0.13886525573230055,2
SOC.request,SOC,0.0,2.1332514164789403e-06,-2.1332514164789403e-06,-0.20851441405707472,0
VAL.incorrect,VAL,0.0,2.1332514164789403e-06,-2.1332514164789403e-06,-0.20851441405707472,0
COG.separate,COG,0.0,1.929548331326603e-06,-1.929548331326603e-06,-0.20851441405707474,0
PER.sweet,PER,0.0,2.2311468094600625e-06,-2.2311468094600625e-06,-0.20851441405707477,0
FND.labor,FND,0.0,2.0145368982578285e-06,-2.0145368982578285e-06,-0.20851441405707477,0
EXS.vitality,EXS,0.0,2.7850188267272688e-06,-2.7850188267272688e-06,-0.20851441405707477,0
BEI.parent,BEI,0.0,2.2224592845459072e-06,-2.2224592845459072e-06,-0.20851441405707477,0
SOC.attack,SOC,0.0,2.366348629410874e-06,-2.366348629410874e-06,-0.20851441405707477,0
SOC.village,SOC,0.0,2.2224592845459072e-06,-2.2224592845459072e-06,-0.20851441405707477,0
SPC.place,SPC,0.0,2.366348629410874e-06,-2.366348629410874e-06,-0.20851441405707477,0
COM.answer,COM,0.0,2.2224592845459072e-06,-2.2224592845459072e-06,-0.20851441405707477,0
ABS.bound,ABS,0.0,2.065057573805158e-06,-2.065057573805158e-06,-0.2085144140570748,0
EMO.love,EMO,0.0,2.093697134147363e-06,-2.093697134147363e-06,-0.2085144140570748,0
ECO.loss,ECO,0.0,4.624512844695165e-06,-4.624512844695165e-06,-0.3004775310255431,0
TIM.now,TIM,0.0,4.1082340324051914e-06,-4.1082340324051914e-06,-0.30145030182272986,0
SOC.work,SOC,0.0,4.207633121018953e-06,-4.207633121018953e-06,-0.3014555398840311,0
STA.war,STA,0.0,4.359022188628518e-06,-4.359022188628518e-06,-0.3014592192184116,0
EXS.presence,EXS,0.0,8.65337840715558e-06,-8.65337840715558e-06,-0.3641261060034035,0
REL.same,REL,0.0,6.326014164688685e-06,-6.326014164688685e-06,-0.37732011747396116,0
