category,n_atoms,obs_total_ratio_mean,uni_baseline_total_ratio_mean,delta_ratio,n_atoms_above_baseline,n_atoms_below_baseline
PER,20,0.2763586481241594,2.2339999861805324e-05,0.2763363081242976,8,1
WLD,12,0.3335573809426099,0.07069641810493497,0.2628609628376749,3,6
FND,24,0.05666386533636897,0.005545383565272074,0.051118481771096895,4,9
ELM,12,0.03352082468505539,0.0066281495423303576,0.026892675142725034,1,5
SOC,22,0.016338856659248883,0.00029729161800660285,0.01604156504124228,3,6
COG,13,0.012824672501625431,0.002755800961945898,0.010068871539679534,1,3
EXS,11,0.06541143113936519,0.05797509762510757,0.007436333514257619,3,4
PRP,46,0.04703375263329031,0.04145123003250492,0.005582522600785386,5,7
EMO,30,0.001396713301864097,0.000406410051305755,0.000990303250558342,1,2
BOD,8,0.00027937147267902417,0.0,0.00027937147267902417,1,0
MAT,6,0.0,0.0,0.0,0,0
NAT,4,0.0,0.0,0.0,0,0
ECO,12,0.0,4.624512844695165e-06,-4.624512844695165e-06,0,1
REL,4,0.0,6.326014164688685e-06,-6.326014164688685e-06,0,1
BEI,8,0.0,2.3923479468959732e-05,-2.3923479468959732e-05,0,2
ABS,8,1.186203933435364e-05,6.670754508255659e-05,-5.484550574820295e-05,0,4
VAL,10,0.0005692011115290049,0.0009115492995175714,-0.0003423481879885666,1,5
STA,11,3.30716786144827e-05,0.001984681115709032,-0.0019516094370945493,0,3
SPC,6,5.5135535666587164e-05,0.004553255124670202,-0.004498119589003615,0,4
CHG,7,0.003969381624459678,0.01312375480047357,-0.009154373176013893,1,4
ACT,28,0.003503329457783072,0.015780916650977115,-0.012277587193194044,2,3
LOG,4,0.01911279392695052,0.03616072452926545,-0.01704793060231493,0,3
COM,12,0.026084669299194497,0.09859077826397791,-0.07250610896478342,2,8
TIM,7,0.10327503853020117,0.6430146371625783,-0.5397395986323772,1,5
