step_bin,step_low,n_records,dominant_category,dominant_category_count,dominant_category_seed_unanimity,dominant_atom,dominant_atom_count,rank_1_sim_mean
0,0,74206,WLD,26998,24,WLD.artless,26910,0.5785393112370967
1,1000,12128,PER,6075,24,PER.sound,5923,0.5792737216762862
2,2000,12788,PER,6760,24,PER.sound,6576,0.5676686424593368
3,3000,12832,PER,6954,24,PER.sound,6766,0.563765965888404
4,4000,13898,PER,7259,24,PER.sound,6974,0.5551957962534178
5,5000,13662,PER,7327,24,PER.sound,7119,0.5439475089613526
6,6000,14107,PER,7989,24,PER.sound,7746,0.5420828962954561
7,7000,14828,PER,8470,24,PER.sound,8197,0.5405490519456434
8,8000,14601,PER,8202,24,PER.sound,8010,0.5314648608732279
9,9000,14846,PER,8052,24,PER.sound,7756,0.527503930831874
10,10000,14845,PER,7803,24,PER.sound,7534,0.5239726111162007
11,11000,15526,PER,7107,24,PER.sound,6878,0.5300433131025377
12,12000,15637,PER,5892,24,PER.sound,5664,0.5305795042431413
13,13000,16253,WLD,5889,24,PER.sound,4476,0.5310331334836647
14,14000,16026,WLD,5763,24,WLD.artless,3486,0.5290248334518907
15,15000,14968,WLD,4701,24,PER.sound,2745,0.51440394385155
16,16000,15785,WLD,5269,24,WLD.artless,3277,0.520443499289832
17,17000,16094,WLD,5200,24,WLD.artless,3366,0.5169789673536722
18,18000,15980,WLD,4768,24,WLD.artless,2932,0.513314845574468
19,19000,16586,WLD,5269,24,WLD.artless,3446,0.5167541126208851
20,20000,16359,WLD,4968,24,WLD.artless,3252,0.5137540230496974
21,21000,16496,WLD,4359,24,FND.timeless,2830,0.508453233223812
22,22000,16969,WLD,4360,24,FND.timeless,3107,0.5078010379356472
23,23000,17473,WLD,4848,24,FND.timeless,3254,0.510669140483031
24,24000,17773,WLD,4864,24,FND.timeless,3373,0.5097376255640579
