source,n_pulses_total,rank_1_atom,category,count,ratio_within_source,n_seeds_appeared
alpha_birth,6043,PER.sound,PER,3434,0.5682607976170776,24
alpha_birth,6043,WLD.artless,WLD,1119,0.18517292735396326,24
alpha_birth,6043,WLD.culture,WLD,396,0.06553036571239451,24
alpha_birth,6043,LOG.effect,LOG,285,0.04716200562634453,24
alpha_birth,6043,EXS.being,EXS,177,0.02929008770478239,23
alpha_birth,6043,SOC.city,SOC,106,0.017540956478570246,22
alpha_birth,6043,TIM.appear,TIM,103,0.01704451431408241,24
alpha_birth,6043,COM.conduct,COM,92,0.015224226377627006,24
alpha_birth,6043,TIM.moment,TIM,68,0.01125268906172431,22
alpha_birth,6043,PRP.deep,PRP,48,0.007943074631805394,19
alpha_birth|beta_birth,12234,PER.sound,PER,5871,0.47989210397253557,24
alpha_birth|beta_birth,12234,WLD.artless,WLD,2900,0.23704430276279223,24
alpha_birth|beta_birth,12234,TIM.appear,TIM,684,0.05590975968612065,24
alpha_birth|beta_birth,12234,WLD.culture,WLD,535,0.04373058688899788,24
alpha_birth|beta_birth,12234,EXS.being,EXS,418,0.0341670753637404,24
alpha_birth|beta_birth,12234,LOG.effect,LOG,360,0.029426189308484552,24
alpha_birth|beta_birth,12234,SOC.city,SOC,282,0.0230505149583129,24
alpha_birth|beta_birth,12234,COM.conduct,COM,240,0.0196174595389897,24
alpha_birth|beta_birth,12234,TIM.moment,TIM,239,0.01953572012424391,24
alpha_birth|beta_birth,12234,FND.timeless,FND,146,0.0119339545528854,24
alpha_birth|beta_birth|pulse,239,PER.sound,PER,107,0.4476987447698745,23
alpha_birth|beta_birth|pulse,239,WLD.artless,WLD,68,0.28451882845188287,23
alpha_birth|beta_birth|pulse,239,TIM.appear,TIM,10,0.04184100418410042,8
alpha_birth|beta_birth|pulse,239,WLD.culture,WLD,9,0.03765690376569038,8
alpha_birth|beta_birth|pulse,239,EXS.being,EXS,8,0.03347280334728033,7
alpha_birth|beta_birth|pulse,239,LOG.effect,LOG,8,0.03347280334728033,7
alpha_birth|beta_birth|pulse,239,COM.conduct,COM,5,0.02092050209205021,5
alpha_birth|beta_birth|pulse,239,SOC.city,SOC,5,0.02092050209205021,4
alpha_birth|beta_birth|pulse,239,TIM.moment,TIM,5,0.02092050209205021,4
alpha_birth|beta_birth|pulse,239,PRP.deep,PRP,3,0.012552301255230125,2
alpha_birth|beta_birth|pulse|spend,1,PRP.shallow,PRP,1,1.0,1
alpha_birth|beta_birth|spend,43,PER.sound,PER,29,0.6744186046511628,13
alpha_birth|beta_birth|spend,43,WLD.artless,WLD,7,0.16279069767441862,6
alpha_birth|beta_birth|spend,43,TIM.appear,TIM,4,0.09302325581395349,3
alpha_birth|beta_birth|spend,43,PRP.shallow,PRP,2,0.046511627906976744,2
alpha_birth|beta_birth|spend,43,ACT.create,ACT,1,0.023255813953488372,1
alpha_birth|pulse,134,PER.sound,PER,86,0.6417910447761194,24
alpha_birth|pulse,134,WLD.artless,WLD,17,0.12686567164179105,13
alpha_birth|pulse,134,WLD.culture,WLD,8,0.05970149253731343,8
alpha_birth|pulse,134,LOG.effect,LOG,4,0.029850746268656716,3
alpha_birth|pulse,134,EXS.being,EXS,4,0.029850746268656716,4
alpha_birth|pulse,134,PRP.shallow,PRP,3,0.022388059701492536,3
alpha_birth|pulse,134,FND.timeless,FND,3,0.022388059701492536,3
alpha_birth|pulse,134,TIM.appear,TIM,3,0.022388059701492536,3
alpha_birth|pulse,134,SOC.city,SOC,2,0.014925373134328358,2
alpha_birth|pulse,134,ACT.create,ACT,1,0.007462686567164179,1
ingestion,2259,ELM.light,ELM,1098,0.4860557768924303,24
ingestion,2259,PER.taste,PER,346,0.1531651173085436,24
ingestion,2259,TIM.appear,TIM,289,0.1279327135900841,24
ingestion,2259,PER.sound,PER,247,0.10934041611332448,24
ingestion,2259,PRP.bright,PRP,224,0.09915891987605135,24
ingestion,2259,PER.fragrance,PER,13,0.005754758742806552,10
ingestion,2259,ELM.morning,ELM,9,0.00398406374501992,2
ingestion,2259,PRP.new,PRP,8,0.0035413899955732625,8
ingestion,2259,VAL.ugliness,VAL,7,0.003098716246126605,6
ingestion,2259,WLD.artless,WLD,6,0.0026560424966799467,4
ingestion|pulse,16,TIM.appear,TIM,7,0.4375,6
ingestion|pulse,16,PRP.bright,PRP,6,0.375,6
ingestion|pulse,16,PER.sound,PER,3,0.1875,3
ingestion|pulse|spend,10,TIM.appear,TIM,5,0.5,4
ingestion|pulse|spend,10,PRP.bright,PRP,3,0.3,3
ingestion|pulse|spend,10,PER.sound,PER,2,0.2,2
ingestion|spend,1170,ELM.light,ELM,565,0.4829059829059829,24
ingestion|spend,1170,PER.taste,PER,194,0.1658119658119658,24
ingestion|spend,1170,TIM.appear,TIM,136,0.11623931623931624,24
ingestion|spend,1170,PER.sound,PER,134,0.11452991452991453,23
ingestion|spend,1170,PRP.bright,PRP,115,0.09829059829059829,24
ingestion|spend,1170,PER.fragrance,PER,11,0.009401709401709401,9
ingestion|spend,1170,ELM.morning,ELM,4,0.003418803418803419,2
ingestion|spend,1170,VAL.ugliness,VAL,4,0.003418803418803419,4
ingestion|spend,1170,WLD.artless,WLD,3,0.002564102564102564,3
ingestion|spend,1170,WLD.art,WLD,2,0.0017094017094017094,2
pulse,358457,PER.sound,PER,100083,0.2792050371453201,24
pulse,358457,WLD.artless,WLD,89286,0.24908426952186732,24
pulse,358457,WLD.culture,WLD,28524,0.07957439804495378,24
pulse,358457,EXS.being,EXS,27729,0.07735655880621664,24
pulse,358457,FND.timeless,FND,23296,0.06498966403222702,24
pulse,358457,TIM.moment,TIM,22474,0.06269650195141956,24
pulse,358457,COM.conduct,COM,10676,0.029783209701582058,24
pulse,358457,LOG.effect,LOG,6981,0.01947513927751446,24
pulse,358457,SOC.city,SOC,6711,0.018721910856811276,24
pulse,358457,PRP.deep,PRP,6366,0.017759452319246104,24
pulse|spend,253,PRP.bright,PRP,95,0.37549407114624506,23
pulse|spend,253,TIM.appear,TIM,81,0.3201581027667984,24
pulse|spend,253,PER.sound,PER,42,0.16600790513833993,21
pulse|spend,253,WLD.artless,WLD,18,0.07114624505928854,12
pulse|spend,253,VAL.ugliness,VAL,6,0.023715415019762844,4
pulse|spend,253,PER.taste,PER,5,0.019762845849802372,4
pulse|spend,253,PER.fragrance,PER,3,0.011857707509881422,3
pulse|spend,253,PRP.new,PRP,1,0.003952569169960474,1
pulse|spend,253,WLD.art,WLD,1,0.003952569169960474,1
pulse|spend,253,ACT.create,ACT,1,0.003952569169960474,1
spend,59807,WLD.artless,WLD,22246,0.37196314812647346,24
spend,59807,TIM.appear,TIM,15605,0.2609226344742254,24
spend,59807,ELM.light,ELM,12727,0.21280117711973515,24
spend,59807,PER.sound,PER,3919,0.06552744661996088,24
spend,59807,PRP.bright,PRP,3205,0.05358904476064675,24
