seed,n_records,n_alive_cids,rank_1_sim_mean,n_unique_rank1_atoms,n_distinct_sources,elapsed_sec
0,15687,228,0.5510268807411194,38,12,1.03
1,15924,207,0.5467076897621155,37,9,0.96
2,21322,246,0.5334216952323914,43,10,1.33
3,18748,221,0.5367394685745239,42,11,1.18
4,20683,210,0.5291545391082764,40,11,1.28
5,18783,233,0.5365771055221558,42,10,1.17
6,16980,209,0.5341032147407532,37,11,1.08
7,16693,179,0.5236836671829224,37,11,1.05
8,16168,217,0.5539186000823975,40,9,1.04
9,14961,232,0.551527202129364,39,10,0.92
10,19532,181,0.5181378722190857,42,12,1.18
11,19447,240,0.5361020565032959,40,9,1.21
12,19901,248,0.5399478673934937,43,11,1.25
13,18124,204,0.527040421962738,43,12,1.16
14,19464,192,0.5235616564750671,33,12,1.26
15,17496,198,0.538318395614624,38,12,1.08
16,18745,229,0.5467056632041931,39,10,1.19
17,18675,227,0.5334951877593994,38,9,1.16
18,16580,170,0.5226259827613831,41,10,1.09
19,17798,220,0.5424203872680664,44,9,1.09
20,20177,253,0.5455856323242188,45,12,1.28
21,19576,200,0.5250220894813538,38,9,1.2
22,21594,240,0.5432938933372498,37,11,1.42
23,17608,240,0.558666467666626,44,9,1.07
