atom,category,n_pulse_records,ratio_overall,n_seeds_appeared,n_unique_cids,rank_1_sim_mean,rank_1_sim_max
WLD.artless,WLD,78870,0.21962629834869538,24,321,0.622410357754406,0.73754954
TIM.appear,TIM,44448,0.12377266018768622,24,295,0.4994041562841973,0.6294298
EXS.being,EXS,41731,0.11620673331291248,24,176,0.47943161430543246,0.6221958
TIM.moment,TIM,29751,0.08284648157946033,24,279,0.4873967543712816,0.6230321
PER.sound,PER,26973,0.07511069031772995,24,126,0.4794308268253439,0.5828821
WLD.culture,WLD,24185,0.06734705243518699,24,119,0.510813521586107,0.6306906
ELM.morning,ELM,21718,0.06047729108072735,24,265,0.4696642638525647,0.57799315
CHG.begin,CHG,18198,0.05067528055470469,24,287,0.5753438021029784,0.7228609
LOG.effect,LOG,16297,0.04538163793823619,24,197,0.4838719321341351,0.6323267
FND.timeless,FND,10691,0.029770822310712593,24,76,0.45577258439715657,0.4894874
PRP.deep,PRP,5827,0.016226225947481274,24,107,0.5169475623116526,0.619867
SOC.city,SOC,5172,0.014402272284258305,24,185,0.4925060379040991,0.5736619
COG.learn,COG,4774,0.013293976775918242,24,151,0.5840865278801843,0.65932536
PRP.impossible,PRP,4126,0.011489515747264069,24,124,0.4738665652399418,0.55324715
WLD.realm,WLD,4121,0.011475592436857788,24,71,0.4797806146056782,0.52204084
COM.conduct,COM,3899,0.010857397454818857,24,221,0.47340227847396765,0.5502175
PRP.multiple,PRP,3447,0.009598730194090946,24,170,0.44124418523933856,0.49221602
PER.hear,PER,3191,0.008885856701289298,24,135,0.5623187427044813,0.6357692
PRP.clear,PRP,1608,0.004477736626660355,21,47,0.4573948245149253,0.5157238
PRP.bright,PRP,1307,0.0036395533402021666,24,62,0.5248436383091049,0.5636358
PER.taste,PER,1042,0.00290161788866921,24,101,0.6244481877447217,0.6632414
TIM.past,TIM,778,0.00216646709921751,23,71,0.5010043607583547,0.56901824
CHG.end,CHG,725,0.0020188800089109187,23,57,0.5310158909103447,0.6071444
ACT.create,ACT,721,0.0020077413605858927,24,224,0.5301124672676838,0.5904029
PRP.shallow,PRP,615,0.0017125671799727103,20,30,0.46236744448780487,0.4996744
EMO.manifest,EMO,606,0.0016875052212414023,21,45,0.5921924056270627,0.638262
SOC.public,SOC,566,0.0015761187379911448,19,36,0.44683778215547704,0.47015947
FND.logic,FND,559,0.0015566261034223497,21,52,0.4555623040429338,0.48882332
ACT.build,ACT,509,0.0014173929993595278,24,130,0.46497499522593316,0.5335484
FND.transformation,FND,469,0.00130600651610927,24,114,0.5066768435820895,0.59435433
VAL.ugliness,VAL,384,0.0010693102392024727,24,108,0.49792700565104164,0.5503867
ACT.make,ACT,271,0.0007546434240204951,24,143,0.5207722797785977,0.5982085
FND.temporality,FND,249,0.0006933808582328534,20,50,0.47634917064257026,0.5177892
CHG.advance,CHG,180,0.0005012391746261591,15,27,0.4882731993333334,0.63281435
PER.see,PER,160,0.0004455459330010303,12,18,0.59205132575,0.61552244
BOD.ear,BOD,128,0.00035643674640082425,16,25,0.5954714828125001,0.62293386
ELM.sun,ELM,94,0.00026175823563810534,1,1,0.5088971423404255,0.5917737
PER.soundless,PER,85,0.00023669627690679735,5,7,0.5850396983529411,0.61591375
SOC.nation,SOC,65,0.00018100303528166857,10,12,0.43994014876923077,0.46298888
FND.numberless,FND,62,0.00017264904903789926,2,2,0.5185718543548387,0.58286273
SOC.village,SOC,56,0.0001559410765503606,8,10,0.42179795875000003,0.44892594
LOG.cause,LOG,54,0.00015037175238784774,9,10,0.6072888753703704,0.65976924
EXS.nonbeing,EXS,52,0.00014480242822533486,5,6,0.46645287403846153,0.48338264
WLD.technique,WLD,47,0.00013087911781905267,14,25,0.5625417431914894,0.5701192
EXS.death,EXS,42,0.00011695580741277047,11,11,0.46823509380952383,0.4859631
PRP.sharp,PRP,40,0.00011138648325025758,4,4,0.494253438,0.5144483
FND.time,FND,36,0.00010024783492523182,12,14,0.46435724416666674,0.4799723
PER.fragrance,PER,35,9.746317284397538e-05,13,21,0.5437418474285713,0.5655134
SPC.nowhere,SPC,25,6.961655203141099e-05,3,4,0.5907614956,0.63563997
WLD.science,WLD,18,5.012391746261591e-05,5,6,0.47143044,0.49531403
ELM.light,ELM,15,4.1769931218846594e-05,4,4,0.4916648146666667,0.5002864
ACT.agitate,ACT,14,3.898526913759015e-05,9,11,0.49680468500000013,0.5135728
STA.healing,STA,14,3.898526913759015e-05,12,14,0.600313237142857,0.6027817
STA.peace,STA,13,3.6200607056333715e-05,1,1,0.5289202515384615,0.5410875
LOG.reason,LOG,12,3.341594497507727e-05,1,1,0.4873290316666667,0.49702302
PRP.new,PRP,7,1.9492634568795075e-05,4,4,0.48263316571428566,0.5332502
EXS.void,EXS,7,1.9492634568795075e-05,1,1,0.5076344428571428,0.5333466
PER.feel,PER,7,1.9492634568795075e-05,2,2,0.5622040300000001,0.57651585
COM.silence,COM,5,1.3923310406282198e-05,1,1,0.6091953800000001,0.61872005
PER.smell,PER,3,8.353986243769318e-06,2,2,0.6156345333333334,0.6194019
COM.teach,COM,2,5.569324162512879e-06,1,2,0.632659615,0.67148906
CHG.stay,CHG,1,2.7846620812564394e-06,1,1,0.46119654,0.46119654
ABS.release,ABS,1,2.7846620812564394e-06,1,1,0.580923,0.580923
WLD.art,WLD,1,2.7846620812564394e-06,1,1,0.53082913,0.53082913
PRP.easy,PRP,1,2.7846620812564394e-06,1,1,0.5578567,0.5578567
