atom,category,pulse_rank1_count,window_rank1_count,pulse_only,window_only,delta_pulse_minus_window
WLD.artless,WLD,78870,3745,False,False,75125
TIM.appear,TIM,44448,2716,False,False,41732
EXS.being,EXS,41731,2177,False,False,39554
PER.sound,PER,26973,45,False,False,26928
WLD.culture,WLD,24185,2300,False,False,21885
ELM.morning,ELM,21718,0,True,False,21718
TIM.moment,TIM,29751,10751,False,False,19000
CHG.begin,CHG,18198,1,False,False,18197
LOG.effect,LOG,16297,1707,False,False,14590
FND.timeless,FND,10691,543,False,False,10148
PRP.deep,PRP,5827,278,False,False,5549
PRP.impossible,PRP,4126,0,True,False,4126
WLD.realm,WLD,4121,10,False,False,4111
SOC.city,SOC,5172,1218,False,False,3954
COM.conduct,COM,3899,22,False,False,3877
PRP.multiple,PRP,3447,152,False,False,3295
PER.hear,PER,3191,36,False,False,3155
COG.learn,COG,4774,1634,False,False,3140
PRP.bright,PRP,1307,0,True,False,1307
PRP.clear,PRP,1608,405,False,False,1203
PER.taste,PER,1042,0,True,False,1042
TIM.past,TIM,778,3,False,False,775
ACT.create,ACT,721,0,True,False,721
EMO.manifest,EMO,606,32,False,False,574
SOC.public,SOC,566,0,True,False,566
FND.logic,FND,559,10,False,False,549
ACT.build,ACT,509,0,True,False,509
PRP.shallow,PRP,615,148,False,False,467
CHG.end,CHG,725,315,False,False,410
VAL.ugliness,VAL,384,0,True,False,384
ACT.make,ACT,271,0,True,False,271
FND.temporality,FND,249,0,True,False,249
PER.see,PER,160,2,False,False,158
ELM.sun,ELM,94,1,False,False,93
PER.soundless,PER,85,3,False,False,82
BOD.ear,BOD,128,50,False,False,78
SOC.nation,SOC,65,0,True,False,65
SOC.village,SOC,56,0,True,False,56
FND.numberless,FND,62,7,False,False,55
WLD.technique,WLD,47,0,True,False,47
EXS.death,EXS,42,0,True,False,42
EXS.nonbeing,EXS,52,11,False,False,41
FND.time,FND,36,0,True,False,36
PER.fragrance,PER,35,0,True,False,35
PRP.sharp,PRP,40,5,False,False,35
SPC.nowhere,SPC,25,0,True,False,25
ELM.light,ELM,15,0,True,False,15
LOG.reason,LOG,12,0,True,False,12
STA.peace,STA,13,1,False,False,12
LOG.cause,LOG,54,43,False,False,11
STA.healing,STA,14,6,False,False,8
PRP.new,PRP,7,0,True,False,7
EXS.void,EXS,7,0,True,False,7
WLD.science,WLD,18,13,False,False,5
COM.silence,COM,5,0,True,False,5
PER.smell,PER,3,0,True,False,3
PRP.easy,PRP,1,0,True,False,1
CHG.stay,CHG,1,0,True,False,1
WLD.art,WLD,1,0,True,False,1
PER.feel,PER,7,10,False,False,-3
ABS.release,ABS,1,20,False,False,-19
ACT.agitate,ACT,14,35,False,False,-21
CHG.advance,CHG,180,300,False,False,-120
COM.teach,COM,2,395,False,False,-393
FND.ahistorical,FND,0,795,False,True,-795
FND.transformation,FND,469,1537,False,False,-1068
