step_bin,step_low,step_high,n_pulses,dominant_category,dominant_category_count,dominant_category_seed_unanimity,dominant_atom,dominant_atom_count,rank_1_sim_mean
0,0,1000,10660,TIM,4555,24,WLD.artless,4540,0.5711290301013133
1,1000,2000,11300,TIM,5210,24,TIM.appear,5209,0.5647209820221238
2,2000,3000,11710,TIM,5097,24,TIM.appear,5087,0.5571314638556789
3,3000,4000,11810,TIM,4549,24,TIM.appear,4522,0.5485634006621507
4,4000,5000,12730,WLD,4564,24,WLD.artless,4522,0.543073276650432
5,5000,6000,12510,WLD,4089,24,WLD.artless,4007,0.5338104038481215
6,6000,7000,12900,WLD,4139,24,WLD.artless,3936,0.5305926259728683
7,7000,8000,13480,WLD,4193,24,WLD.artless,3833,0.526780785565282
8,8000,9000,13330,WLD,3942,24,WLD.artless,3292,0.518468617384096
9,9000,10000,13650,WLD,4207,24,WLD.artless,3241,0.5180283076014652
10,10000,11000,13650,WLD,4069,24,WLD.artless,2873,0.516903915785348
11,11000,12000,14290,WLD,4437,24,WLD.artless,3020,0.5199517310461862
12,12000,13000,14610,WLD,4467,24,WLD.artless,2806,0.5210232993942505
13,13000,14000,15290,WLD,4517,24,WLD.artless,2774,0.5209606309803794
14,14000,15000,15350,WLD,4582,24,WLD.artless,2672,0.5201095824469055
15,15000,16000,14570,WLD,3988,24,EXS.being,3117,0.5136611327707619
16,16000,17000,15340,WLD,4569,24,EXS.being,3406,0.5184328371212515
17,17000,18000,15690,WLD,4488,24,EXS.being,3562,0.5154512325736138
18,18000,19000,15680,WLD,4281,24,EXS.being,3718,0.5125148641313776
19,19000,20000,16250,WLD,4617,24,EXS.being,3787,0.5154762457864616
20,20000,21000,16200,WLD,4313,24,EXS.being,3772,0.5121896400203704
21,21000,22000,16350,WLD,3782,24,EXS.being,3702,0.507866869559633
22,22000,23000,16810,WLD,3771,24,EXS.being,3618,0.5077414894883997
23,23000,24000,17330,WLD,4144,24,EXS.being,3591,0.5105329711846509
24,24000,25000,17620,WLD,4111,24,EXS.being,3478,0.5092890384074915
