n_core_member,trajectory_class,n_cids,ratio_within_n_core
2,few_attractors,1934,0.4873991935483871
2,stable_atom,1783,0.4493447580645161
2,wandering,251,0.06325604838709678
3,wandering,155,0.5381944444444444
3,few_attractors,75,0.2604166666666667
3,stable_atom,58,0.2013888888888889
4,wandering,246,0.7522935779816514
4,few_attractors,46,0.14067278287461774
4,stable_atom,35,0.10703363914373089
5,wandering,606,0.9498432601880877
5,few_attractors,20,0.03134796238244514
5,stable_atom,12,0.018808777429467086
6,wandering,1,1.0
7,wandering,1,1.0
8,wandering,1,1.0
