trigger,n_pulses_total,rank_1_atom,category,count,ratio_within_trigger,n_seeds_appeared
MAD_DT_Major,13976,WLD.artless,WLD,9260,0.6625643961076131,24
MAD_DT_Major,13976,TIM.appear,TIM,2183,0.15619633657698911,24
MAD_DT_Major,13976,CHG.begin,CHG,949,0.06790211791642817,24
MAD_DT_Major,13976,SOC.city,SOC,300,0.021465369204350316,24
MAD_DT_Major,13976,ELM.morning,ELM,203,0.014524899828277047,24
MAD_DT_Major,13976,PRP.bright,PRP,160,0.011448196908986834,23
MAD_DT_Major,13976,TIM.moment,TIM,159,0.011376645678305666,24
MAD_DT_Major,13976,PER.taste,PER,145,0.010374928448769319,23
MAD_DT_Major,13976,COM.conduct,COM,106,0.0075844304522037775,23
MAD_DT_Major,13976,PER.sound,PER,78,0.005580995993131082,17
MAD_DT_Normal,151064,EXS.being,EXS,22994,0.15221363130858445,24
MAD_DT_Normal,151064,WLD.artless,WLD,17111,0.11326987237197479,24
MAD_DT_Normal,151064,TIM.appear,TIM,16145,0.10687523168987978,24
MAD_DT_Normal,151064,TIM.moment,TIM,14940,0.0988984801143886,24
MAD_DT_Normal,151064,PER.sound,PER,14521,0.09612482126780703,24
MAD_DT_Normal,151064,WLD.culture,WLD,13220,0.08751257745061695,24
MAD_DT_Normal,151064,ELM.morning,ELM,11230,0.0743393528570672,24
MAD_DT_Normal,151064,LOG.effect,LOG,8779,0.05811444156119261,24
MAD_DT_Normal,151064,FND.timeless,FND,5930,0.03925488534660806,24
MAD_DT_Normal,151064,CHG.begin,CHG,5197,0.03440263729280305,24
both,118400,WLD.artless,WLD,27784,0.23466216216216215,24
both,118400,TIM.appear,TIM,15564,0.1314527027027027,24
both,118400,EXS.being,EXS,12723,0.10745777027027027,24
both,118400,PER.sound,PER,8513,0.07190033783783784,24
both,118400,ELM.morning,ELM,8257,0.06973817567567568,24
both,118400,TIM.moment,TIM,8203,0.0692820945945946,24
both,118400,WLD.culture,WLD,7367,0.06222128378378378,24
both,118400,CHG.begin,CHG,6519,0.055059121621621625,24
both,118400,LOG.effect,LOG,4998,0.04221283783783784,24
both,118400,FND.timeless,FND,3327,0.028099662162162163,24
none,59998,WLD.artless,WLD,15834,0.26390879695989866,24
none,59998,TIM.appear,TIM,8076,0.13460448681622722,24
none,59998,TIM.moment,TIM,6257,0.10428680956031867,24
none,59998,EXS.being,EXS,5989,0.09981999399979999,24
none,59998,PER.sound,PER,3861,0.06435214507150239,24
none,59998,WLD.culture,WLD,3586,0.05976865895529851,24
none,59998,CHG.begin,CHG,2697,0.04495149838327944,24
none,59998,LOG.effect,LOG,2495,0.04158471949064969,24
none,59998,ELM.morning,ELM,1974,0.03290109670322344,24
none,59998,FND.timeless,FND,1434,0.023900796693223106,24
unformed,15672,WLD.artless,WLD,8881,0.5666794282797346,24
unformed,15672,CHG.begin,CHG,2836,0.18095967330270546,24
unformed,15672,TIM.appear,TIM,2480,0.1582440020418581,24
unformed,15672,SOC.city,SOC,378,0.024119448698315466,24
unformed,15672,ACT.build,ACT,276,0.01761102603369066,24
unformed,15672,PER.taste,PER,252,0.016079632465543645,24
unformed,15672,TIM.moment,TIM,192,0.01225114854517611,24
unformed,15672,ACT.create,ACT,107,0.006827462991322103,24
unformed,15672,ACT.make,ACT,96,0.006125574272588055,24
unformed,15672,PRP.bright,PRP,69,0.004402756508422665,22
