seed,n_pulse_records,n_alive_cids,rank_1_sim_mean,n_unique_rank1_atoms,n_distinct_triggers,elapsed_sec
0,12530,228,0.5349438786506653,38,5,0.7
1,13030,207,0.5334674715995789,36,5,0.7
2,17480,246,0.5195382237434387,40,5,0.9
3,15370,221,0.5222517251968384,42,5,0.81
4,17190,210,0.5146111845970154,39,5,0.92
5,15170,233,0.5217921733856201,41,5,0.82
6,13690,209,0.5215710997581482,34,5,0.72
7,13420,179,0.5081374645233154,39,5,0.72
8,13130,217,0.5411691665649414,43,5,0.7
9,11880,232,0.5377331972122192,40,5,0.65
10,16280,181,0.5101019144058228,40,5,0.87
11,15960,240,0.522236704826355,43,5,0.85
12,16120,248,0.5250992774963379,39,5,0.85
13,14850,204,0.5134860277175903,39,5,0.77
14,16060,192,0.5089398622512817,41,5,0.9
15,14490,198,0.5254901647567749,39,5,0.76
16,15260,229,0.533709704875946,37,5,0.79
17,15030,227,0.5196511149406433,40,5,0.78
18,13250,170,0.5082356333732605,38,5,0.7
19,14530,220,0.53028404712677,44,5,0.75
20,16420,253,0.5316920876502991,40,5,0.86
21,16090,200,0.5109675526618958,40,5,0.83
22,17540,240,0.5296728610992432,39,5,0.92
23,14340,240,0.5440704226493835,44,5,0.74
