category,n_atoms,obs_total_ratio_mean,uni_baseline_total_ratio_mean,delta_ratio,category_z_score_uniform,n_atoms_above_baseline,n_atoms_below_baseline
BOD,8,0.0003921585235173853,0.0,0.0003921585235173853,inf,1,0
PER,20,0.2978714998008344,1.760143677303598e-05,0.29785389836406134,15292.746515917359,8,0
SOC,22,0.018931039973606793,0.00030766640179501713,0.018623373571811777,280.72669142482465,3,9
WLD,12,0.327947954791097,0.07173303857724563,0.2562149162138514,277.3181120064738,3,6
FND,24,0.06889738859935905,0.005539414778622404,0.06335797382073664,241.59417833088963,6,8
COG,13,0.01560828764558756,0.0027050783173303804,0.012903209328257179,70.85286467339783,1,4
EXS,11,0.07890339702081108,0.057663861035003254,0.02123953598580782,26.055107152584675,3,5
EMO,30,0.0016253201954830288,0.0005044199661909748,0.001120900229292054,11.736726138960927,1,2
PRP,46,0.043854098012139714,0.0411693311228722,0.002684766889267512,3.4669193038647443,6,6
NAT,4,0.0,0.0,0.0,0.0,0,0
MAT,6,0.0,0.0,0.0,0.0,0,0
ECO,12,0.0,4.462258262444004e-06,-4.462258262444004e-06,-0.610096438939511,0,3
REL,4,0.0,4.763051714627707e-06,-4.763051714627707e-06,-0.6777576698088422,0,1
ABS,8,1.4507977776879782e-05,5.213969476166738e-05,-3.76317169847876e-05,-1.2592660696351405,0,4
BEI,8,0.0,3.820889688591158e-05,-3.820889688591158e-05,-1.812901049993573,0,2
VAL,10,9.59794918431567e-05,0.0009621871811843828,-0.0008662076893412262,-9.365139049228171,1,6
CHG,7,0.004704389415970086,0.013229440327363397,-0.00852505091139331,-18.309841681004016,1,4
STA,11,3.95607132457702e-05,0.0019313656175923275,-0.0018918049043465572,-19.03786594772917,0,3
LOG,4,0.02144681544667342,0.03543494828719276,-0.013988132840519342,-19.403872945657433,0,3
SPC,6,6.555138339708326e-05,0.004547700762611937,-0.0044821493792148535,-21.613497381164315,0,6
ELM,12,0.00027016375373436113,0.0065223361300998485,-0.006252172376365488,-22.94762086909743,0,6
ACT,28,0.0037336982060367178,0.015943505857683,-0.012209807651646283,-29.305741632964967,2,4
COM,12,0.03103787401428189,0.09882881142694158,-0.0677909374126597,-66.23239581488737,2,8
TIM,7,0.08456031503460455,0.6428597188718732,-0.5582994038372686,-332.6652486909259,1,5
