atom,category,obs_rank1_ratio_mean,obs_rank1_ratio_std,uni_baseline_rank1_ratio_mean,uni_baseline_rank1_ratio_std,delta_ratio,z_score_uniform,n_seeds_obs_appeared,n_seeds_baseline_appeared,static_z_uniform
SOC.nation,SOC,3.479512305184348e-05,0.00012408850713248613,0.0,0.0,3.479512305184348e-05,inf,3,0,2.7977879816832845
SOC.public,SOC,0.0002111427036147984,0.0008779512594512543,0.0,0.0,0.0002111427036147984,inf,2,0,2.109595449347984
BOD.ear,BOD,0.0003921585235173853,0.0003803411635369291,0.0,0.0,0.0003921585235173853,inf,18,0,4.328555872182128
COM.silence,COM,1.0721068431048215e-05,5.141643794521387e-05,0.0,0.0,1.0721068431048215e-05,inf,1,0,1.5213531245057068
PRP.sharp,PRP,0.0034046333893740263,0.0011795704816736565,0.0,0.0,0.0034046333893740263,inf,24,0,-0.6545830016370164
EXS.nonbeing,EXS,1.4368641875969884e-05,6.890958565596757e-05,0.0,0.0,1.4368641875969884e-05,inf,1,0,-2.419895506459287
PRP.bright,PRP,0.006431928942022919,0.0010895439383296955,0.0,0.0,0.006431928942022919,inf,24,0,1.9982337414300455
PER.soundless,PER,0.0002687282101022656,0.0004779212536933189,0.0,0.0,0.0002687282101022656,inf,9,0,2.385532352603773
PER.see,PER,0.00016435025563437834,0.000338970244927718,0.0,0.0,0.00016435025563437834,inf,8,0,6.1348081476852325
FND.transformation,FND,0.002381370531896925,0.0006884455211510826,0.0,0.0,0.002381370531896925,inf,24,0,1.976673147910604
PER.taste,PER,0.00827822347743534,0.0039717128492043645,0.0,0.0,0.00827822347743534,inf,24,0,4.374755643089179
PER.smell,PER,7.559107633360564e-05,0.00013898483752495052,0.0,0.0,7.559107633360564e-05,inf,11,0,6.456433024401546
TIM.appear,TIM,0.02320626243487972,0.00251893534224599,0.0,0.0,0.02320626243487972,inf,24,0,4.939623535842363
WLD.technique,WLD,2.8316160778321708e-05,5.924564875347709e-05,0.0,0.0,2.8316160778321708e-05,inf,7,0,-0.2473842149325283
PER.feel,PER,1.595679595416048e-05,5.513593188569245e-05,0.0,0.0,1.595679595416048e-05,inf,2,0,2.2576376949711974
