atom,category,step10_count,step10_ratio,pulse_count,pulse_ratio,window_count,window_ratio
PER.sound,PER,507845,0.28276431917354167,26973,0.07511069031772995,45,0.001429388221841052
WLD.artless,WLD,436964,0.24329830551319293,78870,0.21962629834869538,3745,0.11895686423988311
WLD.culture,WLD,142646,0.07942423194641873,24185,0.06734705243518699,2300,0.07305762022743155
EXS.being,EXS,139014,0.07740196135748253,41731,0.11620673331291248,2177,0.06915062575439934
FND.timeless,FND,116383,0.06480118886348059,10691,0.029770822310712593,543,0.01724795121021536
TIM.moment,TIM,112058,0.06239306102836246,29751,0.08284648157946033,10751,0.3414967282891811
COM.conduct,COM,53315,0.02968539549810941,3899,0.010857397454818857,22,0.0006988120195667365
TIM.appear,TIM,41423,0.023064018338519857,44448,0.12377266018768622,2716,0.08627152023378439
LOG.effect,LOG,34787,0.019369142890232244,16297,0.04538163793823619,1707,0.05422145988183724
SOC.city,SOC,33624,0.018721593139424755,5172,0.014402272284258305,1218,0.03868877453783114
PRP.deep,PRP,31833,0.017724377659032484,5827,0.016226225947481274,278,0.008830442792706944
COG.learn,COG,28260,0.01573495783131524,4774,0.013293976775918242,1634,0.05190267454418398
PRP.multiple,PRP,19419,0.010812354781539654,3447,0.009598730194090946,152,0.004828155771551998
PER.taste,PER,14513,0.008080730467299294,1042,0.00290161788866921,0,0.0
PRP.bright,PRP,11512,0.006409795985636979,1307,0.0036395533402021666,0,0.0
PER.hear,PER,10976,0.0061113551718512404,3191,0.008885856701289298,36,0.0011435105774728416
WLD.realm,WLD,8179,0.004554006373047676,4121,0.011475592436857788,10,0.00031764182707578933
PRP.clear,PRP,6478,0.0036069022233283835,1608,0.004477736626660355,405,0.012864493996569469
PRP.sharp,PRP,6033,0.0033591295327786565,40,0.00011138648325025758,5,0.00015882091353789466
CHG.advance,CHG,4569,0.002543985220498207,180,0.0005012391746261591,300,0.00952925481227368
PRP.shallow,PRP,4492,0.0025011121931446585,615,0.0017125671799727103,148,0.004701099040721682
FND.transformation,FND,4275,0.0023802882069664773,469,0.00130600651610927,1537,0.04882154882154882
LOG.cause,LOG,3437,0.0019136960391447444,54,0.00015037175238784774,43,0.0013658598564258943
