atom,category,n_records,ratio_overall,n_seeds_appeared,n_unique_cids,rank_1_sim_mean,rank_1_sim_max
PER.sound,PER,507845,0.28276431917354167,24,297,0.48951166289543063,0.5810272
WLD.artless,WLD,436964,0.24329830551319293,24,321,0.6423011530604352,0.7869111
WLD.culture,WLD,142646,0.07942423194641873,24,154,0.5029077527782061,0.62581426
EXS.being,EXS,139014,0.07740196135748253,24,171,0.46602784160789557,0.588621
FND.timeless,FND,116383,0.06480118886348059,24,136,0.4506407819155719,0.535264
TIM.moment,TIM,112058,0.06239306102836246,24,259,0.48898244122650764,0.62112135
COM.conduct,COM,53315,0.02968539549810941,24,214,0.4975895775220857,0.59790236
TIM.appear,TIM,41423,0.023064018338519857,24,324,0.5719413458361297,0.66195655
LOG.effect,LOG,34787,0.019369142890232244,24,189,0.4862086817529537,0.6369663
SOC.city,SOC,33624,0.018721593139424755,24,180,0.5040960542665953,0.60481393
PRP.deep,PRP,31833,0.017724377659032484,24,139,0.5104628173137938,0.61028445
COG.learn,COG,28260,0.01573495783131524,24,165,0.5955911460477706,0.6673384
PRP.multiple,PRP,19419,0.010812354781539654,24,180,0.4512640563788042,0.52551234
PER.taste,PER,14513,0.008080730467299294,24,183,0.643061117015779,0.66734904
PRP.bright,PRP,11512,0.006409795985636979,24,245,0.5402913903630994,0.5751323
PER.hear,PER,10976,0.0061113551718512404,24,129,0.5781960602040815,0.6225802
WLD.realm,WLD,8179,0.004554006373047676,24,58,0.4892456099241961,0.53056985
PRP.clear,PRP,6478,0.0036069022233283835,15,30,0.4426180709215807,0.4827284
PRP.sharp,PRP,6033,0.0033591295327786565,24,166,0.47785804239516,0.528415
CHG.advance,CHG,4569,0.002543985220498207,23,103,0.479117365937842,0.70529795
PRP.shallow,PRP,4492,0.0025011121931446585,24,128,0.4624739054363312,0.4985428
FND.transformation,FND,4275,0.0023802882069664773,24,187,0.5066927719532164,0.57510066
LOG.cause,LOG,3437,0.0019136960391447444,24,118,0.6056620814198429,0.6969264
CHG.end,CHG,2987,0.001663139385779852,19,34,0.5354501746702377,0.6056383
EMO.manifest,EMO,2919,0.0016252774914936015,23,60,0.6002101686022611,0.6710916
ACT.make,ACT,2591,0.0014426495308187467,24,174,0.5019215404824393,0.5678473
ACT.create,ACT,2405,0.0013390861140945912,24,178,0.524673024956341,0.5957938
FND.temporality,FND,2267,0.0012622487403960243,24,88,0.4639037701102779,0.5034356
COM.teach,COM,2063,0.0011486630575372732,23,56,0.5940348800969463,0.6473146
ACT.build,ACT,1547,0.0008613580950121966,24,121,0.4708238148739496,0.5371625
CHG.begin,CHG,903,0.000502783684418884,24,148,0.6527404535548171,0.7172514
BOD.ear,BOD,703,0.00039142517181226514,18,24,0.6143674158463727,0.67199534
TIM.period,TIM,594,0.00033073478244165786,1,1,0.6551216935016835,0.67642725
EXS.death,EXS,578,0.0003218261014331284,16,21,0.4632389153633218,0.4934963
FND.time,FND,498,0.0002772826963904809,17,34,0.4757490614257028,0.5796281
PER.soundless,PER,491,0.0002733851484492492,9,11,0.5893520113441956,0.6260993
WLD.art,WLD,473,0.0002633628823146535,24,103,0.5285847240380549,0.5539878
SOC.public,SOC,440,0.0002449887277345614,2,3,0.42590634602272726,0.4471269
ELM.sun,ELM,397,0.00022104664752413834,2,2,0.5079350313098236,0.5650727
WLD.science,WLD,294,0.00016369701353172967,6,7,0.4379302993197279,0.496419
PER.fragrance,PER,286,0.0001592426730274649,21,56,0.564234248006993,0.5781955
PER.see,PER,268,0.0001492204068928692,8,9,0.6002656591417911,0.63036036
VAL.ugliness,VAL,170,9.4654735715626e-05,23,50,0.5473316033529412,0.55510795
PER.smell,PER,146,8.129171420283174e-05,11,16,0.6395474867123287,0.6535958
EXS.void,EXS,130,7.238303319430223e-05,2,2,0.5228217002307692,0.5669859
FND.numberless,FND,116,6.458793731183891e-05,1,1,0.5162626699137931,0.5700555
SPC.nowhere,SPC,116,6.458793731183891e-05,4,5,0.588015979310345,0.65565807
ACT.agitate,ACT,106,5.9020011681507975e-05,12,16,0.49094886811320754,0.51094913
PRP.easy,PRP,74,4.120264966444896e-05,10,15,0.5665538352702703,0.5722737
STA.peace,STA,68,3.7861894286250395e-05,2,2,0.49651176941176467,0.5085635
SOC.nation,SOC,60,3.340755378198564e-05,3,5,0.44129495383333334,0.46152627
WLD.technique,WLD,53,2.9510005840753988e-05,7,9,0.5750319660377359,0.5871967
LOG.reason,LOG,52,2.8953213277720892e-05,2,3,0.4663151363461538,0.46819177
ELM.night,ELM,46,2.5612457899522327e-05,3,3,0.5515024865217393,0.5703397
EXS.nonbeing,EXS,30,1.670377689099282e-05,1,1,0.4397715003333333,0.44013387
PER.feel,PER,30,1.670377689099282e-05,2,2,0.5685140546666667,0.5936894
ABS.release,ABS,25,1.3919814075827352e-05,2,3,0.6235772648000001,0.66885644
COM.silence,COM,21,1.1692643823694975e-05,1,1,0.6251957185714286,0.63676304
FND.mind,FND,10,5.5679256303309405e-06,2,2,0.5864083400000001,0.6006585
PRP.new,PRP,9,5.011133067297846e-06,2,2,0.5503815388888889,0.5669227
