step_bin,step_low,step_high,n_records,dominant_category,dominant_category_count,dominant_category_seed_unanimity,dominant_atom,dominant_atom_count,rank_1_sim_mean
0,0,1000,51438,WLD,21626,24,WLD.artless,21521,0.5877027398936584
1,1000,2000,56089,PER,27913,24,PER.sound,27178,0.5797184354506232
2,2000,3000,58282,PER,30608,24,PER.sound,29726,0.5685583111562748
3,3000,4000,58696,PER,31611,24,PER.sound,30739,0.5643830970342103
4,4000,5000,63411,PER,32865,24,PER.sound,31546,0.5561709885226538
5,5000,6000,62458,PER,33249,24,PER.sound,32246,0.5448164365037306
6,6000,7000,64225,PER,36107,24,PER.sound,34965,0.5429866429206696
7,7000,8000,67215,PER,38248,24,PER.sound,36980,0.5414633684452874
8,8000,9000,66506,PER,37217,24,PER.sound,36325,0.5319555254858208
9,9000,10000,68063,PER,37018,24,PER.sound,35603,0.5273514047691109
10,10000,11000,68065,PER,35706,24,PER.sound,34445,0.5241638305108351
11,11000,12000,71304,PER,32747,24,PER.sound,31640,0.5296222840130987
12,12000,13000,72790,PER,27247,24,PER.sound,26172,0.5300849837918671
13,13000,14000,76308,WLD,27248,24,PER.sound,20800,0.5304643248606961
14,14000,15000,76653,WLD,27169,24,WLD.artless,16074,0.5284284931714349
15,15000,16000,72900,WLD,22626,24,PER.sound,13261,0.5142516509119341
16,16000,17000,76674,WLD,25039,24,WLD.artless,15208,0.5197777112105798
17,17000,18000,78536,WLD,25104,24,WLD.artless,16015,0.5164197679530406
18,18000,19000,78438,WLD,23003,24,WLD.artless,13905,0.512799250715597
19,19000,20000,81166,WLD,25200,24,WLD.artless,16121,0.5158484038346106
20,20000,21000,81038,WLD,24245,24,WLD.artless,15668,0.5132288821222143
21,21000,22000,81832,WLD,21197,24,FND.timeless,14079,0.5080714375035439
22,22000,23000,84447,WLD,21540,24,FND.timeless,15432,0.508093095016756
23,23000,24000,87514,WLD,24213,24,FND.timeless,16167,0.5118331194279772
24,24000,25000,91018,WLD,26056,24,WLD.artless,17476,0.5144126809163022
25,25000,26000,935,WLD,273,24,WLD.artless,181,0.5136140782352941
