seed,n_records,n_alive_cids,rank_1_sim_mean,n_unique_rank1_atoms,elapsed_sec
0,62906,228,0.5453671813011169,39,3.08
1,67389,207,0.5462852716445923,36,3.14
2,86995,246,0.5246184468269348,42,4.15
3,76412,221,0.5284283757209778,41,3.57
4,85793,210,0.5219945907592773,40,4.02
5,75482,233,0.528192937374115,41,3.53
6,68086,209,0.5259877443313599,36,3.15
7,67931,179,0.5193336606025696,35,3.2
8,65214,217,0.5472851991653442,38,3.07
9,59933,232,0.5464194416999817,41,2.82
10,81033,181,0.5101778507232666,41,3.79
11,79770,240,0.5281280875205994,40,3.75
12,80096,248,0.5317320227622986,41,3.69
13,74136,204,0.5190374851226807,42,3.42
14,80065,192,0.5154520869255066,33,3.75
15,72511,198,0.5318928360939026,37,3.4
16,75851,229,0.5394129753112793,38,3.55
17,75193,227,0.5263763666152954,37,3.56
18,68207,170,0.518185555934906,41,3.22
19,72624,220,0.5355002880096436,42,3.39
20,81615,253,0.5379763841629028,43,3.81
21,80217,200,0.517528235912323,36,3.75
22,87209,240,0.5359283089637756,37,4.06
23,71333,240,0.552752673625946,44,3.33
