atom,category,n_rank1_appearances,n_seeds_appeared,n_unique_cids,n_windows_appeared,first_window,last_window,median_window,max_sim_max,max_sim_mean
TIM.moment,TIM,10751,24,285,50,20,69,44.5,0.6465262,0.48573123072365365
WLD.artless,WLD,3745,24,276,50,20,69,44.5,0.6431283,0.575916214435247
TIM.appear,TIM,2716,24,213,49,20,69,44.0,0.5251649,0.4748776380412371
WLD.culture,WLD,2300,24,154,44,26,69,47.5,0.6045092,0.5038533113086957
EXS.being,EXS,2177,24,159,34,36,69,52.5,0.5709937,0.46353329685346806
LOG.effect,LOG,1707,24,222,45,22,69,44.0,0.5961647,0.4698064686643234
COG.learn,COG,1634,24,228,49,20,69,45.0,0.6731306,0.5730612096389229
FND.transformation,FND,1537,24,157,44,26,69,47.5,0.6115062,0.507566069531555
SOC.city,SOC,1218,24,193,50,20,69,44.5,0.5945474,0.49555526440886694
FND.ahistorical,FND,795,24,79,21,49,69,59.0,0.60705084,0.5097832956477988
FND.timeless,FND,543,24,67,21,49,69,59.0,0.49733704,0.459288146335175
PRP.clear,PRP,405,24,98,41,27,67,47.0,0.5233836,0.4388188041234568
COM.teach,COM,395,24,126,37,28,69,51.0,0.67155236,0.5446029799240506
CHG.end,CHG,315,24,104,30,40,69,54.5,0.6267504,0.5632258414920635
CHG.advance,CHG,300,24,85,26,26,69,56.5,0.6549671,0.5004115812666666
PRP.deep,PRP,278,23,98,33,37,69,53.0,0.57006526,0.5091391427697842
PRP.multiple,PRP,152,20,60,29,39,69,55.0,0.4392541,0.4081703263157895
PRP.shallow,PRP,148,23,36,16,20,36,27.5,0.48470402,0.4427822181081081
BOD.ear,BOD,50,19,42,25,20,57,37.0,0.5839469,0.573427131
PER.sound,PER,45,14,18,19,20,47,37.0,0.47510216,0.43268770666666667
LOG.cause,LOG,43,20,32,27,23,68,40.0,0.6242816,0.5757133297674419
PER.hear,PER,36,17,27,19,37,67,50.0,0.55258185,0.5324688105555556
ACT.agitate,ACT,35,16,21,12,20,33,25.5,0.50744426,0.47123451114285714
EMO.manifest,EMO,32,13,28,21,31,69,49.0,0.56197464,0.52515187625
COM.conduct,COM,22,10,15,15,27,56,36.0,0.5338532,0.48954401500000005
ABS.release,ABS,20,8,9,15,35,65,49.0,0.6245927,0.5785164334999999
WLD.science,WLD,13,6,7,10,59,69,64.5,0.51421905,0.4897807461538462
EXS.nonbeing,EXS,11,3,3,9,53,69,63.0,0.53292495,0.5165127709090909
WLD.realm,WLD,10,6,6,5,52,69,67.0,0.5119197,0.493866966
FND.logic,FND,10,7,9,9,43,69,61.0,0.489432,0.4718810339999999
PER.feel,PER,10,8,9,10,33,66,41.5,0.534246,0.524472789
FND.numberless,FND,7,1,1,7,36,42,39.0,0.5774009,0.51068173
STA.healing,STA,6,4,6,5,28,48,43.0,0.57347816,0.5698653516666666
PRP.sharp,PRP,5,5,2,1,20,20,20.0,0.47993687,0.4774256739999999
TIM.past,TIM,3,3,3,3,40,55,45.0,0.5493778,0.5325968200000001
PER.soundless,PER,3,2,2,3,39,45,43.0,0.53844327,0.5327096600000001
PER.see,PER,2,2,2,2,50,63,56.5,0.5636918,0.5505753
CHG.begin,CHG,1,1,1,1,63,63,63.0,0.56559724,0.56559724
ELM.sun,ELM,1,1,1,1,48,48,48.0,0.42764145,0.42764145
STA.peace,STA,1,1,1,1,47,47,47.0,0.5102876,0.5102876
