first_category,last_category,count,is_diagonal
TIM,TIM,571,True
WLD,WLD,564,True
WLD,COG,372,False
TIM,FND,157,False
COG,COG,76,True
SOC,TIM,73,False
WLD,COM,73,False
SOC,SOC,34,True
TIM,CHG,32,False
TIM,EXS,32,False
TIM,LOG,31,False
SOC,WLD,31,False
LOG,TIM,19,False
COG,COM,17,False
TIM,WLD,15,False
COG,WLD,12,False
WLD,PER,11,False
BOD,WLD,11,False
WLD,LOG,10,False
TIM,SOC,10,False
TIM,PRP,10,False
COM,COG,9,False
SOC,FND,8,False
PRP,FND,7,False
SOC,LOG,7,False
WLD,EMO,7,False
SOC,CHG,7,False
COM,COM,6,True
WLD,TIM,4,False
BOD,COG,4,False
SOC,EXS,3,False
TIM,COG,3,False
WLD,BOD,3,False
PRP,TIM,3,False
STA,WLD,2,False
TIM,COM,2,False
PER,FND,2,False
WLD,FND,2,False
BOD,PER,2,False
WLD,EXS,2,False
EXS,TIM,2,False
STA,COG,1,False
COG,EMO,1,False
EMO,COG,1,False
LOG,SOC,1,False
BOD,LOG,1,False
COG,BOD,1,False
LOG,COM,1,False
EXS,EXS,1,True
WLD,ABS,1,False
COM,EMO,1,False
CHG,COM,1,False
COM,WLD,1,False
BOD,EMO,1,False
LOG,EXS,1,False
WLD,SOC,1,False
LOG,COG,1,False
ACT,TIM,1,False
STA,TIM,1,False
