n_core_member,trajectory_class,n_cids,ratio_within_n_core
2,snapshot_only,732,0.37888198757763975
2,stable_atom,561,0.29037267080745344
2,few_attractors,465,0.2406832298136646
2,fully_drifting,137,0.07091097308488613
2,wandering,37,0.019151138716356108
3,stable_atom,75,0.32894736842105265
3,few_attractors,41,0.17982456140350878
3,stable_category,39,0.17105263157894737
3,snapshot_only,35,0.15350877192982457
3,wandering,34,0.14912280701754385
3,fully_drifting,4,0.017543859649122806
4,wandering,165,0.5445544554455446
4,few_attractors,78,0.25742574257425743
4,snapshot_only,34,0.11221122112211221
4,stable_atom,20,0.066006600660066
4,fully_drifting,6,0.019801980198019802
5,wandering,304,0.4887459807073955
5,few_attractors,161,0.25884244372990356
5,stable_atom,113,0.18167202572347266
5,snapshot_only,23,0.03697749196141479
5,stable_category,21,0.03376205787781351
6,wandering,1,1.0
7,wandering,1,1.0
8,few_attractors,1,1.0
