window,step_at_window_end,ABS_count,ACT_count,BOD_count,CHG_count,COG_count,COM_count,ELM_count,EMO_count,EXS_count,FND_count,LOG_count,PER_count,PRP_count,SOC_count,STA_count,TIM_count,WLD_count,total_alive
20,500,0,1,1,0,1,0,0,0,0,0,0,2,10,16,0,264,135,430
21,1000,0,2,0,0,0,0,0,0,0,0,0,1,14,17,0,267,144,445
22,1500,0,3,0,0,4,0,0,0,0,0,4,0,27,21,0,266,146,471
23,2000,0,5,2,0,3,0,0,0,0,0,13,0,16,27,0,278,133,477
24,2500,0,3,2,0,7,0,0,0,0,0,16,0,16,33,0,275,128,480
25,3000,0,3,1,0,9,0,0,0,0,0,32,0,14,36,0,262,129,486
26,3500,0,4,4,1,7,0,0,0,0,2,60,0,10,35,0,241,128,492
27,4000,0,2,4,0,18,1,0,0,0,13,66,1,11,53,0,224,115,508
28,4500,0,3,3,1,12,1,0,0,0,25,76,0,12,50,1,211,142,537
29,5000,0,4,0,0,17,2,0,0,0,39,89,0,11,47,0,200,131,540
30,5500,0,3,1,0,12,1,0,0,0,52,75,0,13,42,0,208,138,545
31,6000,0,0,3,0,17,1,0,1,0,63,88,3,4,24,0,215,125,544
32,6500,0,0,1,0,14,1,0,0,0,66,94,2,5,34,0,210,127,554
33,7000,0,2,0,0,17,1,0,1,0,75,82,2,7,26,0,226,125,564
34,7500,0,0,3,0,20,4,0,0,0,84,76,2,6,29,0,224,137,585
35,8000,1,0,0,0,22,4,0,1,0,82,74,2,5,28,0,228,134,581
36,8500,2,0,3,0,17,2,0,1,2,83,59,5,14,24,0,233,133,578
37,9000,2,0,3,0,25,3,0,1,2,77,63,10,23,33,0,218,133,593
38,9500,0,0,0,0,16,6,0,2,2,79,69,5,18,26,0,219,149,591
39,10000,0,0,1,0,18,7,0,2,2,72,50,6,35,23,0,225,154,595
40,10500,3,0,2,1,19,7,0,0,1,60,64,5,41,29,0,220,136,588
41,11000,1,0,2,1,26,2,0,0,5,52,61,5,43,26,2,231,148,605
42,11500,0,0,3,3,30,5,0,1,13,42,56,1,41,23,0,248,156,622
43,12000,0,0,2,8,33,6,0,0,17,34,53,5,45,39,1,242,145,630
44,12500,0,0,0,14,37,4,0,0,34,33,63,5,41,29,0,241,128,629
45,13000,1,0,2,10,43,5,0,1,50,33,42,2,31,27,1,272,135,655
46,13500,0,0,2,18,54,2,0,0,63,29,40,4,28,30,0,275,131,676
47,14000,0,0,0,20,46,17,0,0,77,35,21,5,27,27,1,259,140,675
48,14500,1,0,1,37,48,8,1,3,88,38,24,1,28,25,1,241,135,680
49,15000,1,0,0,27,42,10,0,2,86,30,26,3,21,23,0,271,116,658
50,15500,2,0,0,25,45,6,0,0,99,36,13,4,22,16,0,269,118,655
51,16000,1,0,1,25,47,9,0,1,107,50,23,2,21,16,0,244,109,656
52,16500,1,0,0,39,43,17,0,2,97,47,21,1,5,12,0,267,112,664
53,17000,1,0,0,20,44,19,0,0,98,49,24,1,25,6,0,278,123,688
54,17500,1,0,0,21,60,10,0,0,109,66,25,1,25,10,0,257,115,700
55,18000,1,0,1,31,44,13,0,2,89,72,18,3,17,12,0,287,103,693
56,18500,0,0,1,23,36,17,0,0,112,69,11,1,19,14,0,274,108,685
57,19000,0,0,1,25,40,17,0,1,97,69,19,0,18,12,0,297,103,699
58,19500,0,0,0,16,36,27,0,2,109,64,8,0,32,15,0,280,117,706
59,20000,0,0,0,18,37,28,0,2,118,76,0,0,34,13,0,256,143,725
60,20500,0,0,0,19,40,26,0,2,110,87,0,2,27,11,0,267,139,730
61,21000,0,0,0,16,56,18,0,0,101,92,4,0,18,12,0,316,105,738
62,21500,0,0,0,18,54,25,0,2,73,102,5,1,18,20,0,346,76,740
63,22000,0,0,0,22,59,8,0,0,73,104,8,1,17,18,0,355,77,742
64,22500,0,0,0,21,51,17,0,0,47,117,1,0,6,21,0,403,68,752
65,23000,1,0,0,20,36,22,0,0,78,113,0,0,20,21,0,351,93,755
66,23500,0,0,0,26,61,18,0,0,76,91,1,1,17,18,0,374,93,776
67,24000,0,0,0,25,67,9,0,1,79,116,9,1,20,18,0,338,102,785
68,24500,0,0,0,31,70,6,0,0,60,126,11,0,7,22,0,379,72,784
69,25000,0,0,0,34,74,5,0,1,14,148,13,0,3,29,0,438,36,795
