window,step_at_window_end,n_seeds_observed,n_total_alive_cids,dominant_category,dominant_category_count,dominant_category_seed_unanimity,dominant_atom,dominant_atom_count,max_sim_mean_overall
20,500,24,430,TIM,264,24,TIM.appear,247,
21,1000,24,445,TIM,267,24,TIM.appear,249,
22,1500,24,471,TIM,266,24,TIM.appear,226,
23,2000,24,477,TIM,278,24,TIM.appear,215,
24,2500,24,480,TIM,275,24,TIM.appear,197,
25,3000,24,486,TIM,262,24,TIM.appear,176,
26,3500,24,492,TIM,241,24,TIM.appear,154,
27,4000,24,508,TIM,224,24,TIM.appear,131,
28,4500,24,537,TIM,211,24,WLD.artless,138,
29,5000,24,540,TIM,200,24,WLD.artless,128,
30,5500,24,545,TIM,208,24,WLD.artless,131,
31,6000,24,544,TIM,215,24,TIM.moment,121,
32,6500,24,554,TIM,210,24,TIM.moment,119,
33,7000,24,564,TIM,226,24,TIM.moment,132,
34,7500,24,585,TIM,224,24,TIM.moment,134,
35,8000,24,581,TIM,228,24,TIM.moment,154,
36,8500,24,578,TIM,233,24,TIM.moment,175,
37,9000,24,593,TIM,218,24,TIM.moment,168,
38,9500,24,591,TIM,219,23,TIM.moment,182,
39,10000,24,595,TIM,225,24,TIM.moment,199,
40,10500,24,588,TIM,220,24,TIM.moment,197,
41,11000,24,605,TIM,231,24,TIM.moment,211,
42,11500,24,622,TIM,248,24,TIM.moment,228,
43,12000,24,630,TIM,242,24,TIM.moment,226,
44,12500,24,629,TIM,241,24,TIM.moment,227,
45,13000,24,655,TIM,272,24,TIM.moment,256,
46,13500,24,676,TIM,275,24,TIM.moment,262,
47,14000,24,675,TIM,259,24,TIM.moment,248,
48,14500,24,680,TIM,241,24,TIM.moment,236,
49,15000,24,658,TIM,271,24,TIM.moment,266,
50,15500,24,655,TIM,269,24,TIM.moment,266,
51,16000,24,656,TIM,244,23,TIM.moment,239,
52,16500,24,664,TIM,267,23,TIM.moment,265,
53,17000,24,688,TIM,278,23,TIM.moment,274,
54,17500,24,700,TIM,257,23,TIM.moment,255,
55,18000,24,693,TIM,287,23,TIM.moment,280,
56,18500,24,685,TIM,274,24,TIM.moment,271,
57,19000,24,699,TIM,297,24,TIM.moment,292,
58,19500,24,706,TIM,280,24,TIM.moment,276,
59,20000,24,725,TIM,256,24,TIM.moment,252,
60,20500,24,730,TIM,267,24,TIM.moment,260,
61,21000,24,738,TIM,316,24,TIM.moment,312,
62,21500,24,740,TIM,346,24,TIM.moment,343,
63,22000,24,742,TIM,355,24,TIM.moment,353,
64,22500,24,752,TIM,403,24,TIM.moment,400,
65,23000,24,755,TIM,351,24,TIM.moment,351,
66,23500,24,776,TIM,374,24,TIM.moment,369,
67,24000,24,785,TIM,338,24,TIM.moment,336,
68,24500,24,784,TIM,379,24,TIM.moment,376,
69,25000,24,795,TIM,438,23,TIM.moment,436,
