seed,n_window_cid_pairs,n_alive_cids,n_windows_observed,max_sim_mean,n_unique_rank1_atoms,elapsed_sec
0,1062,135,50,0.508111834526062,31,0.17
1,1130,119,50,0.5124333500862122,21,0.18
2,1539,141,50,0.5024043321609497,26,0.22
3,1348,130,50,0.5063592195510864,23,0.2
4,1546,137,50,0.49919429421424866,23,0.22
5,1319,140,50,0.500531017780304,25,0.2
6,1189,110,50,0.49336889386177063,24,0.21
7,1202,100,50,0.48875829577445984,23,0.17
8,1126,131,50,0.5135213136672974,23,0.17
9,985,136,50,0.5040791034698486,22,0.16
10,1486,112,50,0.501053512096405,23,0.2
11,1391,145,50,0.49770233035087585,24,0.2
12,1391,150,50,0.4999135732650757,26,0.2
13,1310,120,50,0.49851086735725403,23,0.19
14,1443,117,50,0.49345239996910095,27,0.21
15,1284,109,50,0.5023704171180725,22,0.18
16,1323,142,50,0.5136488676071167,25,0.2
17,1310,128,50,0.49483585357666016,25,0.19
18,1187,105,50,0.48799875378608704,27,0.18
19,1265,127,50,0.5032727122306824,29,0.19
20,1430,149,50,0.5054303407669067,25,0.21
21,1446,118,50,0.49513790011405945,24,0.2
22,1546,147,50,0.5085607767105103,25,0.22
23,1224,140,50,0.5117781162261963,27,0.18
