ABc,AB,A,B,Bc,all_pass,ABC,aBC,AC,BC,C,seed,age_target,p75_fam,p50_fam
99,190,228,190,99,228,52,52,57,52,57,0,200,77.05250000000001,39.189049999999995
81,174,207,174,81,207,43,43,53,43,53,1,200,74.0979,39.3145
101,206,246,206,101,246,50,50,62,50,62,2,200,77.573975,40.84065
86,190,221,190,86,221,42,42,57,42,57,3,200,116.2234,44.3533
85,172,210,172,85,210,40,40,53,40,53,4,200,69.50037499999999,40.1883
108,208,233,208,108,233,55,55,59,55,59,5,200,64.0107,40.1821
83,165,209,165,83,209,42,42,53,42,53,6,200,68.5677,41.1788
60,137,179,137,60,179,28,28,45,28,45,7,200,97.75274999999999,48.476
92,185,217,185,92,217,44,44,55,44,55,8,200,75.5354,40.2626
96,200,232,200,96,232,49,49,62,49,62,9,200,116.2234,40.1767
80,158,181,158,80,181,43,43,47,43,47,10,200,58.411,38.8883
92,194,240,194,92,240,51,51,66,51,66,11,200,116.2234,39.50045
104,209,248,209,104,248,56,56,63,56,63,12,200,116.2234,42.7134
94,187,204,187,94,204,47,47,52,47,52,13,200,116.2234,46.38425
87,166,192,166,87,192,43,43,48,43,48,14,200,74.882525,42.1986
84,176,198,176,84,198,43,43,50,43,50,15,200,82.95975,42.120599999999996
91,182,229,182,91,229,47,47,58,47,58,16,200,84.1409,38.8376
95,193,227,193,95,227,52,52,57,52,57,17,200,85.49965,44.1412
59,128,170,128,59,170,30,30,44,30,44,18,200,65.8264,41.705200000000005
97,192,220,192,97,220,48,48,55,48,55,19,200,83.027125,39.8501
110,225,253,225,110,253,57,57,64,57,64,20,200,78.97,40.127
83,176,200,176,83,200,41,41,50,41,50,21,200,82.839625,42.7134
101,200,240,200,101,240,49,49,60,49,60,22,200,66.219325,39.62315
107,212,240,212,107,240,54,54,61,54,61,23,200,316.2444,40.527
93,177,228,177,93,228,49,49,57,49,57,0,300,77.05250000000001,39.189049999999995
75,167,207,167,75,207,41,41,53,41,53,1,300,74.0979,39.3145
95,194,246,194,95,246,48,48,62,48,62,2,300,77.573975,40.84065
74,171,221,171,74,221,36,36,57,36,57,3,300,116.2234,44.3533
79,162,210,162,79,210,39,39,53,39,53,4,300,69.50037499999999,40.1883
100,192,233,192,100,233,49,49,59,49,59,5,300,64.0107,40.1821
73,150,209,150,73,209,35,35,53,35,53,6,300,68.5677,41.1788
49,118,179,118,49,179,23,23,45,23,45,7,300,97.75274999999999,48.476
85,173,217,173,85,217,40,40,55,40,55,8,300,75.5354,40.2626
89,187,232,187,89,232,44,44,62,44,62,9,300,116.2234,40.1767
76,150,181,150,76,181,40,40,47,40,47,10,300,58.411,38.8883
87,179,240,179,87,240,49,49,66,49,66,11,300,116.2234,39.50045
95,191,248,191,95,248,54,54,63,54,63,12,300,116.2234,42.7134
86,170,204,170,86,204,44,44,52,44,52,13,300,116.2234,46.38425
78,152,192,152,78,192,41,41,48,41,48,14,300,74.882525,42.1986
80,170,198,170,80,198,42,42,50,42,50,15,300,82.95975,42.120599999999996
80,166,229,166,80,229,41,41,58,41,58,16,300,84.1409,38.8376
88,183,227,183,88,227,48,48,57,48,57,17,300,85.49965,44.1412
56,121,170,121,56,170,28,28,44,28,44,18,300,65.8264,41.705200000000005
90,178,220,178,90,220,46,46,55,46,55,19,300,83.027125,39.8501
103,209,253,209,103,253,52,52,64,52,64,20,300,78.97,40.127
77,165,200,165,77,200,40,40,50,40,50,21,300,82.839625,42.7134
88,175,240,175,88,240,43,43,60,43,60,22,300,66.219325,39.62315
97,196,240,196,97,240,52,52,61,52,61,23,300,316.2444,40.527
34,85,131,85,34,131,11,11,16,11,16,0,500,77.05250000000001,39.189049999999995
30,80,115,80,30,115,15,15,23,15,23,1,500,74.0979,39.3145
43,90,141,90,43,141,15,15,26,15,26,2,500,77.573975,40.84065
31,88,128,88,31,128,9,9,17,9,17,3,500,116.2234,44.3533
41,83,133,83,41,133,17,17,25,17,25,4,500,69.50037499999999,40.1883
33,91,138,91,33,138,12,12,25,12,25,5,500,64.0107,40.1821
36,67,108,67,36,108,14,14,21,14,21,6,500,68.5677,41.1788
20,56,99,56,20,99,6,6,15,6,15,7,500,97.75274999999999,48.476
32,82,128,82,32,128,13,13,19,13,19,8,500,75.5354,40.2626
34,93,133,93,34,133,11,11,19,11,19,9,500,116.2234,40.1767
27,66,107,66,27,107,13,13,21,13,21,10,500,58.411,38.8883
40,93,144,93,40,144,23,23,31,23,31,11,500,116.2234,39.50045
35,94,148,94,35,148,15,15,22,15,22,12,500,116.2234,42.7134
28,83,119,83,28,119,9,9,18,9,18,13,500,116.2234,46.38425
25,68,115,68,25,115,10,10,15,10,15,14,500,74.882525,42.1986
34,75,107,75,34,107,12,12,15,12,15,15,500,82.95975,42.120599999999996
28,78,138,78,28,138,10,10,21,10,21,16,500,84.1409,38.8376
32,88,128,88,32,128,14,14,17,14,17,17,500,85.49965,44.1412
23,59,102,59,23,102,11,11,23,11,23,18,500,65.8264,41.705200000000005
42,90,125,90,42,125,13,13,19,13,19,19,500,83.027125,39.8501
36,102,143,102,36,143,13,13,24,13,24,20,500,78.97,40.127
35,88,116,88,35,116,15,15,20,15,20,21,500,82.839625,42.7134
41,92,147,92,41,147,16,16,25,16,25,22,500,66.219325,39.62315
42,97,138,97,42,138,13,13,16,13,16,23,500,316.2444,40.527
