seed,global_k,global_sw,global_none,global_n_C,r0_k,r0_agree,r0_sw,r0_max_streak,r0_transitions,r0_mismatch,r0_flip_rate,r1_k,r1_agree,r1_sw,r1_max_streak,r1_transitions,r1_mismatch,r1_flip_rate,r2_k,r2_agree,r2_sw,r2_max_streak,r2_transitions,r2_mismatch,r2_flip_rate,r3_k,r3_agree,r3_sw,r3_max_streak,r3_transitions,r3_mismatch,r3_flip_rate,divergence_ratio,div_episode_count,div_mean_duration,div_max_duration,short_div,long_div,top_mm_1_state,top_mm_1_count,top_mm_2_state,top_mm_2_count,top_mm_3_state,top_mm_3_count,regime,most_unstable,least_unstable,mm_concentration,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
1001,3,11.0,0.927,167.5,3,0.52,3,13,3,0.5833,0.1304,4,0.76,2,19,2,0.48,0.0833,3,0.4,7,9,7,0.4545,0.3333,4,0.96,1,24,1,0.68,0.0417,0.92,2,11.5,22,1,1,g3_r3334,4,g3_r4404,4,g4_r3444,3,long_drift,2,3,0.1739,396.3,11.2497,400.9,11.052,372.9,10.2697,393.0,11.1047,372.0,10.3883,365.2,10.0984
123,4,6.0,0.9389,169.8,4,0.92,1,23,1,0.16,0.0417,4,0.96,1,24,1,0.2174,0.0455,4,0.96,1,24,1,0.2,0.0417,4,0.8,2,20,2,0.125,0.087,0.2,2,2.5,4,2,0,g0_r0440,1,g3_r4443,1,g0_r4443,1,short_burst,3,2,0.2,397.0,11.0248,399.5,11.0667,377.2,10.4211,381.0,10.6303,361.6,10.101,360.1,10.1386
1234,4,10.0,0.9251,173.6,4,0.72,5,12,5,0.4583,0.2174,4,0.84,4,12,4,0.4,0.1667,4,0.92,1,23,1,0.44,0.0417,4,0.92,1,23,1,0.44,0.0417,0.48,5,2.4,4,5,0,g1_r4444,3,g3_r4444,3,g1_r3444,3,short_burst,0,3,0.25,401.4,11.2244,395.9,11.0857,380.1,10.6595,388.1,10.9321,367.5,10.2031,364.0,10.3198
13,4,7.0,0.9465,162.3,4,0.92,1,23,1,0.3913,0.0455,4,0.96,1,24,1,0.4783,0.0455,4,0.96,1,24,1,0.4583,0.0435,4,0.96,1,24,1,0.4118,0.0625,0.44,3,3.67,7,2,1,g0_r4444,5,g1_r4444,3,g3_r4444,2,long_drift,3,2,0.4545,393.3,11.0021,402.7,11.1738,379.7,10.4017,389.8,10.8235,361.8,10.0222,368.8,10.2731
1999,4,9.0,0.9278,164.8,4,0.56,6,14,6,0.6087,0.2727,4,0.84,3,21,3,0.2105,0.1667,4,0.84,3,21,3,0.3636,0.1429,4,0.6,6,15,6,0.5833,0.2609,0.64,1,16.0,16,0,1,g3_r4444,4,g1_r4444,4,g4_r0440,3,long_drift,0,2,0.25,403.5,11.0811,397.9,11.0171,381.9,10.6756,386.5,10.6228,363.9,9.9896,367.4,10.2201
2024,4,6.0,0.9413,177.4,4,0.8,3,20,3,0.125,0.1304,4,0.64,4,9,4,0.4286,0.2,3,0.6,4,15,4,0.5217,0.1818,4,0.96,1,24,1,0.3182,0.0476,0.72,1,18.0,18,0,1,g4_r4434,5,g4_r4334,5,g0_r0404,1,long_drift,1,3,0.2778,401.3,11.0883,396.3,11.0697,373.4,10.536,391.2,10.9399,367.4,10.2348,369.2,10.2215
3000,4,5.0,0.9315,162.1,4,0.92,1,23,1,0.3043,0.0455,4,0.92,1,23,1,0.25,0.0435,4,0.92,1,23,1,0.3043,0.0455,4,0.92,2,23,2,0.3333,0.1,0.32,2,4.0,5,1,1,g3_r4444,5,g0_r0001,1,g1_r4444,1,long_drift,3,1,0.625,395.9,10.9515,392.5,10.8036,381.2,10.7312,388.3,10.8798,364.4,10.2837,362.0,9.996
314,4,5.0,0.9298,165.8,4,0.88,2,22,2,0.1304,0.0909,4,0.92,1,23,1,0.087,0.0455,4,0.72,3,18,3,0.2174,0.1364,4,0.76,3,19,3,0.2,0.1579,0.24,2,3.0,5,1,1,g4_r4433,2,g4_r1411,1,g3_r4433,1,long_drift,3,1,0.3333,395.2,11.0757,404.9,11.3049,382.6,10.8112,387.8,10.755,372.4,10.2639,365.6,10.2712
42,4,8.0,0.9295,166.9,4,0.88,2,22,2,0.25,0.1053,4,0.84,3,20,3,0.1304,0.1364,4,0.96,1,24,1,0.2273,0.0476,4,0.96,1,24,1,0.1905,0.05,0.24,3,2.0,4,3,0,g1_r4344,2,g1_r4444,2,g4_r3444,1,short_burst,1,2,0.3333,399.8,11.0455,405.5,11.182,376.0,10.499,394.5,10.9427,358.2,10.008,363.4,10.0273
4321,4,10.0,0.9579,167.4,4,0.56,4,14,4,0.4,0.2105,4,0.96,1,24,1,0.6087,0.0455,3,0.6,3,15,3,0.5455,0.1429,4,0.56,3,14,3,0.2778,0.1765,0.8,2,10.0,17,1,1,g4_r4434,6,g3_r0433,4,g3_r4444,3,long_drift,0,1,0.3,398.4,11.0886,395.6,11.052,378.1,10.4922,379.8,10.5179,366.6,10.256,360.9,9.9547
456,3,8.0,0.9397,170.1,4,0.96,1,24,1,0.85,0.0526,4,0.96,1,24,1,0.8636,0.0476,4,0.8,2,20,2,0.65,0.1053,4,0.76,2,19,2,0.68,0.0833,0.88,3,7.33,8,0,3,g3_r4444,11,g3_r4433,3,g1_r4444,3,long_drift,2,1,0.5,411.2,11.4269,398.0,11.1174,383.9,10.6806,385.8,10.6308,368.0,10.2627,364.2,9.9728
