seed,global_k,global_sw,global_none,global_n_C,r0_k,r0_agree,r0_sw,r0_max_streak,r0_transitions,r0_mismatch,r0_flip_rate,r1_k,r1_agree,r1_sw,r1_max_streak,r1_transitions,r1_mismatch,r1_flip_rate,r2_k,r2_agree,r2_sw,r2_max_streak,r2_transitions,r2_mismatch,r2_flip_rate,r3_k,r3_agree,r3_sw,r3_max_streak,r3_transitions,r3_mismatch,r3_flip_rate,divergence_ratio,div_episode_count,div_mean_duration,div_max_duration,short_div,long_div,top_mm_1_state,top_mm_1_count,top_mm_2_state,top_mm_2_count,top_mm_3_state,top_mm_3_count,regime,most_unstable,least_unstable,mm_concentration,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
123,4,11.0,0.9533,171.2,4,0.64,5,15,5,0.4783,0.2273,4,0.96,1,24,1,0.5,0.0435,4,0.96,1,24,1,0.5,0.0435,4,0.92,3,16,3,0.48,0.125,0.6,2,7.5,13,1,1,g3_r4444,5,g1_r1444,3,g3_r0444,2,long_drift,0,2,0.3333,402.7,11.068,398.6,11.0213,376.7,10.444,384.5,10.8408,366.7,10.1679,366.2,10.0933
13,3,8.0,0.9323,173.7,4,0.96,1,24,1,0.9167,0.0435,3,0.36,5,9,5,0.55,0.2632,3,0.68,6,17,6,0.375,0.2609,4,0.52,4,13,4,0.6667,0.1739,0.96,1,24.0,24,0,1,g3_r4334,8,g1_r4401,2,g3_r4130,2,long_drift,1,0,0.3333,399.7,11.3325,403.4,11.3125,381.9,10.6064,380.7,10.5316,363.4,10.1871,368.0,10.4426
2024,4,10.0,0.8942,173.0,4,0.96,1,24,1,0.32,0.0417,4,0.92,3,18,3,0.2273,0.1429,4,0.88,2,22,2,0.2727,0.0952,4,0.96,1,24,1,0.32,0.0417,0.32,5,1.6,2,5,0,g3_r4444,5,g0_r4404,1,g1_r4414,1,short_burst,1,3,0.625,399.7,11.2159,393.7,11.1457,376.5,10.7772,388.2,10.9879,367.7,10.4058,364.9,10.2972
314,4,6.0,0.9472,169.6,4,0.96,1,24,1,0.3333,0.0435,4,0.96,1,24,1,0.2917,0.0435,4,0.96,1,24,1,0.3,0.0526,3,0.44,4,11,4,0.5714,0.2,0.84,1,21.0,21,0,1,g4_r4443,10,g1_r4441,4,g4_r4440,3,long_drift,3,1,0.4762,400.9,11.0508,399.1,11.0379,374.9,10.3881,390.1,10.8146,367.7,10.1237,371.8,10.0691
42,4,5.0,0.9355,163.9,4,0.88,3,21,3,0.1739,0.1364,4,0.64,2,16,2,0.1905,0.1,4,0.96,1,24,1,0.2083,0.0435,4,0.84,3,21,3,0.1818,0.1429,0.4,2,5.0,8,1,1,g4_r4344,5,g0_r4040,1,g0_r3341,1,long_drift,3,2,0.5,402.8,11.3461,402.5,11.3066,376.3,10.5075,385.1,10.7437,363.9,10.1622,362.0,10.2084
456,3,10.0,0.9519,171.2,4,0.96,1,24,1,0.6,0.0417,4,0.96,1,24,1,0.6087,0.0455,4,0.56,2,14,2,0.5,0.0952,4,0.76,2,19,2,0.381,0.1,0.76,3,6.33,10,1,2,g1_r4444,5,g3_r4433,4,g4_r4434,4,long_drift,3,0,0.2632,400.0,10.9709,397.0,10.9802,378.1,10.2893,388.0,10.5555,370.3,10.3046,362.0,10.073
555,4,6.0,0.9323,162.5,4,0.96,1,24,1,0.3043,0.0455,4,0.64,3,16,3,0.1,0.1579,3,0.48,4,12,4,0.2222,0.2353,4,0.96,1,24,1,0.3333,0.05,0.6,3,5.0,13,2,1,g4_r4434,5,g3_r4334,4,g4_r4334,3,long_drift,2,0,0.3333,402.2,11.0853,399.2,11.0502,376.2,10.449,395.2,11.0018,370.4,10.2391,368.6,10.2312
7,4,8.0,0.9086,174.4,3,0.88,1,22,1,0.7391,0.0455,4,0.8,3,17,3,0.4167,0.1304,4,0.96,1,24,1,0.3478,0.0455,4,0.48,3,12,3,0.4348,0.1364,0.96,1,24.0,24,0,1,g4_r3444,8,g3_r3443,4,g4_r3443,4,long_drift,3,2,0.3333,401.7,11.1232,395.0,10.8794,382.4,10.6453,384.7,10.795,365.2,10.2114,363.9,10.2411
789,4,8.0,0.9614,164.5,4,0.96,1,24,1,0.3043,0.0455,4,0.96,1,24,1,0.2727,0.0476,4,0.72,5,14,5,0.1739,0.2273,4,0.8,2,20,2,0.2609,0.0909,0.32,3,2.67,4,3,0,g1_r4414,2,g1_r4410,1,g3_r4433,1,short_burst,2,0,0.25,397.7,10.7968,411.7,11.327,381.4,10.8202,384.5,10.6157,372.8,10.2798,363.5,10.1089
99,4,5.0,0.9363,177.7,3,0.92,1,23,1,0.7826,0.0455,4,0.52,2,13,2,0.2857,0.1,4,0.96,1,24,1,0.1364,0.0476,4,0.96,1,24,1,0.2273,0.0476,0.96,1,24.0,24,0,1,g4_r3444,13,g4_r3344,6,g3_r3344,3,long_drift,1,0,0.5417,401.7,11.1812,398.4,11.0513,383.4,10.4778,383.2,10.7662,370.5,10.2577,372.8,10.1751
