seed,window,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
1001,1,418,12.2537,365,10.9496,360,10.6786,422,11.305,374,10.4228,369,10.8618
1001,2,414,12.4126,406,12.4358,377,9.8142,368,11.1084,388,12.0532,385,10.9758
1001,3,429,11.8906,398,10.1392,366,9.4181,375,10.1615,345,9.2642,354,9.8006
1001,4,390,11.8668,429,11.3774,373,9.7435,416,12.1613,369,10.5776,343,10.1233
1001,5,406,11.2072,403,11.1098,411,11.3134,401,10.8471,391,10.6034,363,9.5288
1001,6,416,11.7724,370,9.7407,361,9.6727,394,10.3762,375,11.4242,343,9.7867
1001,7,372,10.1839,373,9.8871,412,11.9301,399,10.9945,395,10.5085,400,11.0194
1001,8,400,11.1098,410,10.7748,377,10.5055,361,10.1981,387,9.9783,338,8.5392
1001,9,375,12.015,395,11.5343,343,9.1952,415,11.1849,359,10.8128,379,9.9768
1001,10,400,11.3746,466,12.1312,394,10.8579,403,11.1348,368,10.56,354,9.2273
1001,11,431,12.2773,389,10.0028,385,10.9906,383,11.1908,373,10.1607,363,10.9407
1001,12,387,10.3948,394,11.3783,386,11.2961,386,11.0581,362,10.7654,378,9.9193
1001,13,400,10.8876,399,10.8566,371,9.5522,398,12.4943,374,10.2909,398,10.5296
1001,14,385,10.7379,384,9.9899,379,11.5542,397,10.8112,349,10.7074,381,10.6752
1001,15,363,10.1767,396,12.3942,363,10.37,385,11.3244,395,10.2345,398,11.61
1001,16,383,10.3875,383,10.6207,355,9.6568,392,10.6178,333,8.546,356,10.0165
1001,17,387,12.4109,373,10.6686,416,11.1365,401,10.7505,391,10.3615,371,9.7808
1001,18,394,11.7299,437,12.4609,340,9.4275,393,11.001,381,10.5489,380,10.8566
1001,19,409,11.7625,383,9.9339,371,9.5073,400,11.6711,369,9.8616,353,10.3083
1001,20,424,11.9961,394,11.4462,378,10.7432,395,12.2085,399,11.3724,379,10.5786
1001,21,393,10.7863,440,11.6797,356,9.8783,427,12.0996,365,9.807,353,9.6692
1001,22,380,10.2638,408,11.0607,340,8.8983,401,10.103,371,10.2864,353,9.4245
1001,23,376,10.498,422,12.044,353,9.965,394,11.7759,364,9.8009,360,9.8526
1001,24,369,10.0575,419,11.7636,396,10.8077,347,10.1997,359,9.9631,356,9.7588
1001,25,407,10.7894,386,9.9206,360,9.8294,373,10.8407,364,10.7949,323,8.6994
