seed,window,step,global_k,global_n_C,r0_k,r0_n_C,r0_none,r0_valid,r0_switch,r1_k,r1_n_C,r1_none,r1_valid,r1_switch,r2_k,r2_n_C,r2_none,r2_valid,r2_switch,r3_k,r3_n_C,r3_none,r3_valid,r3_switch,divergence_flag
88,1,500,0,2614,0,659,1.0,True,0,0,671,1.0,True,0,0,657,1.0,True,0,0,627,1.0,True,0,0
88,2,700,0,596,0,159,0.9937,True,0,4,146,1.0,True,1,0,162,0.9938,True,0,0,129,0.9922,True,0,1
88,3,900,1,101,1,30,0.9333,True,1,4,26,1.0,True,0,4,27,0.963,True,1,4,18,1.0,True,1,1
88,4,1100,4,40,1,11,1.0,True,0,4,10,1.0,True,0,4,12,1.0,True,0,4,7,1.0,True,0,1
88,5,1300,4,20,0,6,1.0,True,1,4,5,1.0,True,0,4,5,1.0,True,0,4,4,1.0,False,0,1
88,6,1500,4,22,3,7,0.7143,True,1,4,7,0.4286,True,0,4,5,0.4,True,0,4,3,1.0,False,0,1
88,7,1700,4,34,3,11,1.0,True,0,4,9,0.8889,True,0,4,9,0.7778,True,0,4,5,0.8,True,0,1
88,8,1900,4,34,3,7,1.0,True,0,4,5,1.0,True,0,4,11,1.0,True,0,4,11,1.0,True,0,1
88,9,2100,1,35,3,8,0.875,True,0,4,4,0.75,False,0,4,11,0.7273,True,0,4,12,0.8333,True,0,1
88,10,2300,1,35,3,11,0.9091,True,0,4,7,1.0,True,0,4,7,0.8571,True,0,4,10,1.0,True,0,1
88,11,2500,3,32,3,9,0.8889,True,0,4,9,0.7778,True,0,4,7,1.0,True,0,4,7,0.7143,True,0,1
88,12,2700,4,33,3,6,1.0,True,0,4,8,0.75,True,0,4,9,0.8889,True,0,4,10,0.9,True,0,1
88,13,2900,4,23,3,6,1.0,True,0,4,4,1.0,False,0,4,9,1.0,True,0,4,4,1.0,False,0,1
88,14,3100,1,33,3,9,0.7778,True,0,4,5,0.6,True,0,4,7,0.8571,True,0,4,12,0.9167,True,0,1
88,15,3300,1,34,1,10,0.8,True,1,4,9,1.0,True,0,4,7,1.0,True,0,4,8,1.0,True,0,1
88,16,3500,1,30,1,6,1.0,True,0,4,12,0.9167,True,0,4,9,1.0,True,0,4,3,0.6667,False,0,1
88,17,3700,4,41,0,10,1.0,True,1,4,15,0.9333,True,0,4,9,1.0,True,0,4,7,0.8571,True,0,1
88,18,3900,4,24,0,4,0.75,False,0,4,7,1.0,True,0,4,7,1.0,True,0,4,6,0.8333,True,0,1
88,19,4100,3,33,3,7,0.7143,True,1,4,11,0.7273,True,0,4,8,0.875,True,0,4,7,0.8571,True,0,1
88,20,4300,4,28,3,5,0.6,True,0,4,7,1.0,True,0,4,9,1.0,True,0,4,7,0.7143,True,0,1
88,21,4500,4,23,3,5,0.8,True,0,4,6,0.5,True,0,4,5,0.8,True,0,4,7,0.8571,True,0,1
88,22,4700,4,30,4,6,1.0,True,1,4,7,1.0,True,0,4,9,1.0,True,0,4,8,1.0,True,0,0
88,23,4900,4,36,4,11,0.9091,True,0,4,9,1.0,True,0,4,11,0.9091,True,0,4,5,0.6,True,0,0
88,24,5100,4,23,4,3,1.0,False,0,4,9,0.7778,True,0,4,8,0.625,True,0,4,3,1.0,False,0,0
88,25,5300,4,19,4,3,1.0,False,0,4,4,1.0,False,0,4,8,1.0,True,0,4,4,1.0,False,0,0
