seed,window,step,global_k,global_n_C,r0_k,r0_n_C,r0_none,r0_valid,r1_k,r1_n_C,r1_none,r1_valid,r2_k,r2_n_C,r2_none,r2_valid,r3_k,r3_n_C,r3_none,r3_valid
123,1,500,0,2709,0,740,1.0,True,0,691,1.0,True,0,642,1.0,True,0,636,1.0,True
123,2,700,0,622,0,147,0.9932,True,4,163,1.0,True,4,153,1.0,True,0,159,0.9937,True
123,3,900,3,81,4,22,1.0,True,4,23,1.0,True,4,18,1.0,True,3,18,1.0,True
123,4,1100,0,51,4,9,0.8889,True,4,17,1.0,True,4,11,1.0,True,3,14,1.0,True
123,5,1300,1,40,4,11,0.6364,True,4,13,1.0,True,4,9,1.0,True,3,7,1.0,True
123,6,1500,4,29,4,9,0.8889,True,4,6,0.6667,True,4,8,0.875,True,4,6,1.0,True
123,7,1700,4,23,4,5,0.8,True,4,5,0.8,True,4,9,1.0,True,4,4,0.5,False
123,8,1900,4,39,4,9,1.0,True,4,11,1.0,True,4,9,1.0,True,4,10,1.0,True
123,9,2100,4,41,4,14,0.9286,True,4,5,1.0,True,4,12,0.9167,True,4,10,1.0,True
123,10,2300,4,56,4,19,1.0,True,4,10,1.0,True,4,14,1.0,True,4,13,1.0,True
123,11,2500,4,27,4,11,1.0,True,4,3,1.0,False,4,5,1.0,True,4,8,1.0,True
123,12,2700,4,30,4,6,0.8333,True,4,5,1.0,True,4,8,0.875,True,4,11,1.0,True
123,13,2900,4,43,4,9,1.0,True,4,13,1.0,True,4,11,1.0,True,4,10,1.0,True
123,14,3100,4,46,4,12,1.0,True,4,8,1.0,True,4,14,1.0,True,4,12,1.0,True
123,15,3300,1,34,4,11,1.0,True,4,5,1.0,True,4,9,0.7778,True,4,9,1.0,True
123,16,3500,4,37,4,6,0.6667,True,4,9,0.8889,True,4,10,0.9,True,4,12,1.0,True
123,17,3700,4,48,4,10,0.9,True,4,11,0.7273,True,4,10,1.0,True,4,17,0.9412,True
123,18,3900,4,36,4,8,0.875,True,4,10,0.9,True,4,8,1.0,True,4,10,0.9,True
123,19,4100,4,36,4,13,0.8462,True,4,4,1.0,False,4,9,0.8889,True,4,10,0.9,True
123,20,4300,4,34,4,7,1.0,True,4,7,0.8571,True,4,11,0.9091,True,4,9,1.0,True
123,21,4500,4,31,4,6,0.8333,True,4,7,1.0,True,4,10,0.6,True,4,8,0.875,True
123,22,4700,4,44,4,12,0.9167,True,4,12,0.75,True,4,12,1.0,True,4,8,1.0,True
123,23,4900,4,41,4,8,1.0,True,4,15,1.0,True,4,8,0.875,True,4,10,0.9,True
123,24,5100,4,31,4,9,0.8889,True,4,7,1.0,True,4,9,1.0,True,4,6,0.8333,True
123,25,5300,4,36,4,10,1.0,True,4,8,0.875,True,4,9,0.8889,True,4,9,1.0,True
