seed,window,step,global_k,global_n_C,r0_k,r0_n_C,r0_none,r0_valid,r0_switch,r1_k,r1_n_C,r1_none,r1_valid,r1_switch,r2_k,r2_n_C,r2_none,r2_valid,r2_switch,r3_k,r3_n_C,r3_none,r3_valid,r3_switch,divergence_flag
42,1,500,0,2596,0,674,0.997,True,0,0,660,0.997,True,0,0,647,0.9969,True,0,0,615,0.9967,True,0,0
42,2,700,4,630,4,173,1.0,True,1,4,155,1.0,True,1,4,155,1.0,True,1,4,147,1.0,True,1,0
42,3,900,3,75,4,25,1.0,True,0,4,20,1.0,True,0,4,16,1.0,True,0,4,14,1.0,True,0,1
42,4,1100,4,28,4,9,0.7778,True,0,4,5,1.0,True,0,4,7,1.0,True,0,4,7,1.0,True,0,0
42,5,1300,4,25,4,8,0.875,True,0,4,5,1.0,True,0,4,6,0.8333,True,0,4,6,1.0,True,0,0
42,6,1500,4,27,4,13,1.0,True,0,4,6,1.0,True,0,4,6,1.0,True,0,4,2,1.0,False,0,0
42,7,1700,4,27,4,11,1.0,True,0,4,11,0.9091,True,0,4,3,1.0,False,0,4,2,1.0,False,0,0
42,8,1900,1,28,4,8,0.875,True,0,4,9,0.8889,True,0,4,4,0.75,False,0,4,7,0.4286,True,0,1
42,9,2100,1,40,4,14,1.0,True,0,4,5,1.0,True,0,4,6,1.0,True,0,4,15,1.0,True,0,1
42,10,2300,1,28,4,7,1.0,True,0,4,5,0.8,True,0,4,8,1.0,True,0,4,8,0.625,True,0,1
42,11,2500,4,38,4,7,0.8571,True,0,4,4,1.0,False,0,4,14,0.8571,True,0,4,13,1.0,True,0,0
42,12,2700,1,31,4,9,0.8889,True,0,4,5,1.0,True,0,4,11,0.7273,True,0,4,6,0.8333,True,0,1
42,13,2900,2,33,4,7,0.8571,True,0,4,7,0.7143,True,0,4,13,0.6923,True,0,4,6,0.6667,True,0,1
42,14,3100,3,35,4,8,0.875,True,0,4,12,0.8333,True,0,4,7,1.0,True,0,4,8,0.875,True,0,1
42,15,3300,3,29,4,9,0.8889,True,0,4,12,1.0,True,0,4,3,1.0,False,0,4,5,0.8,True,0,1
42,16,3500,3,31,4,5,0.8,True,0,4,6,1.0,True,0,4,11,0.9091,True,0,4,9,0.4444,True,0,1
42,17,3700,3,34,4,6,1.0,True,0,4,11,0.9091,True,0,4,4,1.0,False,0,4,13,0.9231,True,0,1
42,18,3900,3,36,4,13,0.6923,True,0,4,9,0.6667,True,0,4,5,0.8,True,0,4,9,1.0,True,0,1
42,19,4100,4,52,4,15,0.6667,True,0,4,15,1.0,True,0,4,9,1.0,True,0,4,13,0.8462,True,0,0
42,20,4300,4,33,4,11,0.9091,True,0,4,7,1.0,True,0,4,11,0.8182,True,0,4,4,0.75,False,0,0
42,21,4500,4,20,4,6,0.6667,True,0,4,1,1.0,False,0,4,9,0.7778,True,0,4,4,0.75,False,0,0
42,22,4700,4,36,4,9,1.0,True,0,4,8,1.0,True,0,4,10,1.0,True,0,4,9,1.0,True,0,0
42,23,4900,4,51,4,21,0.9048,True,0,4,6,1.0,True,0,4,14,1.0,True,0,4,10,0.9,True,0,0
42,24,5100,3,29,4,8,1.0,True,0,4,5,1.0,True,0,4,8,1.0,True,0,4,8,1.0,True,0,1
42,25,5300,4,28,4,5,1.0,True,0,4,10,1.0,True,0,4,5,1.0,True,0,4,8,1.0,True,0,0
