seed,window,e_0_1_count,e_0_1_weight,e_0_2_count,e_0_2_weight,e_0_3_count,e_0_3_weight,e_1_2_count,e_1_2_weight,e_1_3_count,e_1_3_weight,e_2_3_count,e_2_3_weight
456,1,420,11.6847,429,12.3748,418,12.0771,405,11.3886,360,9.7316,379,10.1054
456,2,429,12.4115,392,10.7488,397,10.6818,390,10.3382,378,10.4123,393,10.8208
456,3,411,10.9057,393,10.8249,387,10.232,392,10.3991,399,10.7472,342,9.1221
456,4,396,10.4107,398,11.0738,374,9.3063,352,9.8571,345,10.4433,335,9.385
456,5,408,11.5349,382,10.6997,387,11.0638,410,10.6881,357,9.5707,358,9.0054
456,6,390,10.9826,410,11.9375,386,10.8313,383,9.98,349,9.7747,387,11.8396
456,7,430,11.4679,431,11.5558,407,12.4396,376,10.2097,370,10.6448,351,9.6862
456,8,407,11.4669,386,10.3238,371,9.9847,394,11.2771,376,9.8261,366,9.5047
456,9,388,11.2322,406,11.8496,361,10.3478,385,10.833,381,10.5249,355,9.826
456,10,402,10.6278,396,10.9846,377,10.5407,382,10.4728,353,10.248,351,9.2249
456,11,411,10.6611,407,10.7528,389,10.4571,372,10.0826,395,10.5251,368,9.6801
456,12,450,12.5338,400,11.4355,377,10.25,426,11.2961,396,11.7139,339,9.7993
456,13,434,13.1503,417,12.288,398,10.5536,398,10.4718,373,10.4972,375,10.1656
456,14,442,12.0101,353,9.6195,378,10.1285,392,10.6859,371,10.0945,372,10.7285
456,15,431,11.8451,406,11.321,358,9.5052,403,12.9014,353,9.9442,379,10.4166
456,16,410,11.3823,383,10.9916,415,11.2545,378,9.811,364,9.951,394,11.1335
456,17,406,11.6015,407,11.8797,374,11.6419,405,11.2002,369,10.7187,369,10.4499
456,18,396,10.8021,371,10.2167,400,11.6608,347,8.6101,368,10.3637,356,9.6002
456,19,393,10.2423,391,10.6698,363,10.1357,429,11.8944,386,10.1058,337,9.0762
456,20,414,11.9643,419,11.71,364,9.995,378,10.7695,341,9.9226,358,10.2048
456,21,404,11.3963,408,11.9771,399,10.7735,377,10.7391,386,10.8529,355,9.6055
456,22,418,13.0068,402,11.4135,410,11.9607,383,10.808,374,10.4089,376,10.3404
456,23,422,11.793,382,10.4347,378,10.496,358,9.8954,362,10.725,395,10.5993
456,24,391,10.9004,381,9.6231,370,9.9352,374,10.9822,352,9.7357,347,8.7497
456,25,376,9.6584,401,11.2284,359,10.7614,357,10.1784,343,9.084,368,10.2508
