step,n_Dust,n_A,n_B,n_C,n_transforms,transform_types
301,43,14,49,94,0,
302,43,14,49,94,0,
303,43,14,49,94,0,
304,43,14,49,94,0,
305,43,14,49,94,0,
306,43,14,49,94,0,
307,43,14,49,94,0,
308,43,14,49,94,0,
309,43,14,49,94,0,
310,43,14,49,94,0,
311,43,14,49,94,0,
312,43,14,49,94,0,
313,43,14,49,94,0,
314,43,14,49,94,0,
315,43,14,49,94,0,
316,43,14,49,94,0,
317,43,14,49,94,0,
318,43,14,49,94,0,
319,43,14,49,94,0,
320,43,14,49,94,0,
321,43,14,49,94,0,
322,43,14,49,94,0,
323,43,14,49,94,0,
324,43,14,49,94,0,
325,43,14,49,94,0,
326,43,14,49,94,0,
327,43,14,49,94,0,
328,43,14,49,94,0,
329,43,14,49,94,0,
330,43,14,49,94,0,
331,43,14,49,94,0,
332,43,14,49,94,0,
333,43,14,49,94,0,
334,43,14,49,94,0,
335,43,14,49,94,0,
336,43,14,49,94,0,
337,43,14,49,94,0,
338,43,14,49,94,0,
339,43,14,49,94,0,
340,43,14,49,94,0,
341,43,14,49,94,0,
342,43,14,49,94,0,
343,43,14,49,94,0,
344,43,14,49,94,0,
345,43,14,49,94,0,
346,43,14,49,94,0,
347,43,14,49,94,0,
348,43,14,49,94,0,
349,43,14,49,94,0,
350,43,14,49,94,0,
351,43,14,49,94,0,
352,43,14,49,94,0,
353,43,14,49,94,0,
354,43,14,49,94,0,
355,43,14,49,94,0,
356,43,14,49,94,0,
357,43,14,49,94,0,
358,43,14,49,94,0,
359,43,14,49,94,0,
360,43,14,49,94,0,
361,43,14,49,94,0,
362,43,14,49,94,0,
363,43,14,49,94,0,
364,43,14,49,94,0,
365,43,14,49,94,0,
366,43,14,49,94,0,
367,43,14,49,94,0,
368,43,14,49,94,0,
369,43,14,49,94,0,
370,43,14,49,94,0,
371,43,14,49,94,0,
372,43,14,49,94,0,
373,43,14,49,94,0,
374,43,14,49,94,0,
375,43,14,49,94,0,
376,43,14,49,94,0,
377,43,14,49,94,0,
378,43,14,49,94,0,
379,43,14,49,94,0,
380,43,14,49,94,0,
381,43,14,49,94,0,
382,43,14,49,94,0,
383,43,14,49,94,0,
384,43,14,49,94,0,
385,43,14,49,94,0,
386,43,14,49,94,0,
387,43,14,49,94,0,
388,43,14,49,94,0,
389,43,14,49,94,0,
390,43,14,49,94,0,
391,43,14,49,94,0,
392,43,14,49,94,0,
393,43,14,49,94,0,
394,43,14,49,94,0,
395,43,14,49,94,0,
396,43,14,49,94,0,
397,43,14,49,94,0,
398,43,14,49,94,0,
399,43,14,49,94,0,
400,43,14,49,94,0,
