window,V,R,S,M,P,delta_V,param_adjusted,old_value,new_value,direction,reverted
1,240.48,0,1.6712,11.8839,200.0,240.48,link_death_threshold,0.001,0.003,1,False
2,226.635,23,1.7453,0.8901,184.4,-13.845,background_injection_prob,0.005,0.003,-1,True
3,209.986,42,1.9136,0.001,148.85,-16.649,exothermic_release_amount,0.15,0.17,1,True
4,163.436,26,1.8058,0.0,119.38,-46.55,reaction_energy_threshold,0.3,0.28,-1,True
5,85.676,11,1.5585,0.0,59.09,-77.76,link_death_threshold,0.005,0.007,1,True
6,15.232,0,1.5232,0.0,0.0,-70.444,background_injection_prob,0.001,0.001,-1,True
7,15.552,0,1.5552,0.0,0.0,0.32,exothermic_release_amount,0.19,0.17,-1,False
8,15.408,0,1.5408,0.0,0.0,-0.144,reaction_energy_threshold,0.26,0.28,1,True
9,15.032,0,1.5032,0.0,0.0,-0.376,link_death_threshold,0.009,0.007,-1,True
10,14.453,0,1.4453,0.0,0.0,-0.579,background_injection_prob,0.001,0.003,1,True
11,13.639,0,1.3639,0.0,0.0,-0.814,exothermic_release_amount,0.15,0.13,-1,True
12,13.052,0,1.3052,0.0,0.0,-0.587,reaction_energy_threshold,0.3,0.32,1,True
13,12.6,0,1.26,0.0,0.0,-0.452,link_death_threshold,0.005,0.003,-1,True
14,11.511,0,1.1511,0.0,0.0,-1.089,background_injection_prob,0.005,0.007,1,True
15,10.142,0,1.0142,0.0,0.0,-1.369,exothermic_release_amount,0.11,0.09,-1,True
16,9.745,0,0.9745,0.0,0.0,-0.397,reaction_energy_threshold,0.34,0.36,1,True
17,9.745,0,0.9745,0.0,0.0,0.0,link_death_threshold,0.001,0.003,1,False
18,9.745,0,0.9745,0.0,0.0,0.0,background_injection_prob,0.009,0.011,1,False
19,9.745,0,0.9745,0.0,0.0,0.0,exothermic_release_amount,0.07,0.09,1,False
20,9.745,0,0.9745,0.0,0.0,0.0,reaction_energy_threshold,0.36,0.38,1,False
