knob,value,seed,X,X_baseline,eta,cycles_rate,opp_rate,min_links,s03,spr_mean,miss_strong,miss_energy,entropy,collapse
background_injection_prob,0.001,42,0.6295,0.6812,0.9241,0.0,1.0,124,1,0.1154,0.927,0.005,1.1283,False
background_injection_prob,0.001,789,0.6123,0.6341,0.9656,0.0,0.3,125,2,0.1006,0.869,0.005,1.1338,False
background_injection_prob,0.001,2024,0.6348,0.6308,1.0063,0.0,1.1,129,7,0.1284,0.892,0.005,1.1461,False
background_injection_prob,0.003,42,0.6812,0.6812,1.0,5.0,0.9,123,0,0.1434,0.907,0.0,1.1892,False
background_injection_prob,0.003,789,0.6341,0.6341,1.0,0.0,0.6,109,0,0.0887,0.89,0.0,1.0556,False
background_injection_prob,0.003,2024,0.6308,0.6308,1.0,3.75,1.0,127,1,0.0646,0.928,0.0,1.0943,False
background_injection_prob,0.015,42,0.6318,0.6812,0.9275,0.0,0.6,114,4,0.0995,0.976,0.0,1.086,False
background_injection_prob,0.015,789,0.6172,0.6341,0.9733,0.0,0.8,114,2,0.1095,0.915,0.0,1.143,False
background_injection_prob,0.015,2024,0.5814,0.6308,0.9217,0.0,1.8,130,6,0.1133,0.94,0.0,1.2351,False
background_injection_prob,0.03,42,0.5629,0.6812,0.8263,0.0,2.0,129,4,0.1234,0.926,0.0,1.3014,False
background_injection_prob,0.03,789,0.6267,0.6341,0.9883,0.0,1.3,125,4,0.112,0.929,0.0,1.1267,False
background_injection_prob,0.03,2024,0.6254,0.6308,0.9914,0.0,0.8,116,1,0.111,0.938,0.0,1.1276,False
latent_refresh_rate,0.0003,42,0.6533,0.6812,0.959,1.25,0.6,102,5,0.1406,0.879,0.004,1.1606,False
latent_refresh_rate,0.0003,789,0.6452,0.6341,1.0175,1.25,1.0,121,0,0.1062,0.868,0.0,1.0995,False
latent_refresh_rate,0.0003,2024,0.6352,0.6308,1.007,2.5,1.4,116,5,0.0755,0.935,0.0,1.0803,False
latent_refresh_rate,0.001,42,0.6506,0.6812,0.9551,2.5,1.0,118,3,0.1196,0.914,0.0,1.147,False
latent_refresh_rate,0.001,789,0.6438,0.6341,1.0153,1.25,0.3,115,0,0.0975,0.853,0.0,1.0824,False
latent_refresh_rate,0.001,2024,0.6016,0.6308,0.9537,1.25,1.3,111,5,0.0821,0.886,0.0,1.1448,False
latent_refresh_rate,0.003,42,0.6812,0.6812,1.0,5.0,0.9,123,0,0.1434,0.907,0.0,1.1892,False
latent_refresh_rate,0.003,789,0.6341,0.6341,1.0,0.0,0.6,109,0,0.0887,0.89,0.0,1.0556,False
latent_refresh_rate,0.003,2024,0.6308,0.6308,1.0,3.75,1.0,127,1,0.0646,0.928,0.0,1.0943,False
latent_refresh_rate,0.01,42,0.6497,0.6812,0.9538,6.25,1.3,116,2,0.1,0.901,0.0,1.1907,False
latent_refresh_rate,0.01,789,0.6004,0.6341,0.9469,1.25,1.2,134,4,0.0943,0.874,0.008,1.1759,False
latent_refresh_rate,0.01,2024,0.5947,0.6308,0.9428,2.5,1.3,147,5,0.0959,0.9,0.004,1.2219,False
p_link_birth,0.001,42,0.9035,0.6812,1.3263,0.0,0.0,13,0,0.3393,1.0,0.0,1.0119,False
p_link_birth,0.001,789,0.736,0.6341,1.1607,0.0,0.1,15,0,0.1169,0.99,0.0,0.8844,False
p_link_birth,0.001,2024,0.8055,0.6308,1.2769,0.0,0.0,10,0,0.1609,1.0,0.0,0.8252,False
p_link_birth,0.004,42,0.8101,0.6812,1.1892,0.0,0.3,69,0,0.2114,0.957,0.0,0.9318,False
p_link_birth,0.004,789,0.7118,0.6341,1.1225,0.0,0.3,58,0,0.064,0.982,0.0,0.8177,False
p_link_birth,0.004,2024,0.6986,0.6308,1.1075,0.0,0.0,64,0,0.0568,0.965,0.0,0.8317,False
p_link_birth,0.01,42,0.535,0.6812,0.7854,1.25,1.8,189,17,0.157,0.813,0.013,1.4732,False
p_link_birth,0.01,789,0.5239,0.6341,0.8262,3.75,2.4,169,11,0.1466,0.752,0.009,1.5329,False
p_link_birth,0.01,2024,0.5334,0.6308,0.8456,1.25,2.2,152,21,0.1062,0.845,0.003,1.3591,False
p_link_birth,0.03,42,0.3178,0.6812,0.4665,0.0,7.8,259,44,0.2206,0.597,0.025,2.0962,False
p_link_birth,0.03,789,0.301,0.6341,0.4747,0.0,6.5,271,50,0.2078,0.512,0.057,2.1056,False
p_link_birth,0.03,2024,0.3118,0.6308,0.4943,2.5,5.9,272,51,0.1931,0.617,0.051,2.1044,False
