plb,bgi,med_cyc,med_eta,med_X,med_cov,pct_col,med_miss_strong,min_links_worst
0.004,0.001,0.0,1.214,0.7537,0.0,0.0,0.99,47
0.004,0.003,0.0,1.227,0.7624,0.0,0.0,0.958,66
0.004,0.007,0.0,1.164,0.7228,0.0,0.0,0.991,42
0.004,0.015,0.0,1.239,0.7692,0.125,0.0,0.992,59
0.007,0.001,0.0,1.021,0.6336,0.175,0.0,0.913,124
0.007,0.003,0.714,1.0,0.6207,0.25,0.0,0.911,123
0.007,0.007,0.0,0.978,0.607,0.0,0.0,0.924,111
0.007,0.015,0.0,0.976,0.6062,0.0833,0.0,0.962,114
0.012,0.001,0.0,0.72,0.4471,0.1664,0.0,0.765,195
0.012,0.003,0.0,0.739,0.4586,0.1293,0.0,0.794,199
0.012,0.007,0.0,0.741,0.4598,0.1362,0.0,0.819,203
0.012,0.015,0.0,0.704,0.437,0.1968,0.0,0.804,199
0.02,0.001,0.0,0.548,0.3401,0.1612,100.0,0.639,253
0.02,0.003,0.0,0.536,0.3326,0.1296,100.0,0.679,254
0.02,0.007,0.0,0.568,0.3526,0.0929,100.0,0.718,239
0.02,0.015,0.0,0.54,0.3355,0.1798,100.0,0.718,247
