plb,bgi,seed,cyc_rate,opp_rate,eta,X,compress,spr,min_links,s03,max_s,strong_cov,miss_strong,miss_energy,collapse
0.004,0.001,42,0.0,0.375,1.2361,0.7774,0.5781,0.1993,47,0,0.0665,0,0.986,0.0,False
0.004,0.001,2024,0.0,0.0,1.192,0.7301,0.6706,0.0594,63,0,0.0665,0,0.993,0.007,False
0.004,0.003,42,0.0,0.375,1.3134,0.826,0.5787,0.2474,69,0,0.0844,0,0.955,0.0,False
0.004,0.003,2024,0.0,0.0,1.1411,0.6989,0.6279,0.071,66,0,0.0665,0,0.961,0.0,False
0.004,0.007,42,0.0,0.0,1.1978,0.7533,0.5752,0.1782,42,0,0.0665,0,0.986,0.0,False
0.004,0.007,2024,0.0,0.375,1.1301,0.6922,0.629,0.0631,63,0,0.0665,0,0.996,0.0,False
0.004,0.015,42,0.0,0.125,1.2781,0.8038,0.6054,0.1983,59,0,0.0665,0,0.991,0.0,False
0.004,0.015,2024,0.0,0.125,1.1992,0.7345,0.6681,0.0664,68,1,0.7525,0.25,0.992,0.0,False
0.007,0.001,42,0.0,1.125,0.983,0.6182,0.4866,0.1316,124,1,0.5712,0.25,0.931,0.005,False
0.007,0.001,2024,0.0,1.125,1.0594,0.6489,0.4974,0.1515,129,3,0.3826,0.1,0.894,0.005,False
0.007,0.003,42,0.0,1.125,1.0,0.6289,0.4591,0.1698,123,2,0.422,0.25,0.901,0.0,False
0.007,0.003,2024,1.429,1.125,1.0,0.6125,0.5221,0.0761,127,2,0.4623,0.25,0.921,0.0,False
0.007,0.007,42,0.0,0.625,0.9962,0.6265,0.4334,0.1931,112,5,0.6376,0.0,0.911,0.0,False
0.007,0.007,2024,0.0,1.5,0.9592,0.5875,0.5202,0.0673,111,0,0.0665,0,0.936,0.0,False
0.007,0.015,42,0.0,0.75,1.0162,0.6391,0.5221,0.117,114,0,0.0665,0,0.976,0.0,False
0.007,0.015,2024,0.0,2.0,0.936,0.5733,0.4572,0.1161,133,6,0.536,0.1667,0.949,0.0,False
0.012,0.001,42,0.0,3.125,0.7254,0.4562,0.2801,0.1761,195,27,0.6068,0.1923,0.712,0.027,False
0.012,0.001,2024,0.0,2.625,0.7151,0.438,0.2989,0.1391,209,17,0.8286,0.1406,0.818,0.02,False
0.012,0.003,42,0.0,3.75,0.7442,0.468,0.2902,0.1779,215,22,0.7337,0.141,0.8,0.014,False
0.012,0.003,2024,0.0,3.25,0.7336,0.4493,0.2944,0.1549,199,22,0.6339,0.1176,0.787,0.016,False
0.012,0.007,42,0.0,3.25,0.7518,0.4728,0.3109,0.1619,203,7,0.7366,0.1786,0.825,0.0,False
0.012,0.007,2024,0.0,3.375,0.7293,0.4467,0.308,0.1388,204,17,0.7976,0.0938,0.813,0.0,False
0.012,0.015,42,0.0,3.75,0.7066,0.4444,0.267,0.1773,213,17,0.7337,0.2031,0.794,0.0,False
0.012,0.015,2024,0.0,3.625,0.7012,0.4295,0.288,0.1415,199,12,0.8793,0.1905,0.814,0.0,False
0.02,0.001,42,0.0,4.0,0.5392,0.3391,0.1484,0.1906,253,40,0.7041,0.1591,0.635,0.06,True
0.02,0.001,2024,0.0,4.125,0.5569,0.3411,0.1498,0.1914,262,26,0.8721,0.1633,0.642,0.038,True
0.02,0.003,42,0.0,4.75,0.5203,0.3272,0.1481,0.1791,254,23,0.754,0.141,0.678,0.012,True
0.02,0.003,2024,0.0,5.5,0.5518,0.338,0.1698,0.1682,260,42,0.8901,0.1181,0.679,0.008,True
0.02,0.007,42,0.0,4.75,0.5429,0.3414,0.1594,0.182,263,25,0.7381,0.0568,0.722,0.0,True
0.02,0.007,2024,0.0,7.75,0.594,0.3638,0.1572,0.2067,239,33,0.8543,0.129,0.713,0.0,True
0.02,0.015,42,0.0,8.5,0.5451,0.3428,0.1552,0.1876,248,29,0.7511,0.2083,0.734,0.0,True
0.02,0.015,2024,0.0,7.625,0.5358,0.3282,0.14,0.1882,247,44,0.9109,0.1513,0.701,0.0,True
