plb,bgi,med_cyc,mean_cyc,med_eta,med_X,med_cov,pct_col,min_links_worst,seeds_cyc
0.004,0.001,0.0,0.0,1.192,0.7301,0.0,0.0,47,0
0.004,0.003,0.0,0.0,1.141,0.7052,0.0,0.0,58,0
0.004,0.007,0.0,0.0,1.13,0.6995,0.0,0.0,42,0
0.006,0.001,0.0,0.0,1.034,0.6501,0.0,0.0,98,0
0.006,0.003,0.0,0.0,1.054,0.6668,0.0,0.0,81,0
0.006,0.007,0.0,0.0,1.048,0.6626,0.0,0.0,90,0
0.007,0.001,0.0,0.0,0.983,0.6182,0.25,0.0,124,0
0.007,0.003,0.0,0.476,1.0,0.6289,0.25,0.0,109,1
0.007,0.007,0.0,0.0,0.978,0.6182,0.0,0.0,111,0
0.008,0.001,0.0,0.476,0.964,0.6066,0.25,0.0,136,1
0.008,0.003,0.0,0.476,0.943,0.5892,0.3,0.0,128,1
0.008,0.007,0.0,0.0,0.954,0.6,0.25,0.0,133,0
0.01,0.001,0.0,0.0,0.811,0.4965,0.125,0.0,167,0
0.01,0.003,1.429,0.953,0.844,0.5169,0.1842,0.0,169,2
0.01,0.007,0.0,0.0,0.838,0.5136,0.075,0.0,169,0
0.012,0.001,0.0,0.0,0.725,0.4562,0.15,0.0,195,0
0.012,0.003,0.0,0.476,0.734,0.4599,0.1282,0.0,199,1
0.012,0.007,0.0,0.0,0.752,0.4728,0.1786,0.0,203,0
