plb,bgi,seed,cyc_rate,opp_rate,eta,X,compress,spr,min_links,s03,max_s,strong_cov,miss_strong,miss_energy,miss_state,miss_sync,collapse
0.004,0.001,42,0.0,0.375,1.2361,0.7774,0.5781,0.1993,47,0,0.0665,0,0.986,0.0,0.014,0.0,False
0.004,0.001,789,0.0,0.25,1.1282,0.7135,0.619,0.0945,57,0,0.0665,0,0.963,0.0,0.022,0.015,False
0.004,0.001,2024,0.0,0.0,1.192,0.7301,0.6706,0.0594,63,0,0.0665,0,0.993,0.007,0.0,0.0,False
0.004,0.003,42,0.0,0.375,1.3134,0.826,0.5787,0.2474,69,0,0.0844,0,0.955,0.0,0.026,0.019,False
0.004,0.003,789,0.0,0.375,1.1151,0.7052,0.6252,0.08,58,0,0.0632,0,0.981,0.0,0.006,0.013,False
0.004,0.003,2024,0.0,0.0,1.1411,0.6989,0.6279,0.071,66,0,0.0665,0,0.961,0.0,0.019,0.019,False
0.004,0.007,42,0.0,0.0,1.1978,0.7533,0.5752,0.1782,42,0,0.0665,0,0.986,0.0,0.005,0.009,False
0.004,0.007,789,0.0,0.75,1.1061,0.6995,0.5904,0.1091,54,0,0.0632,0,0.97,0.0,0.015,0.015,False
0.004,0.007,2024,0.0,0.375,1.1301,0.6922,0.629,0.0631,63,0,0.0665,0,0.996,0.0,0.004,0.0,False
0.006,0.001,42,0.0,0.5,1.0337,0.6501,0.5141,0.1361,98,4,0.501,0.4,0.917,0.012,0.06,0.012,False
0.006,0.001,789,0.0,0.25,1.0155,0.6422,0.5642,0.078,102,1,0.8789,0.0,0.903,0.0,0.056,0.042,False
0.006,0.001,2024,0.0,0.625,1.0779,0.6602,0.5745,0.0857,111,0,0.1388,0,0.97,0.0,0.024,0.006,False
0.006,0.003,42,0.0,0.75,1.0518,0.6615,0.5337,0.1278,81,0,0.2739,0,0.946,0.0,0.044,0.01,False
0.006,0.003,789,0.0,0.375,1.0544,0.6668,0.5296,0.1373,87,0,0.2805,0,0.932,0.0,0.036,0.031,False
0.006,0.003,2024,0.0,0.625,1.0926,0.6692,0.6445,0.0246,96,0,0.1222,0,0.989,0.0,0.0,0.011,False
0.006,0.007,42,0.0,0.125,1.0964,0.6895,0.5374,0.1521,90,0,0.2293,0,0.944,0.0,0.044,0.012,False
0.006,0.007,789,0.0,1.125,1.0478,0.6626,0.5237,0.1389,101,3,0.6454,0.0833,0.952,0.0,0.024,0.024,False
0.006,0.007,2024,0.0,0.875,1.0214,0.6256,0.5604,0.0652,97,1,0.685,0.0,0.969,0.0,0.01,0.021,False
0.007,0.001,42,0.0,1.125,0.983,0.6182,0.4866,0.1316,124,1,0.5712,0.25,0.931,0.005,0.037,0.027,False
0.007,0.001,789,0.0,0.375,0.956,0.6046,0.4827,0.1219,125,2,0.585,0.25,0.876,0.0,0.067,0.057,False
0.007,0.001,2024,0.0,1.125,1.0594,0.6489,0.4974,0.1515,129,3,0.3826,0.1,0.894,0.005,0.035,0.065,False
0.007,0.003,42,0.0,1.125,1.0,0.6289,0.4591,0.1698,123,2,0.422,0.25,0.901,0.0,0.054,0.045,False
0.007,0.003,789,0.0,0.625,1.0,0.6324,0.5215,0.1109,109,3,0.4605,0.125,0.881,0.0,0.073,0.046,False
0.007,0.003,2024,1.429,1.125,1.0,0.6125,0.5221,0.0761,127,2,0.4623,0.25,0.921,0.0,0.04,0.04,False
0.007,0.007,42,0.0,0.625,0.9962,0.6265,0.4334,0.1931,112,5,0.6376,0.0,0.911,0.0,0.079,0.011,False
0.007,0.007,789,0.0,1.0,0.9775,0.6182,0.4944,0.1237,124,0,0.1948,0,0.896,0.0,0.026,0.078,False
0.007,0.007,2024,0.0,1.5,0.9592,0.5875,0.5202,0.0673,111,0,0.0665,0,0.936,0.0,0.018,0.046,False
0.008,0.001,42,0.0,0.75,0.9645,0.6066,0.4657,0.1409,148,2,0.5928,0.25,0.844,0.0,0.069,0.087,False
0.008,0.001,789,0.0,0.75,0.9753,0.6168,0.4883,0.1285,136,1,0.3677,0.25,0.901,0.01,0.068,0.021,False
0.008,0.001,2024,1.429,0.875,0.959,0.5874,0.4525,0.1207,164,7,0.7673,0.0909,0.863,0.012,0.052,0.072,False
0.008,0.003,42,1.429,1.375,0.9369,0.5892,0.4336,0.1413,142,0,0.2259,0,0.873,0.0,0.093,0.034,False
