seed,window,rate,k,H,drift,type_count,J,term_H,term_drift,term_penalty,k_star
7,1,0.0,0,-0.0,,1,-0.5,-0.0,0,-0.5,2
7,1,0.0,1,0.5132,,3,-0.4868,0.5132,0,-1.0,2
7,1,0.0,2,0.8358,,4,-0.3252,0.8358,0,-1.161,2
7,1,0.0,3,0.8358,,4,-0.3252,0.8358,0,-1.161,2
7,1,0.0,4,0.8358,,4,-0.3252,0.8358,0,-1.161,2
7,2,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,2,0.0,1,0.5412,0.0451,3,-0.4137,0.5412,0.0451,-1.0,2
7,2,0.0,2,0.9291,0.0553,4,-0.1766,0.9291,0.0553,-1.161,2
7,2,0.0,3,0.9291,0.0553,4,-0.1766,0.9291,0.0553,-1.161,2
7,2,0.0,4,0.9291,0.0553,4,-0.1766,0.9291,0.0553,-1.161,2
7,3,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,3,0.0,1,0.5132,0.0451,3,-0.4417,0.5132,0.0451,-1.0,2
7,3,0.0,2,0.5132,0.2081,3,-0.2787,0.5132,0.2081,-1.0,2
7,3,0.0,3,0.5132,0.2081,3,-0.2787,0.5132,0.2081,-1.0,2
7,3,0.0,4,0.5132,0.2081,3,-0.2787,0.5132,0.2081,-1.0,2
7,4,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,4,0.0,1,1.3516,0.366,3,0.7176,1.3516,0.366,-1.0,2
7,4,0.0,2,1.7527,0.7635,4,1.3552,1.7527,0.7635,-1.161,2
7,4,0.0,3,1.7527,0.7635,4,1.3552,1.7527,0.7635,-1.161,2
7,4,0.0,4,1.7527,0.7635,4,1.3552,1.7527,0.7635,-1.161,2
7,5,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,5,0.0,1,0.8684,0.2407,3,0.1091,0.8684,0.2407,-1.0,2
7,5,0.0,2,1.3716,0.5252,4,0.7358,1.3716,0.5252,-1.161,2
7,5,0.0,3,1.3716,0.5252,4,0.7358,1.3716,0.5252,-1.161,2
7,5,0.0,4,1.3716,0.5252,4,0.7358,1.3716,0.5252,-1.161,2
7,6,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,6,0.0,1,1.4197,0.2354,3,0.6551,1.4197,0.2354,-1.0,2
7,6,0.0,2,1.9363,0.4423,4,1.2176,1.9363,0.4423,-1.161,2
7,6,0.0,3,1.9363,0.4423,4,1.2176,1.9363,0.4423,-1.161,2
7,6,0.0,4,1.9363,0.4423,4,1.2176,1.9363,0.4423,-1.161,2
7,7,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,7,0.0,1,-0.0,0.5134,1,0.0134,-0.0,0.5134,-0.5,2
7,7,0.0,2,-0.0,0.7914,1,0.2914,-0.0,0.7914,-0.5,2
7,7,0.0,3,-0.0,0.7914,1,0.2914,-0.0,0.7914,-0.5,2
7,7,0.0,4,-0.0,0.7914,1,0.2914,-0.0,0.7914,-0.5,2
7,8,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,8,0.0,1,0.4138,0.2073,2,-0.1714,0.4138,0.2073,-0.7925,2
7,8,0.0,2,0.8167,0.298,3,0.1147,0.8167,0.298,-1.0,2
7,8,0.0,3,0.8167,0.298,3,0.1147,0.8167,0.298,-1.0,2
7,8,0.0,4,0.8167,0.298,3,0.1147,0.8167,0.298,-1.0,2
7,9,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,9,0.0,1,1.5219,0.5065,3,1.0284,1.5219,0.5065,-1.0,2
7,9,0.0,2,1.9219,0.8461,4,1.607,1.9219,0.8461,-1.161,2
7,9,0.0,3,1.9219,0.8461,4,1.607,1.9219,0.8461,-1.161,2
7,9,0.0,4,1.9219,0.8461,4,1.607,1.9219,0.8461,-1.161,2
7,10,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,10,0.0,1,-0.0,0.6291,1,0.1291,-0.0,0.6291,-0.5,2
7,10,0.0,2,-0.0,1.0,1,0.5,-0.0,1.0,-0.5,2
7,10,0.0,3,-0.0,1.0,1,0.5,-0.0,1.0,-0.5,2
7,10,0.0,4,-0.0,1.0,1,0.5,-0.0,1.0,-0.5,2
7,11,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,1
7,11,0.0,1,0.5226,0.2479,2,-0.022,0.5226,0.2479,-0.7925,1
7,11,0.0,2,0.5226,0.2479,2,-0.022,0.5226,0.2479,-0.7925,1
7,11,0.0,3,0.5226,0.2479,2,-0.022,0.5226,0.2479,-0.7925,1
7,11,0.0,4,0.5226,0.2479,2,-0.022,0.5226,0.2479,-0.7925,1
7,12,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,12,0.0,1,0.2668,0.2874,2,-0.2383,0.2668,0.2874,-0.7925,2
7,12,0.0,2,0.5304,0.3231,3,-0.1465,0.5304,0.3231,-1.0,2
7,12,0.0,3,0.5304,0.3231,3,-0.1465,0.5304,0.3231,-1.0,2
7,12,0.0,4,0.5304,0.3231,3,-0.1465,0.5304,0.3231,-1.0,2
7,13,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,13,0.0,1,-0.0,0.152,1,-0.348,-0.0,0.152,-0.5,2
7,13,0.0,2,-0.0,0.2168,1,-0.2832,-0.0,0.2168,-0.5,2
7,13,0.0,3,-0.0,0.2168,1,-0.2832,-0.0,0.2168,-0.5,2
7,13,0.0,4,-0.0,0.2168,1,-0.2832,-0.0,0.2168,-0.5,2
7,14,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,14,0.0,1,0.6784,0.2617,3,-0.0599,0.6784,0.2617,-1.0,2
7,14,0.0,2,1.0862,0.3439,4,0.2691,1.0862,0.3439,-1.161,2
7,14,0.0,3,1.0862,0.3439,4,0.2691,1.0862,0.3439,-1.161,2
7,14,0.0,4,1.0862,0.3439,4,0.2691,1.0862,0.3439,-1.161,2
7,15,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,15,0.0,1,0.3534,0.1534,2,-0.2857,0.3534,0.1534,-0.7925,2
7,15,0.0,2,0.6998,0.1588,3,-0.1414,0.6998,0.1588,-1.0,2
7,15,0.0,3,0.6998,0.1588,3,-0.1414,0.6998,0.1588,-1.0,2
7,15,0.0,4,0.6998,0.1588,3,-0.1414,0.6998,0.1588,-1.0,2
7,16,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,16,0.0,1,0.6998,0.185,3,-0.1152,0.6998,0.185,-1.0,2
7,16,0.0,2,1.2366,0.2133,4,0.2889,1.2366,0.2133,-1.161,2
7,16,0.0,3,1.2366,0.2133,4,0.2889,1.2366,0.2133,-1.161,2
7,16,0.0,4,1.2366,0.2133,4,0.2889,1.2366,0.2133,-1.161,2
7,17,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,17,0.0,1,-0.0,0.2648,1,-0.2352,-0.0,0.2648,-0.5,2
7,17,0.0,2,-0.0,0.385,1,-0.115,-0.0,0.385,-0.5,2
7,17,0.0,3,-0.0,0.385,1,-0.115,-0.0,0.385,-0.5,2
7,17,0.0,4,-0.0,0.385,1,-0.115,-0.0,0.385,-0.5,2
7,18,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,18,0.0,1,0.7219,0.3287,2,0.2581,0.7219,0.3287,-0.7925,2
7,18,0.0,2,1.2419,0.4369,3,0.6788,1.2419,0.4369,-1.0,2
7,18,0.0,3,1.2419,0.4369,3,0.6788,1.2419,0.4369,-1.0,2
7,18,0.0,4,1.2419,0.4369,3,0.6788,1.2419,0.4369,-1.0,2
7,19,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,19,0.0,1,1.206,0.2306,3,0.4366,1.206,0.2306,-1.0,2
7,19,0.0,2,1.8329,0.2801,4,0.952,1.8329,0.2801,-1.161,2
7,19,0.0,3,1.8329,0.2801,4,0.952,1.8329,0.2801,-1.161,2
7,19,0.0,4,1.8329,0.2801,4,0.952,1.8329,0.2801,-1.161,2
7,20,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,20,0.0,1,0.5746,0.2586,2,0.0407,0.5746,0.2586,-0.7925,2
7,20,0.0,2,1.1181,0.3098,3,0.4279,1.1181,0.3098,-1.0,2
7,20,0.0,3,1.1181,0.3098,3,0.4279,1.1181,0.3098,-1.0,2
7,20,0.0,4,1.1181,0.3098,3,0.4279,1.1181,0.3098,-1.0,2
7,21,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,21,0.0,1,0.9464,0.2832,3,0.2296,0.9464,0.2832,-1.0,2
7,21,0.0,2,1.2917,0.2939,4,0.4246,1.2917,0.2939,-1.161,2
7,21,0.0,3,1.2917,0.2939,4,0.4246,1.2917,0.2939,-1.161,2
7,21,0.0,4,1.2917,0.2939,4,0.4246,1.2917,0.2939,-1.161,2
7,22,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,22,0.0,1,-0.0,0.3412,1,-0.1588,-0.0,0.3412,-0.5,2
7,22,0.0,2,-0.0,0.4001,1,-0.0999,-0.0,0.4001,-0.5,2
7,22,0.0,3,-0.0,0.4001,1,-0.0999,-0.0,0.4001,-0.5,2
7,22,0.0,4,-0.0,0.4001,1,-0.0999,-0.0,0.4001,-0.5,2
7,23,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,23,0.0,1,0.4395,0.2168,2,-0.1362,0.4395,0.2168,-0.7925,2
7,23,0.0,2,0.8659,0.3122,3,0.1781,0.8659,0.3122,-1.0,2
7,23,0.0,3,0.8659,0.3122,3,0.1781,0.8659,0.3122,-1.0,2
7,23,0.0,4,0.8659,0.3122,3,0.1781,0.8659,0.3122,-1.0,2
7,24,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,24,0.0,1,1.4591,0.4672,3,0.9263,1.4591,0.4672,-1.0,2
7,24,0.0,2,1.9183,0.6304,4,1.3877,1.9183,0.6304,-1.161,2
7,24,0.0,3,1.9183,0.6304,4,1.3877,1.9183,0.6304,-1.161,2
7,24,0.0,4,1.9183,0.6304,4,1.3877,1.9183,0.6304,-1.161,2
7,25,0.0,0,-0.0,0.0,1,-0.5,-0.0,0.0,-0.5,2
7,25,0.0,1,0.7442,0.3641,3,0.1083,0.7442,0.3641,-1.0,2
7,25,0.0,2,1.2304,0.5272,4,0.5966,1.2304,0.5272,-1.161,2
7,25,0.0,3,1.2304,0.5272,4,0.5966,1.2304,0.5272,-1.161,2
7,25,0.0,4,1.2304,0.5272,4,0.5966,1.2304,0.5272,-1.161,2
