seed,window,rate,drift_hit,drift_nohit,delta_drift,ratio_guarded,guard_triggered,frac_hit
7,2,0.0,,0.0757,,,False,0.0
7,3,0.0,,0.2088,,,False,0.0
7,4,0.0,,0.8777,,,False,0.0
7,5,0.0,,0.7285,,,False,0.0
7,6,0.0,,0.4423,,,False,0.0
7,7,0.0,,0.8204,,,False,0.0
7,8,0.0,,0.4979,,,False,0.0
7,9,0.0,,0.8461,,,False,0.0
7,10,0.0,,1.0,,,False,0.0
7,11,0.0,,0.2685,,,False,0.0
7,12,0.0,,0.341,,,False,0.0
7,13,0.0,,0.2373,,,False,0.0
7,14,0.0,,0.4614,,,False,0.0
7,15,0.0,,0.4657,,,False,0.0
7,16,0.0,,0.4678,,,False,0.0
7,17,0.0,,0.4296,,,False,0.0
7,18,0.0,,0.5013,,,False,0.0
7,19,0.0,,0.3848,,,False,0.0
7,20,0.0,,0.4117,,,False,0.0
7,21,0.0,,0.4056,,,False,0.0
7,22,0.0,,0.4366,,,False,0.0
7,23,0.0,,0.4954,,,False,0.0
7,24,0.0,,0.6781,,,False,0.0
7,25,0.0,,0.5384,,,False,0.0
42,2,0.0,,0.1538,,,False,0.0
42,3,0.0,,0.249,,,False,0.0
42,4,0.0,,0.2726,,,False,0.0
42,5,0.0,,0.4041,,,False,0.0
42,6,0.0,,0.2186,,,False,0.0
42,7,0.0,,0.2726,,,False,0.0
42,8,0.0,,0.4543,,,False,0.0
42,9,0.0,,0.4022,,,False,0.0
42,10,0.0,,0.4063,,,False,0.0
42,11,0.0,,0.3366,,,False,0.0
42,12,0.0,,0.2599,,,False,0.0
42,13,0.0,,0.1071,,,False,0.0
42,14,0.0,,0.0969,,,False,0.0
42,15,0.0,,0.6089,,,False,0.0
42,16,0.0,,0.6837,,,False,0.0
42,17,0.0,,0.5,,,False,0.0
42,18,0.0,,0.1845,,,False,0.0
42,19,0.0,,0.8153,,,False,0.0
42,20,0.0,,0.9079,,,False,0.0
42,21,0.0,,0.508,,,False,0.0
42,22,0.0,,0.4184,,,False,0.0
42,23,0.0,,0.5017,,,False,0.0
42,24,0.0,,0.2969,,,False,0.0
42,25,0.0,,0.383,,,False,0.0
55,2,0.0,,0.136,,,False,0.0
55,3,0.0,,0.1618,,,False,0.0
55,4,0.0,,0.4303,,,False,0.0
55,5,0.0,,0.5537,,,False,0.0
55,6,0.0,,0.4874,,,False,0.0
55,7,0.0,,0.5071,,,False,0.0
55,8,0.0,,0.3876,,,False,0.0
55,9,0.0,,0.2944,,,False,0.0
55,10,0.0,,0.5535,,,False,0.0
55,11,0.0,,0.7443,,,False,0.0
55,12,0.0,,0.6435,,,False,0.0
55,13,0.0,,0.3105,,,False,0.0
55,14,0.0,,0.4312,,,False,0.0
55,15,0.0,,0.5636,,,False,0.0
55,16,0.0,,0.5256,,,False,0.0
55,17,0.0,,0.208,,,False,0.0
55,18,0.0,,0.3934,,,False,0.0
55,19,0.0,,0.2928,,,False,0.0
55,20,0.0,,0.2448,,,False,0.0
55,21,0.0,,0.5015,,,False,0.0
55,22,0.0,,0.5579,,,False,0.0
55,23,0.0,,0.4516,,,False,0.0
55,24,0.0,,0.3734,,,False,0.0
55,25,0.0,,0.1476,,,False,0.0
123,2,0.0,,0.144,,,False,0.0
123,3,0.0,,0.2162,,,False,0.0
123,4,0.0,,0.2538,,,False,0.0
123,5,0.0,,0.3853,,,False,0.0
123,6,0.0,,0.5583,,,False,0.0
123,7,0.0,,0.6933,,,False,0.0
123,8,0.0,,0.4499,,,False,0.0
