seed,window,rate,H2,H3,dH,J2,J3
7,1,0.0,0.8358,1.0041,0.1683,-0.3252,-0.2884
7,2,0.0,0.9291,1.1918,0.2627,-0.1766,-0.025
7,3,0.0,0.5132,0.7654,0.2522,-0.2787,-0.1868
7,4,0.0,1.7527,2.1133,0.3606,1.3552,1.6985
7,5,0.0,1.3716,1.3716,0.0,0.7358,0.9391
7,6,0.0,1.9363,1.9363,0.0,1.2176,1.2176
7,7,0.0,-0.0,0.9024,0.9024,0.2914,0.9303
7,8,0.0,0.8167,0.8167,0.0,0.1147,0.3146
7,9,0.0,1.9219,1.9219,0.0,1.607,1.607
7,10,0.0,-0.0,0.5917,0.5917,0.5,0.7992
7,11,0.0,0.5226,0.8343,0.3117,-0.022,0.1028
7,12,0.0,0.5304,1.0848,0.5544,-0.1465,0.2648
7,13,0.0,-0.0,0.3912,0.3912,-0.2832,-0.164
7,14,0.0,1.0862,1.8407,0.7545,0.2691,1.0096
7,15,0.0,0.6998,0.6998,0.0,-0.1414,0.1655
7,16,0.0,1.2366,1.9301,0.6935,0.2889,1.1054
7,17,0.0,-0.0,0.6194,0.6194,-0.115,0.2565
7,18,0.0,1.2419,1.2419,0.0,0.6788,0.7432
7,19,0.0,1.8329,2.1604,0.3275,0.952,1.2527
7,20,0.0,1.1181,1.1181,0.0,0.4279,0.5298
7,21,0.0,1.2917,1.8074,0.5157,0.4246,0.9205
7,22,0.0,-0.0,0.3095,0.3095,-0.0999,-0.0464
7,23,0.0,0.8659,1.6767,0.8108,0.1781,1.0111
7,24,0.0,1.9183,1.9183,0.0,1.3877,1.4354
7,25,0.0,1.2304,1.5852,0.3548,0.5966,0.8311
42,1,0.0,0.8204,1.1313,0.3109,-0.3406,-0.1612
42,2,0.0,1.288,1.6187,0.3307,0.2761,0.48
42,3,0.0,1.1582,1.5284,0.3702,0.406,0.6164
42,4,0.0,0.7345,0.7345,0.0,-0.1087,0.0071
42,5,0.0,0.6396,1.2415,0.6019,-0.0792,0.4846
42,6,0.0,1.0351,1.2375,0.2024,0.1742,0.2951
42,7,0.0,1.2155,1.8248,0.6093,0.2929,0.9364
42,8,0.0,-0.0,0.5665,0.5665,-0.0765,0.2283
42,9,0.0,1.1488,1.4838,0.335,0.5489,0.725
42,10,0.0,-0.0,0.2975,0.2975,-0.0999,-0.0887
42,11,0.0,1.0263,1.4015,0.3752,0.194,0.4456
42,12,0.0,1.1181,1.5134,0.3953,0.3763,0.6123
42,13,0.0,0.8405,1.3603,0.5198,-0.0584,0.3064
42,14,0.0,0.7345,1.0892,0.3547,-0.2294,0.0251
42,15,0.0,1.5466,2.0458,0.4992,0.7058,1.3622
42,16,0.0,1.0613,1.0613,0.0,0.3562,0.745
42,17,0.0,-0.0,0.8113,0.8113,-0.1286,0.5188
42,18,0.0,0.3228,0.978,0.6552,-0.2963,0.1625
42,19,0.0,1.8352,1.8352,0.0,1.3114,1.4895
42,20,0.0,-0.0,0.5226,0.5226,0.2133,0.638
42,21,0.0,1.4832,1.4832,0.0,0.7853,0.8302
42,22,0.0,1.8879,2.2925,0.4046,0.9417,1.4184
42,23,0.0,1.2419,1.2419,0.0,0.586,0.7436
42,24,0.0,1.0583,1.3372,0.2789,0.1509,0.3416
42,25,0.0,0.9056,1.6895,0.7839,0.1119,0.9115
55,1,0.0,0.8141,1.0574,0.2433,-0.3469,-0.2351
55,2,0.0,0.489,0.5836,0.0946,-0.5666,-0.5729
55,3,0.0,0.6784,0.6784,0.0,-0.1792,-0.1598
55,4,0.0,1.1596,1.8078,0.6482,0.3332,1.0771
55,5,0.0,0.8031,0.8031,0.0,0.1978,0.3568
55,6,0.0,1.571,2.1219,0.5509,0.7186,1.3168
55,7,0.0,-0.0,0.65,0.65,-0.0137,0.3646
55,8,0.0,0.6998,0.6998,0.0,-0.0354,0.0874
55,9,0.0,0.5907,0.8795,0.2888,-0.1635,0.0129
55,10,0.0,1.5,1.9591,0.4591,0.9926,1.3516
55,11,0.0,1.5219,1.9219,0.4,1.2035,1.5052
55,12,0.0,1.7652,1.7652,0.0,1.1806,1.2477
55,13,0.0,1.352,1.8811,0.5291,0.3648,0.8991
55,14,0.0,-0.0,0.5226,0.5226,-0.0827,0.1613
55,15,0.0,1.4855,1.8464,0.3609,1.0434,1.249
55,16,0.0,1.2871,1.8774,0.5903,0.8039,1.242
55,17,0.0,1.5003,1.9183,0.418,0.5112,0.8338
55,18,0.0,1.2467,1.4942,0.2475,0.623,0.7266
55,19,0.0,1.523,1.523,0.0,0.6115,0.6548
55,20,0.0,1.3605,1.7843,0.4238,0.2844,0.7366
55,21,0.0,-0.0,-0.0,0.0,-0.0765,0.0015
55,22,0.0,1.2075,1.8962,0.6887,0.4179,1.1616
55,23,0.0,0.6998,0.6998,0.0,-0.0856,0.1514
55,24,0.0,1.2917,1.8074,0.5157,0.3572,0.8883
55,25,0.0,1.6764,2.0606,0.3842,0.6626,0.9157
123,1,0.0,0.6997,1.0465,0.3468,-0.4613,-0.246
123,2,0.0,1.1059,1.3114,0.2055,0.0788,0.1629
123,3,0.0,0.569,0.9414,0.3724,-0.2237,-0.0034
123,4,0.0,1.1221,1.685,0.5629,0.3209,0.7778
123,5,0.0,0.549,0.549,0.0,-0.2458,-0.0657
123,6,0.0,1.5262,1.9501,0.4239,0.9467,1.3474
123,7,0.0,1.4949,1.4949,0.0,1.1562,1.1882
123,8,0.0,1.9591,2.1887,0.2296,1.1289,1.3461
123,9,0.0,0.5665,0.5665,0.0,0.4244,0.5788
123,10,0.0,1.3216,1.6137,0.2921,0.527,0.7326
123,11,0.0,1.2917,1.6267,0.335,0.2046,0.4109
123,12,0.0,1.1918,1.6166,0.4248,0.1092,0.4112
123,13,0.0,0.4138,0.8167,0.4029,-0.0931,0.107
123,14,0.0,1.9785,2.1493,0.1708,1.5035,1.5519
123,15,0.0,0.9056,0.9056,0.0,0.4684,0.5224
123,16,0.0,-0.0,0.684,0.684,-0.1713,0.3285
123,17,0.0,0.9,1.4082,0.5082,0.037,0.4157
123,18,0.0,0.4972,0.4972,0.0,-0.2952,-0.1654
123,19,0.0,1.8078,2.2569,0.4491,1.1033,1.5687
123,20,0.0,-0.0,0.5033,0.5033,0.0788,0.3297
123,21,0.0,1.1488,1.1488,0.0,0.5489,0.6019
123,22,0.0,0.9219,0.9219,0.0,0.007,0.007
123,23,0.0,0.7732,1.1451,0.3719,0.0732,0.3422
123,24,0.0,0.9056,1.5546,0.649,-0.0153,0.5774
123,25,0.0,0.6402,0.6402,0.0,-0.0472,0.1047
314,1,0.0,0.7757,1.0729,0.2972,-0.3853,-0.2196
314,2,0.0,0.3612,0.8892,0.528,-0.4957,-0.1026
314,3,0.0,0.2762,0.549,0.2728,-0.29,-0.1957
314,4,0.0,1.571,1.961,0.39,0.8412,1.1228
314,5,0.0,1.75,1.75,0.0,0.6744,0.8214
314,6,0.0,-0.0,0.9457,0.9457,0.0579,0.8148
314,7,0.0,-0.0,-0.0,0.0,-0.5,-0.0404
314,8,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,9,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,10,0.0,-0.0,-0.0,0.0,-0.5,-0.5
314,11,0.0,-0.0,0.5665,0.5665,-0.5,0.0388
314,12,0.0,-0.0,0.8905,0.8905,-0.5,0.2786
314,13,0.0,-0.0,0.9612,0.9612,-0.5,0.2374
314,14,0.0,1.3716,1.6738,0.3022,0.6316,0.8806
314,15,0.0,1.0409,1.0409,0.0,0.3311,0.3853
314,16,0.0,0.3912,0.9913,0.6001,0.0109,0.4817
314,17,0.0,-0.0,-0.0,0.0,-0.3011,-0.1447
314,18,0.0,-0.0,0.469,0.469,-0.5,-0.0957
314,19,0.0,1.8464,2.2464,0.4,1.3145,1.6511
314,20,0.0,1.5466,1.5466,0.0,0.9107,1.0624
314,21,0.0,1.0892,1.6267,0.5375,0.3335,0.7971
314,22,0.0,0.8031,0.8031,0.0,0.0033,0.1493
