seed,rate,window,k_star,is_switch,J2,J3,J4,dJ34,dJ32,H2,H3,H4,dH32,dH43,none_ratio,mid_strong_ratio,n_C
7,0.0005,1,0,0,-0.8507,-0.7461,-0.7461,0.0,0.1046,0.1493,0.4148,0.4148,0.2655,0.0,0.9455,0.0091,110
7,0.0005,2,3,1,-0.2801,0.0687,0.0687,0.0,0.3488,0.6806,1.135,1.135,0.4544,0.0,0.8261,0.0725,69
7,0.0005,3,3,0,0.518,0.9063,0.8972,-0.0091,0.3883,1.4372,1.9369,2.0298,0.4997,0.0929,0.6667,0.1905,42
7,0.0005,4,4,0,0.3925,0.6066,0.6282,0.0216,0.2141,1.4838,1.4838,1.4838,0.0,0.0,0.7857,0.2143,14
7,0.0005,2,3,0,-0.2801,0.0687,0.0687,0.0,0.3488,0.6806,1.135,1.135,0.4544,0.0,0.8261,0.0725,69
7,0.0005,3,3,0,0.518,0.9063,0.8972,-0.0091,0.3883,1.4372,1.9369,2.0298,0.4997,0.0929,0.6667,0.1905,42
7,0.0005,4,4,1,0.3925,0.6066,0.6282,0.0216,0.2141,1.4838,1.4838,1.4838,0.0,0.0,0.7857,0.2143,14
7,0.0005,5,2,0,0.0526,0.0526,0.0526,0.0,0.0,1.0583,1.0583,1.0583,0.0,0.0,0.8947,0.1053,19
7,0.0005,6,4,0,-0.288,-0.0986,0.0334,0.132,0.1894,0.7654,1.0144,1.0144,0.249,0.0,0.8696,0.087,23
7,0.0005,3,3,0,0.518,0.9063,0.8972,-0.0091,0.3883,1.4372,1.9369,2.0298,0.4997,0.0929,0.6667,0.1905,42
7,0.0005,4,4,0,0.3925,0.6066,0.6282,0.0216,0.2141,1.4838,1.4838,1.4838,0.0,0.0,0.7857,0.2143,14
7,0.0005,5,2,1,0.0526,0.0526,0.0526,0.0,0.0,1.0583,1.0583,1.0583,0.0,0.0,0.8947,0.1053,19
7,0.0005,6,4,0,-0.288,-0.0986,0.0334,0.132,0.1894,0.7654,1.0144,1.0144,0.249,0.0,0.8696,0.087,23
7,0.0005,7,3,0,-0.2383,0.6227,0.6227,0.0,0.861,-0.0,0.971,0.971,0.971,0.0,0.6,0.0,10
7,0.0005,4,4,0,0.3925,0.6066,0.6282,0.0216,0.2141,1.4838,1.4838,1.4838,0.0,0.0,0.7857,0.2143,14
7,0.0005,5,2,0,0.0526,0.0526,0.0526,0.0,0.0,1.0583,1.0583,1.0583,0.0,0.0,0.8947,0.1053,19
7,0.0005,6,4,1,-0.288,-0.0986,0.0334,0.132,0.1894,0.7654,1.0144,1.0144,0.249,0.0,0.8696,0.087,23
7,0.0005,7,3,0,-0.2383,0.6227,0.6227,0.0,0.861,-0.0,0.971,0.971,0.971,0.0,0.6,0.0,10
7,0.0005,8,4,0,0.0637,0.3161,0.6512,0.3351,0.2524,0.7742,0.7742,1.232,0.0,0.4578,0.8947,0.1053,19
7,0.0005,5,2,0,0.0526,0.0526,0.0526,0.0,0.0,1.0583,1.0583,1.0583,0.0,0.0,0.8947,0.1053,19
7,0.0005,6,4,0,-0.288,-0.0986,0.0334,0.132,0.1894,0.7654,1.0144,1.0144,0.249,0.0,0.8696,0.087,23
7,0.0005,7,3,1,-0.2383,0.6227,0.6227,0.0,0.861,-0.0,0.971,0.971,0.971,0.0,0.6,0.0,10
7,0.0005,8,4,0,0.0637,0.3161,0.6512,0.3351,0.2524,0.7742,0.7742,1.232,0.0,0.4578,0.8947,0.1053,19
7,0.0005,9,4,0,1.0601,1.0601,1.2636,0.2035,0.0,1.4591,1.4591,1.7925,0.0,0.3334,0.5,0.5,6
7,0.0005,6,4,0,-0.288,-0.0986,0.0334,0.132,0.1894,0.7654,1.0144,1.0144,0.249,0.0,0.8696,0.087,23
7,0.0005,7,3,0,-0.2383,0.6227,0.6227,0.0,0.861,-0.0,0.971,0.971,0.971,0.0,0.6,0.0,10
7,0.0005,8,4,1,0.0637,0.3161,0.6512,0.3351,0.2524,0.7742,0.7742,1.232,0.0,0.4578,0.8947,0.1053,19
7,0.0005,9,4,0,1.0601,1.0601,1.2636,0.2035,0.0,1.4591,1.4591,1.7925,0.0,0.3334,0.5,0.5,6
7,0.0005,10,4,0,0.7731,0.9981,1.0218,0.0237,0.225,1.0409,1.4183,1.4183,0.3774,0.0,0.75,0.1667,12
7,0.0005,12,4,0,1.1655,1.4464,1.6694,0.223,0.2809,1.8554,2.1887,2.4591,0.3333,0.2704,0.5,0.3333,12
7,0.0005,13,4,0,0.3652,0.5445,0.5623,0.0178,0.1793,1.1401,1.1401,1.1401,0.0,0.0,0.8824,0.1176,17
7,0.0005,14,3,1,0.4212,0.9894,0.9894,0.0,0.5682,1.4412,1.9477,1.9477,0.5065,0.0,0.65,0.2,20
7,0.0005,15,3,0,0.087,0.2128,0.2128,0.0,0.1258,0.5436,0.5436,0.5436,0.0,0.0,0.875,0.125,16
7,0.0005,16,2,0,0.029,0.029,0.029,0.0,0.0,0.8167,0.8167,0.8167,0.0,0.0,0.9167,0.0833,12
7,0.0005,14,3,0,0.4212,0.9894,0.9894,0.0,0.5682,1.4412,1.9477,1.9477,0.5065,0.0,0.65,0.2,20
7,0.0005,15,3,0,0.087,0.2128,0.2128,0.0,0.1258,0.5436,0.5436,0.5436,0.0,0.0,0.875,0.125,16
7,0.0005,16,2,1,0.029,0.029,0.029,0.0,0.0,0.8167,0.8167,0.8167,0.0,0.0,0.9167,0.0833,12
7,0.0005,17,3,0,0.343,0.8767,0.8767,0.0,0.5337,1.2917,1.8074,1.8074,0.5157,0.0,0.7143,0.1429,14
7,0.0005,18,3,0,-0.0999,0.0069,0.0069,0.0,0.1068,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,14
7,0.0005,15,3,0,0.087,0.2128,0.2128,0.0,0.1258,0.5436,0.5436,0.5436,0.0,0.0,0.875,0.125,16
7,0.0005,16,2,0,0.029,0.029,0.029,0.0,0.0,0.8167,0.8167,0.8167,0.0,0.0,0.9167,0.0833,12
7,0.0005,17,3,1,0.343,0.8767,0.8767,0.0,0.5337,1.2917,1.8074,1.8074,0.5157,0.0,0.7143,0.1429,14
7,0.0005,18,3,0,-0.0999,0.0069,0.0069,0.0,0.1068,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,14
7,0.0005,19,3,0,1.1012,1.4246,1.4246,0.0,0.3234,1.723,2.1029,2.1029,0.3799,0.0,0.6316,0.2632,19
42,0.0005,1,0,0,-0.7038,-0.652,-0.652,0.0,0.0518,0.2962,0.509,0.509,0.2128,0.0,0.9402,0.0256,117
42,0.0005,2,4,1,-0.0636,0.1363,0.1973,0.061,0.1999,0.8776,1.1983,1.1983,0.3207,0.0,0.85,0.0875,80
42,0.0005,3,3,0,-0.1866,-0.0083,-0.0083,0.0,0.1783,0.6998,1.0389,1.0389,0.3391,0.0,0.8667,0.0667,30
42,0.0005,4,3,0,-0.0771,0.2931,0.2931,0.0,0.3702,0.6686,1.1863,1.1863,0.5177,0.0,0.8125,0.0625,16
42,0.0005,1,0,0,-0.7038,-0.652,-0.652,0.0,0.0518,0.2962,0.509,0.509,0.2128,0.0,0.9402,0.0256,117
42,0.0005,2,4,0,-0.0636,0.1363,0.1973,0.061,0.1999,0.8776,1.1983,1.1983,0.3207,0.0,0.85,0.0875,80
