seed,plb,rate,quiet,dom_k,k_dist,switches,switch_rate_per100,first_half_dom,second_half_dom,stable,n_windows,elapsed
123,0.007,0.0,5000,3,"{'0': 7, '1': 2, '3': 16}",7,7.0,3,3,True,25,24.8
1337,0.007,0.0,5000,3,"{'0': 2, '1': 5, '3': 17, '2': 1}",7,7.0,3,3,True,25,25.0
2024,0.007,0.0,5000,3,"{'0': 7, '3': 14, '1': 4}",8,8.0,0,3,False,25,25.2
314,0.007,0.0,5000,3,"{'0': 7, '1': 5, '2': 3, '3': 10}",13,13.0,3,3,True,25,25.4
42,0.007,0.0,5000,3,"{'0': 3, '1': 7, '3': 14, '2': 1}",8,8.0,1,3,False,25,25.3
456,0.007,0.0,5000,3,"{'0': 4, '1': 3, '3': 17, '2': 1}",11,11.0,3,3,True,25,25.0
55,0.007,0.0,5000,3,"{'3': 18, '0': 3, '1': 3, '2': 1}",9,9.0,3,3,True,25,25.1
7,0.007,0.0,5000,3,"{'0': 5, '1': 6, '3': 13, '2': 1}",10,10.0,0,3,False,25,24.8
789,0.007,0.0,5000,3,"{'0': 3, '1': 6, '3': 16}",8,8.0,1,3,False,25,24.8
999,0.007,0.0,5000,3,"{'0': 2, '3': 14, '1': 7, '2': 2}",9,9.0,3,3,True,25,24.9
123,0.007,0.0005,5000,3,"{'0': 1, '1': 6, '4': 5, '3': 12, '2': 1}",13,13.0,1,3,False,25,25.2
1337,0.007,0.0005,5000,3,"{'0': 4, '1': 5, '2': 1, '3': 12, '4': 3}",13,13.0,3,3,True,25,25.1
2024,0.007,0.0005,5000,3,"{'0': 1, '3': 15, '4': 2, '1': 6, '2': 1}",9,9.0,3,3,True,25,24.9
314,0.007,0.0005,5000,3,"{'0': 3, '3': 15, '4': 4, '2': 1, '1': 2}",11,11.0,3,3,True,25,26.3
42,0.007,0.0005,5000,3,"{'1': 4, '3': 15, '4': 4, '0': 2}",11,11.0,3,3,True,25,25.9
456,0.007,0.0005,5000,3,"{'0': 6, '1': 3, '3': 16}",7,7.0,0,3,False,25,25.8
55,0.007,0.0005,5000,3,"{'0': 4, '1': 6, '3': 13, '4': 2}",10,10.0,3,3,True,25,25.6
7,0.007,0.0005,5000,3,"{'0': 8, '3': 10, '1': 4, '4': 3}",8,8.0,0,3,False,25,25.5
789,0.007,0.0005,5000,3,"{'0': 5, '4': 4, '3': 12, '1': 2, '2': 2}",9,9.0,3,3,True,25,25.9
999,0.007,0.0005,5000,3,"{'1': 6, '0': 4, '4': 5, '3': 10}",12,12.0,1,3,False,25,25.4
123,0.007,0.001,5000,3,"{'0': 1, '1': 6, '4': 6, '3': 11, '2': 1}",12,12.0,1,3,False,25,25.2
1337,0.007,0.001,5000,3,"{'0': 3, '4': 6, '1': 4, '3': 12}",9,9.0,3,3,True,25,24.9
2024,0.007,0.001,5000,3,"{'0': 2, '4': 8, '3': 15}",8,8.0,3,3,True,25,25.0
314,0.007,0.001,5000,3,"{'0': 3, '3': 9, '4': 7, '2': 2, '1': 4}",13,13.0,3,4,False,25,26.5
42,0.007,0.001,5000,3,"{'1': 5, '3': 8, '4': 8, '0': 3, '2': 1}",13,13.0,4,1,False,25,25.4
456,0.007,0.001,5000,3,"{'0': 3, '1': 6, '3': 12, '4': 4}",9,9.0,3,3,True,25,25.5
55,0.007,0.001,5000,4,"{'0': 1, '1': 4, '3': 7, '4': 11, '2': 2}",14,14.0,3,4,False,25,25.7
7,0.007,0.001,5000,4,"{'0': 2, '4': 10, '1': 4, '2': 2, '3': 7}",15,15.0,4,4,True,25,25.4
789,0.007,0.001,5000,3,"{'0': 2, '4': 10, '3': 11, '1': 1, '2': 1}",10,10.0,3,4,False,25,25.3
999,0.007,0.001,5000,1,"{'1': 9, '4': 7, '3': 7, '0': 2}",14,14.0,1,4,False,25,25.6
123,0.007,0.002,5000,4,"{'0': 2, '4': 15, '1': 2, '3': 6}",13,13.0,4,4,True,25,25.3
1337,0.007,0.002,5000,4,"{'0': 3, '4': 12, '1': 3, '3': 7}",10,10.0,3,4,False,25,25.2
2024,0.007,0.002,5000,3,"{'0': 2, '4': 7, '3': 10, '1': 6}",9,9.0,4,3,False,25,27.4
314,0.007,0.002,5000,4,"{'0': 1, '4': 15, '3': 6, '1': 2, '2': 1}",14,14.0,4,4,True,25,25.6
42,0.007,0.002,5000,4,"{'1': 1, '3': 7, '4': 15, '0': 2}",8,8.0,3,4,False,25,25.3
456,0.007,0.002,5000,3,"{'0': 3, '1': 4, '3': 9, '4': 8, '2': 1}",12,12.0,3,4,False,25,25.3
55,0.007,0.002,5000,4,"{'0': 3, '4': 16, '3': 3, '1': 3}",13,13.0,4,4,True,25,25.1
7,0.007,0.002,5000,4,"{'0': 5, '4': 13, '1': 4, '2': 2, '3': 1}",11,11.0,0,4,False,25,25.3
789,0.007,0.002,5000,4,"{'0': 3, '4': 10, '3': 9, '1': 3}",13,13.0,4,4,True,25,25.4
999,0.007,0.002,5000,4,"{'1': 5, '4': 12, '3': 7, '2': 1}",13,13.0,1,4,False,25,25.5
123,0.007,0.005,5000,4,"{'0': 1, '4': 23, '1': 1}",3,3.0,4,4,True,25,25.3
1337,0.007,0.005,5000,4,"{'4': 18, '3': 7}",6,6.0,4,4,True,25,24.8
2024,0.007,0.005,5000,4,"{'0': 2, '4': 18, '2': 1, '1': 1, '3': 3}",9,9.0,4,4,True,25,25.2
314,0.007,0.005,5000,4,"{'0': 1, '3': 3, '4': 21}",6,6.0,4,4,True,25,25.3
42,0.007,0.005,5000,4,"{'1': 1, '3': 2, '4': 22}",4,4.0,4,4,True,25,25.9
456,0.007,0.005,5000,4,"{'0': 3, '1': 1, '4': 20, '3': 1}",6,6.0,4,4,True,25,25.3
55,0.007,0.005,5000,4,"{'0': 3, '4': 18, '3': 3, '1': 1}",11,11.0,4,4,True,25,25.6
7,0.007,0.005,5000,4,"{'4': 20, '0': 3, '3': 2}",6,6.0,4,4,True,25,25.1
789,0.007,0.005,5000,4,"{'0': 1, '1': 1, '4': 19, '3': 4}",8,8.0,4,4,True,25,25.8
999,0.007,0.005,5000,4,"{'0': 1, '3': 2, '4': 22}",4,4.0,4,4,True,25,25.5
123,0.008,0.0,5000,3,"{'1': 6, '2': 4, '0': 1, '3': 14}",7,7.0,1,3,False,25,26.3
1337,0.008,0.0,5000,3,"{'0': 4, '3': 15, '2': 1, '1': 5}",10,10.0,3,3,True,25,26.3
2024,0.008,0.0,5000,3,"{'0': 2, '2': 5, '3': 13, '1': 5}",10,10.0,3,3,True,25,26.4
314,0.008,0.0,5000,3,"{'0': 2, '1': 6, '3': 17}",9,9.0,3,3,True,25,26.2
42,0.008,0.0,5000,3,"{'3': 21, '1': 4}",7,7.0,3,3,True,25,26.9
456,0.008,0.0,5000,3,"{'0': 6, '3': 14, '1': 4, '2': 1}",13,13.0,3,3,True,25,26.5
55,0.008,0.0,5000,3,"{'0': 1, '1': 10, '3': 13, '2': 1}",5,5.0,1,3,False,25,26.5
7,0.008,0.0,5000,3,"{'0': 2, '3': 22, '1': 1}",5,5.0,3,3,True,25,26.6
789,0.008,0.0,5000,3,"{'3': 17, '1': 5, '2': 3}",10,10.0,3,3,True,25,26.9
999,0.008,0.0,5000,3,"{'0': 2, '3': 20, '2': 1, '1': 2}",5,5.0,3,3,True,25,26.4
123,0.008,0.0005,5000,3,"{'3': 19, '1': 4, '4': 2}",6,6.0,3,3,True,25,27.0
1337,0.008,0.0005,5000,3,"{'0': 2, '3': 13, '1': 3, '4': 7}",13,13.0,3,3,True,25,26.6
2024,0.008,0.0005,5000,3,"{'0': 4, '1': 4, '3': 14, '4': 3}",11,11.0,0,3,False,25,26.5
314,0.008,0.0005,5000,3,"{'0': 3, '3': 15, '1': 5, '4': 2}",14,14.0,3,3,True,25,26.8
42,0.008,0.0005,5000,3,"{'0': 1, '3': 20, '4': 4}",5,5.0,3,3,True,25,26.8
456,0.008,0.0005,5000,3,"{'3': 15, '1': 6, '4': 2, '2': 1, '0': 1}",9,9.0,3,3,True,25,26.7
55,0.008,0.0005,5000,3,"{'0': 1, '1': 4, '3': 15, '4': 5}",8,8.0,3,3,True,25,26.8
7,0.008,0.0005,5000,3,"{'3': 13, '1': 4, '2': 4, '4': 4}",13,13.0,3,3,True,25,26.7
789,0.008,0.0005,5000,3,"{'1': 2, '3': 14, '4': 8, '2': 1}",10,10.0,3,4,False,25,26.6
999,0.008,0.0005,5000,3,"{'1': 2, '4': 2, '3': 17, '2': 4}",11,11.0,3,3,True,25,26.4
123,0.008,0.001,5000,3,"{'3': 14, '1': 5, '4': 5, '0': 1}",8,8.0,3,3,True,25,26.7
1337,0.008,0.001,5000,4,"{'0': 1, '3': 10, '1': 2, '4': 12}",9,9.0,4,4,True,25,26.7
2024,0.008,0.001,5000,3,"{'0': 4, '1': 3, '3': 9, '4': 7, '2': 2}",15,15.0,4,3,False,25,26.6
314,0.008,0.001,5000,3,"{'0': 2, '3': 13, '1': 2, '4': 8}",12,12.0,3,4,False,25,26.9
42,0.008,0.001,5000,4,"{'0': 1, '1': 3, '4': 18, '3': 3}",10,10.0,4,4,True,25,26.6
456,0.008,0.001,5000,3,"{'3': 15, '1': 5, '4': 4, '0': 1}",10,10.0,3,3,True,25,26.5
55,0.008,0.001,5000,3,"{'0': 1, '1': 4, '4': 8, '3': 11, '2': 1}",14,14.0,1,3,False,25,27.3
7,0.008,0.001,5000,4,"{'3': 10, '1': 2, '4': 13}",12,12.0,4,4,True,25,26.4
789,0.008,0.001,5000,3,"{'1': 1, '4': 8, '3': 15, '2': 1}",11,11.0,3,3,True,25,27.1
999,0.008,0.001,5000,3,"{'1': 4, '3': 12, '4': 7, '2': 2}",13,13.0,3,3,True,25,27.0
123,0.008,0.002,5000,3,"{'3': 9, '1': 6, '4': 9, '2': 1}",11,11.0,4,3,False,25,26.4
1337,0.008,0.002,5000,4,"{'4': 14, '3': 7, '1': 3, '0': 1}",12,12.0,4,4,True,25,26.8
