seed,rate,window,J3,H3,none_ratio,mid_share,strong_share,weak_share,n_C
7,0.0,1,-0.2884,1.0041,0.887,0.0435,0.0435,0.0261,115
7,0.0,2,-0.025,1.1918,0.8571,0.0317,0.0635,0.0476,63
7,0.0,3,-0.1868,0.7654,0.8696,0.0435,0.0435,0.0435,23
7,0.0,4,1.6985,2.1133,0.3333,0.1111,0.3333,0.2222,9
7,0.0,5,0.9392,1.3716,0.8125,0.0625,0.125,0.0,16
7,0.0,7,0.9303,0.9024,0.6818,0.0,0.0,0.3182,22
7,0.0,8,0.3146,0.8167,0.9167,0.0833,0.0,0.0,12
7,0.0,10,0.7992,0.5917,0.8571,0.0,0.0,0.1429,7
7,0.0,11,0.1028,0.8343,0.8235,0.0,0.1176,0.0588,17
7,0.0,12,0.2648,1.0848,0.8182,0.0455,0.0,0.1364,22
7,0.0,13,-0.1639,0.3912,0.9231,0.0,0.0,0.0769,13
7,0.0,14,1.0096,1.8407,0.5652,0.087,0.0435,0.3043,23
7,0.0,15,0.1655,0.6998,0.9333,0.0667,0.0,0.0,15
7,0.0,16,1.1054,1.9301,0.6,0.0667,0.0667,0.2667,15
7,0.0,17,0.2565,0.6194,0.8462,0.0,0.0,0.1538,13
7,0.0,18,0.7432,1.2419,0.8,0.2,0.0,0.0,15
7,0.0,19,1.2527,2.1604,0.5714,0.2381,0.0952,0.0952,21
7,0.0,20,0.5298,1.1181,0.8636,0.1364,0.0,0.0,22
7,0.0,21,0.9205,1.8074,0.6429,0.0714,0.1429,0.1429,14
7,0.0,22,-0.0463,0.3095,0.9444,0.0,0.0,0.0556,18
7,0.0,23,1.0112,1.6767,0.5455,0.0,0.0909,0.3636,11
7,0.0,24,1.4354,1.9183,0.5,0.3333,0.1667,0.0,6
7,0.0,25,0.8311,1.5852,0.7692,0.0385,0.1154,0.0769,26
42,0.0,1,-0.1611,1.1313,0.839,0.0593,0.0424,0.0593,118
42,0.0,2,0.48,1.6187,0.7674,0.093,0.0698,0.0698,86
42,0.0,3,0.6164,1.5284,0.75,0.0,0.1667,0.0833,24
42,0.0,4,0.0071,0.7345,0.9286,0.0,0.0714,0.0,14
42,0.0,5,0.4846,1.2415,0.76,0.08,0.0,0.16,25
42,0.0,6,0.2951,1.2375,0.8276,0.1379,0.0,0.0345,29
42,0.0,7,0.9365,1.8248,0.6316,0.1579,0.0,0.2105,19
42,0.0,8,0.2283,0.5665,0.8667,0.0,0.0,0.1333,15
42,0.0,9,0.7251,1.4838,0.7857,0.1429,0.0,0.0714,14
42,0.0,10,-0.0887,0.2975,0.9474,0.0,0.0,0.0526,19
42,0.0,11,0.4456,1.4015,0.8,0.04,0.08,0.08,25
42,0.0,12,0.6123,1.5134,0.7727,0.1364,0.0,0.0909,22
42,0.0,13,0.3064,1.3603,0.7826,0.087,0.0,0.1304,23
42,0.0,14,0.0252,1.0892,0.8571,0.0714,0.0,0.0714,14
42,0.0,15,1.3623,2.0458,0.3077,0.0769,0.1538,0.4615,13
42,0.0,16,0.745,1.0613,0.875,0.125,0.0,0.0,8
42,0.0,17,0.5188,0.8113,0.75,0.0,0.0,0.25,8
42,0.0,18,0.1625,0.978,0.7647,0.0,0.0588,0.1765,17
42,0.0,19,1.4896,1.8352,0.3571,0.0714,0.2857,0.2857,14
42,0.0,20,0.638,0.5226,0.8824,0.0,0.0,0.1176,17
42,0.0,21,0.8303,1.4832,0.7895,0.1579,0.0526,0.0,19
42,0.0,22,1.4184,2.2925,0.5,0.1667,0.1667,0.1667,12
42,0.0,23,0.7436,1.2419,0.8,0.0,0.2,0.0,15
42,0.0,24,0.3417,1.3372,0.8421,0.0526,0.0526,0.0526,19
42,0.0,25,0.9115,1.6895,0.5333,0.1333,0.0,0.3333,15
55,0.0,1,-0.2351,1.0574,0.8814,0.0339,0.0424,0.0424,118
55,0.0,3,-0.1598,0.6784,0.913,0.087,0.0,0.0,23
55,0.0,4,1.0771,1.8078,0.5882,0.1765,0.0,0.2353,17
55,0.0,5,0.3568,0.8031,0.8889,0.0,0.1111,0.0,18
55,0.0,6,1.3168,2.1219,0.6,0.1,0.1,0.2,10
55,0.0,7,0.3646,0.65,0.8333,0.0,0.0,0.1667,12
55,0.0,8,0.0874,0.6998,0.9333,0.0667,0.0,0.0,15
55,0.0,9,0.0129,0.8795,0.8947,0.0,0.0526,0.0526,19
55,0.0,10,1.3517,1.9591,0.5833,0.25,0.0,0.1667,12
55,0.0,11,1.5053,1.9219,0.2,0.2,0.4,0.2,5
55,0.0,12,1.2478,1.7652,0.7222,0.1667,0.1111,0.0,18
55,0.0,13,0.8991,1.8811,0.6923,0.0769,0.0769,0.1538,13
55,0.0,14,0.1613,0.5226,0.8824,0.0,0.0,0.1176,17
55,0.0,15,1.2491,1.8464,0.6,0.0,0.3,0.1,10
55,0.0,16,1.242,1.8774,0.5714,0.2143,0.0,0.2143,14
55,0.0,17,0.8338,1.9183,0.6111,0.2222,0.0556,0.1111,18
55,0.0,18,0.7266,1.4942,0.7619,0.0,0.1905,0.0476,21
55,0.0,19,0.6548,1.523,0.7895,0.1053,0.1053,0.0,19
55,0.0,20,0.7366,1.7843,0.7368,0.0526,0.1053,0.1053,19
55,0.0,21,0.0015,-0.0,1.0,0.0,0.0,0.0,9
55,0.0,22,1.1617,1.8962,0.5833,0.0833,0.0833,0.25,12
55,0.0,23,0.1514,0.6998,0.9333,0.0667,0.0,0.0,15
55,0.0,24,0.8883,1.8074,0.7143,0.0714,0.0714,0.1429,14
55,0.0,25,0.9157,2.0606,0.6552,0.1379,0.1034,0.1034,29
123,0.0,1,-0.246,1.0465,0.8547,0.0171,0.0598,0.0684,117
123,0.0,2,0.163,1.3114,0.8372,0.0581,0.0698,0.0349,86
123,0.0,3,-0.0033,0.9414,0.875,0.05,0.0,0.075,40
123,0.0,4,0.7778,1.685,0.6667,0.1667,0.0,0.1667,18
123,0.0,5,-0.0657,0.549,0.9524,0.0476,0.0,0.0,21
123,0.0,6,1.3474,1.9501,0.5385,0.3077,0.0,0.1538,13
123,0.0,7,1.1882,1.4949,0.5455,0.0,0.4545,0.0,11
123,0.0,8,1.3461,2.1887,0.4167,0.1667,0.25,0.1667,12
123,0.0,9,0.5788,0.5665,0.8667,0.1333,0.0,0.0,15
123,0.0,10,0.7326,1.6137,0.7647,0.0588,0.1176,0.0588,17
123,0.0,11,0.4109,1.6267,0.7857,0.0714,0.0714,0.0714,14
123,0.0,12,0.4113,1.6166,0.75,0.1,0.05,0.1,20
123,0.0,13,0.107,0.8167,0.8333,0.0833,0.0,0.0833,12
123,0.0,14,1.5519,2.1493,0.4737,0.2632,0.2105,0.0526,19
123,0.0,15,0.5224,0.9056,0.8667,0.1333,0.0,0.0,15
123,0.0,16,0.3286,0.684,0.8182,0.0,0.0,0.1818,11
123,0.0,17,0.4157,1.4082,0.75,0.0417,0.0833,0.125,24
123,0.0,18,-0.1654,0.4972,0.9583,0.0417,0.0,0.0,24
123,0.0,19,1.5687,2.2569,0.5294,0.1176,0.1765,0.1765,17
123,0.0,20,0.3297,0.5033,0.8889,0.0,0.0,0.1111,9
123,0.0,21,0.6019,1.1488,0.8571,0.0,0.1429,0.0,7
123,0.0,23,0.3422,1.1451,0.8462,0.0769,0.0,0.0769,13
123,0.0,24,0.5774,1.5546,0.6667,0.1333,0.0,0.2,15
123,0.0,25,0.1047,0.6402,0.9412,0.0,0.0588,0.0,17
314,0.0,1,-0.2196,1.0729,0.8519,0.0741,0.0185,0.0556,108
314,0.0,2,-0.1025,0.8892,0.8493,0.0274,0.0,0.1233,73
314,0.0,3,-0.1957,0.549,0.9048,0.0,0.0476,0.0476,21
314,0.0,4,1.1228,1.961,0.7,0.1,0.1,0.1,10
314,0.0,5,0.8214,1.75,0.75,0.125,0.125,0.0,8
314,0.0,6,0.8148,0.9457,0.6364,0.0,0.0,0.3636,11
314,0.0,7,-0.0404,-0.0,1.0,0.0,0.0,0.0,8
314,0.0,11,0.0388,0.5665,0.8667,0.0,0.0,0.1333,15
314,0.0,12,0.2786,0.8905,0.6923,0.0,0.0,0.3077,13
314,0.0,13,0.2375,0.9612,0.6154,0.0,0.0,0.3846,13
314,0.0,14,0.8806,1.6738,0.75,0.0625,0.125,0.0625,16
314,0.0,15,0.3853,1.0409,0.8333,0.1667,0.0,0.0,12
314,0.0,16,0.4817,0.9913,0.7692,0.0,0.0769,0.1538,13
314,0.0,17,-0.1447,-0.0,1.0,0.0,0.0,0.0,11
314,0.0,18,-0.0957,0.469,0.9,0.0,0.0,0.1,10
314,0.0,19,1.6512,2.2464,0.5,0.2,0.1,0.2,10
314,0.0,20,1.0624,1.5466,0.7222,0.0,0.2778,0.0,18
314,0.0,21,0.7971,1.6267,0.7143,0.0714,0.0714,0.1429,14
314,0.0,22,0.1493,0.8031,0.8889,0.1111,0.0,0.0,18
314,0.0,23,1.1624,1.9,0.625,0.2083,0.0,0.1667,24
314,0.0,24,0.5689,0.8631,0.7143,0.0,0.0,0.2857,14
314,0.0,25,1.1376,1.5,0.75,0.0,0.25,0.0,4
456,0.0,1,-0.1289,1.1636,0.8679,0.0849,0.0189,0.0283,106
456,0.0,2,0.1124,1.1511,0.8286,0.1286,0.0,0.0429,70
456,0.0,3,-0.0933,0.7345,0.9286,0.0714,0.0,0.0,28
456,0.0,4,0.751,1.614,0.75,0.1667,0.0,0.0833,12
456,0.0,5,0.04,0.3912,0.9231,0.0,0.0,0.0769,13
456,0.0,6,-0.3011,-0.0,1.0,0.0,0.0,0.0,9
456,0.0,7,-0.2963,0.3228,0.9412,0.0,0.0,0.0588,17
456,0.0,8,1.8499,2.1714,0.2778,0.2778,0.2222,0.2222,18
456,0.0,9,0.9421,1.1488,0.8571,0.0,0.1429,0.0,7
