seed,rate,window,n_C,k_star_D1,k_star_D2,J3_D1,J3_D2,J4_D1,J4_D2,H3_D1,H3_D2,H2_D1,dH32_D1,dH32_D2,dJ34_D1,none_ratio,mid_share,strong_share,weak_share,none_D2,weak_D2,mid_D2,strong_D2
7,0.0,1,115,3,3,-0.2884,-0.2884,-0.2884,-0.2884,1.0041,1.0041,0.8358,0.1683,0.1683,0.0,0.887,0.0435,0.0435,0.0261,102,3,5,5
7,0.0,2,63,3,3,-0.025,-0.025,-0.025,-0.025,1.1918,1.1918,0.9291,0.2627,0.2627,0.0,0.8571,0.0317,0.0635,0.0476,54,3,2,4
7,0.0,3,23,3,3,-0.1868,-0.1868,-0.1868,-0.1868,0.7654,0.7654,0.5132,0.2522,0.2522,0.0,0.8696,0.0435,0.0435,0.0435,20,1,1,1
7,0.0,4,9,3,3,1.6985,1.6985,1.6985,1.6985,2.1133,2.1133,1.7527,0.3606,0.3606,0.0,0.3333,0.1111,0.3333,0.2222,3,2,1,3
7,0.0,5,16,3,3,0.9392,0.9392,0.9392,0.9392,1.3716,1.3716,1.3716,0.0,0.0,0.0,0.8125,0.0625,0.125,0.0,13,0,1,2
7,0.0,6,16,2,2,1.2176,1.2176,1.2176,1.2176,1.9363,1.9363,1.9363,0.0,0.0,0.0,0.5625,0.1875,0.25,0.0,9,0,3,4
7,0.0,7,22,3,3,0.9303,0.9303,0.9303,0.9303,0.9024,0.9024,-0.0,0.9024,0.9024,0.0,0.6818,0.0,0.0,0.3182,15,7,0,0
7,0.0,8,12,3,3,0.3146,0.3146,0.3146,0.3146,0.8167,0.8167,0.8167,0.0,0.0,0.0,0.9167,0.0833,0.0,0.0,11,0,1,0
7,0.0,9,5,2,2,1.6071,1.6071,1.6071,1.6071,1.9219,1.9219,1.9219,0.0,0.0,0.0,0.4,0.4,0.2,0.0,2,0,2,1
7,0.0,10,7,3,3,0.7992,0.7992,0.7992,0.7992,0.5917,0.5917,-0.0,0.5917,0.5917,0.0,0.8571,0.0,0.0,0.1429,6,1,0,0
7,0.0,11,17,3,3,0.1028,0.1028,0.1028,0.1028,0.8343,0.8343,0.5226,0.3117,0.3117,0.0,0.8235,0.0,0.1176,0.0588,14,1,0,2
7,0.0,12,22,3,3,0.2648,0.2648,0.2648,0.2648,1.0848,1.0848,0.5304,0.5544,0.5544,0.0,0.8182,0.0455,0.0,0.1364,18,3,1,0
7,0.0,13,13,3,3,-0.1639,-0.1639,-0.1639,-0.1639,0.3912,0.3912,-0.0,0.3912,0.3912,0.0,0.9231,0.0,0.0,0.0769,12,1,0,0
7,0.0,14,23,3,3,1.0096,1.0096,1.0096,1.0096,1.8407,1.8407,1.0862,0.7545,0.7545,0.0,0.5652,0.087,0.0435,0.3043,13,7,2,1
7,0.0,15,15,3,3,0.1655,0.1655,0.1655,0.1655,0.6998,0.6998,0.6998,0.0,0.0,0.0,0.9333,0.0667,0.0,0.0,14,0,1,0
7,0.0,16,15,3,3,1.1054,1.1054,1.1054,1.1054,1.9301,1.9301,1.2366,0.6935,0.6935,0.0,0.6,0.0667,0.0667,0.2667,9,4,1,1
7,0.0,17,13,3,3,0.2565,0.2565,0.2565,0.2565,0.6194,0.6194,-0.0,0.6194,0.6194,0.0,0.8462,0.0,0.0,0.1538,11,2,0,0
7,0.0,18,15,3,3,0.7432,0.7432,0.7432,0.7432,1.2419,1.2419,1.2419,0.0,0.0,0.0,0.8,0.2,0.0,0.0,12,0,3,0
7,0.0,19,21,3,3,1.2527,1.2527,1.2527,1.2527,2.1604,2.1604,1.8329,0.3275,0.3275,0.0,0.5714,0.2381,0.0952,0.0952,12,2,5,2
7,0.0,20,22,3,3,0.5298,0.5298,0.5298,0.5298,1.1181,1.1181,1.1181,0.0,0.0,0.0,0.8636,0.1364,0.0,0.0,19,0,3,0
7,0.0,21,14,3,3,0.9205,0.9205,0.9205,0.9205,1.8074,1.8074,1.2917,0.5157,0.5157,0.0,0.6429,0.0714,0.1429,0.1429,9,2,1,2
7,0.0,22,18,3,3,-0.0463,-0.0463,-0.0463,-0.0463,0.3095,0.3095,-0.0,0.3095,0.3095,0.0,0.9444,0.0,0.0,0.0556,17,1,0,0
7,0.0,23,11,3,3,1.0112,1.0112,1.0112,1.0112,1.6767,1.6767,0.8659,0.8108,0.8108,0.0,0.5455,0.0,0.0909,0.3636,6,4,0,1
7,0.0,24,6,3,3,1.4354,1.4354,1.4354,1.4354,1.9183,1.9183,1.9183,0.0,0.0,0.0,0.5,0.3333,0.1667,0.0,3,0,2,1
7,0.0,25,26,3,3,0.8311,0.8311,0.8311,0.8311,1.5852,1.5852,1.2304,0.3548,0.3548,0.0,0.7692,0.0385,0.1154,0.0769,20,2,1,3
42,0.0,1,118,3,3,-0.1611,-0.1611,-0.1611,-0.1611,1.1313,1.1313,0.8204,0.3109,0.3109,0.0,0.839,0.0593,0.0424,0.0593,99,7,7,5
42,0.0,2,86,3,3,0.48,0.48,0.48,0.48,1.6187,1.6187,1.288,0.3307,0.3307,0.0,0.7674,0.093,0.0698,0.0698,66,6,8,6
42,0.0,3,24,3,3,0.6164,0.6164,0.6164,0.6164,1.5284,1.5284,1.1582,0.3702,0.3702,0.0,0.75,0.0,0.1667,0.0833,18,2,0,4
42,0.0,4,14,3,3,0.0071,0.0071,0.0071,0.0071,0.7345,0.7345,0.7345,0.0,0.0,0.0,0.9286,0.0,0.0714,0.0,13,0,0,1
42,0.0,5,25,3,3,0.4846,0.4846,0.4846,0.4846,1.2415,1.2415,0.6396,0.6019,0.6019,0.0,0.76,0.08,0.0,0.16,19,4,2,0
42,0.0,6,29,3,3,0.2951,0.2951,0.2951,0.2951,1.2375,1.2375,1.0351,0.2024,0.2024,0.0,0.8276,0.1379,0.0,0.0345,24,1,4,0
42,0.0,7,19,3,3,0.9365,0.9365,0.9365,0.9365,1.8248,1.8248,1.2155,0.6093,0.6093,0.0,0.6316,0.1579,0.0,0.2105,12,4,3,0
42,0.0,8,15,3,3,0.2283,0.2283,0.2283,0.2283,0.5665,0.5665,-0.0,0.5665,0.5665,0.0,0.8667,0.0,0.0,0.1333,13,2,0,0
42,0.0,9,14,3,3,0.7251,0.7251,0.7251,0.7251,1.4838,1.4838,1.1488,0.335,0.335,0.0,0.7857,0.1429,0.0,0.0714,11,1,2,0
42,0.0,10,19,3,3,-0.0887,-0.0887,-0.0887,-0.0887,0.2975,0.2975,-0.0,0.2975,0.2975,0.0,0.9474,0.0,0.0,0.0526,18,1,0,0
42,0.0,11,25,3,3,0.4456,0.4456,0.4456,0.4456,1.4015,1.4015,1.0263,0.3752,0.3752,0.0,0.8,0.04,0.08,0.08,20,2,1,2
42,0.0,12,22,3,3,0.6123,0.6123,0.6123,0.6123,1.5134,1.5134,1.1181,0.3953,0.3953,0.0,0.7727,0.1364,0.0,0.0909,17,2,3,0
42,0.0,13,23,3,3,0.3064,0.3064,0.3064,0.3064,1.3603,1.3603,0.8405,0.5198,0.5198,0.0,0.7826,0.087,0.0,0.1304,18,3,2,0
42,0.0,14,14,3,3,0.0252,0.0252,0.0252,0.0252,1.0892,1.0892,0.7345,0.3547,0.3547,0.0,0.8571,0.0714,0.0,0.0714,12,1,1,0
42,0.0,15,13,3,3,1.3623,1.3623,1.3623,1.3623,2.0458,2.0458,1.5466,0.4992,0.4992,0.0,0.3077,0.0769,0.1538,0.4615,4,6,1,2
42,0.0,16,8,3,3,0.745,0.745,0.745,0.745,1.0613,1.0613,1.0613,0.0,0.0,0.0,0.875,0.125,0.0,0.0,7,0,1,0
42,0.0,17,8,3,3,0.5188,0.5188,0.5188,0.5188,0.8113,0.8113,-0.0,0.8113,0.8113,0.0,0.75,0.0,0.0,0.25,6,2,0,0
42,0.0,18,17,3,3,0.1625,0.1625,0.1625,0.1625,0.978,0.978,0.3228,0.6552,0.6552,0.0,0.7647,0.0,0.0588,0.1765,13,3,0,1
42,0.0,19,14,3,3,1.4896,1.4896,1.4896,1.4896,1.8352,1.8352,1.8352,0.0,0.0,0.0,0.3571,0.0714,0.2857,0.2857,5,4,1,4
42,0.0,20,17,3,3,0.638,0.638,0.638,0.638,0.5226,0.5226,-0.0,0.5226,0.5226,0.0,0.8824,0.0,0.0,0.1176,15,2,0,0
42,0.0,21,19,3,3,0.8303,0.8303,0.8303,0.8303,1.4832,1.4832,1.4832,0.0,0.0,0.0,0.7895,0.1579,0.0526,0.0,15,0,3,1
42,0.0,22,12,3,3,1.4184,1.4184,1.4184,1.4184,2.2925,2.2925,1.8879,0.4046,0.4046,0.0,0.5,0.1667,0.1667,0.1667,6,2,2,2
42,0.0,23,15,3,3,0.7436,0.7436,0.7436,0.7436,1.2419,1.2419,1.2419,0.0,0.0,0.0,0.8,0.0,0.2,0.0,12,0,0,3
42,0.0,24,19,3,3,0.3417,0.3417,0.3417,0.3417,1.3372,1.3372,1.0583,0.2789,0.2789,0.0,0.8421,0.0526,0.0526,0.0526,16,1,1,1
