seed,rate,window,from_k,to_k,dJ34,dH34,none_ratio,mid_share,strong_share,frac_hit
7,0.0,6,3,2,0.0,0.0,0.5625,0.1875,0.25,0.0
7,0.0,7,2,3,0.0,0.0,0.6818,0.0,0.0,0.0
7,0.0,9,3,2,0.0,0.0,0.4,0.4,0.2,0.0
7,0.0,10,2,3,0.0,0.0,0.8571,0.0,0.0,0.0
55,0.0,2,3,0,0.0,0.0,0.9506,0.0247,0.0123,0.0
55,0.0,3,0,3,0.0,0.0,0.913,0.087,0.0,0.0
123,0.0,22,3,2,0.0,0.0,0.9,0.0,0.1,0.0
123,0.0,23,2,3,0.0,0.0,0.8462,0.0769,0.0,0.0
314,0.0,8,3,0,0.0,0.0,1.0,0.0,0.0,0.0
314,0.0,11,0,3,0.0,0.0,0.8667,0.0,0.0,0.0
456,0.0,18,3,2,0.0,0.0,0.8667,0.0,0.1333,0.0
456,0.0,19,2,3,0.0,0.0,0.8929,0.0357,0.0,0.0
456,0.0,23,3,0,0.0,0.0,1.0,0.0,0.0,0.0
456,0.0,24,0,2,0.0,0.0,0.75,0.25,0.0,0.0
456,0.0,25,2,3,0.0,0.0,0.7333,0.2,0.0,0.0
789,0.0,7,3,2,0.0,0.0,0.8,0.0,0.2,0.0
789,0.0,8,2,1,0.0,0.0,1.0,0.0,0.0,0.0
789,0.0,9,1,3,0.0,0.0,0.7059,0.1176,0.1176,0.0
789,0.0,25,3,2,0.0,0.0,0.9565,0.0435,0.0,0.0
999,0.0,20,3,0,0.0,0.0,1.0,0.0,0.0,0.0
999,0.0,21,0,3,0.0,0.0,0.7619,0.0,0.0,0.0
1337,0.0,9,3,2,0.0,0.0,0.6,0.15,0.25,0.0
1337,0.0,10,2,3,0.0,0.0,0.8,0.0,0.1333,0.0
1337,0.0,25,3,2,0.0,0.0,0.7273,0.0909,0.1818,0.0
2024,0.0,14,3,2,0.0,0.0,0.9167,0.0833,0.0,0.0
2024,0.0,15,2,3,0.0,0.0,0.6471,0.1176,0.0588,0.0
2024,0.0,24,3,2,0.0,0.0,0.875,0.0625,0.0625,0.0
2024,0.0,25,2,3,0.0,0.0,0.7273,0.0,0.0909,0.0
7,0.0005,2,0,3,0.0,0.0,0.8261,0.0145,0.058,0.0
7,0.0005,4,3,4,0.0216,0.0,0.7857,0.0714,0.1429,0.0
7,0.0005,5,4,2,0.0,0.0,0.8947,0.0526,0.0526,0.0
7,0.0005,6,2,4,0.132,0.0,0.8696,0.0435,0.0435,0.0435
7,0.0005,7,4,3,0.0,0.0,0.6,0.0,0.0,0.0
7,0.0005,8,3,4,0.3351,0.4578,0.8947,0.1053,0.0,0.1579
