rate,seed,window,from_k,to_k,dH3,dH4,d_none,d_hit,margin_before,margin_after,d_dr3,d_dr4
0.0005,7,3,3,4,-0.4531,-0.546,0.119,-0.0238,-0.0091,0.0216,0.0218,0.0342
0.0005,7,4,4,3,-0.4255,-0.4255,0.109,0.0,0.0216,0.0,-0.1284,-0.15
0.0005,7,5,3,4,-0.0439,-0.0439,-0.0251,0.0435,0.0,0.132,0.0242,0.1562
0.0005,7,6,4,3,-0.0434,-0.0434,-0.2696,-0.0435,0.132,0.0,0.2647,0.1327
0.0005,7,7,3,4,-0.1968,0.261,0.2947,0.1579,0.0,0.3351,0.0977,0.136
0.0005,7,13,4,3,0.8076,0.8076,-0.2324,0.0,0.0178,0.0,-0.2312,-0.249
0.0005,42,1,3,4,0.6893,0.6893,-0.0902,-0.0171,0.0,0.061,,
0.0005,42,2,4,3,-0.1594,-0.1594,0.0167,0.0,0.061,0.0,-0.1168,-0.1778
0.0005,42,13,3,4,1.1799,1.1799,-0.2937,0.1538,0.0,0.1247,0.0203,0.145
0.0005,42,16,4,3,-1.3007,-1.3007,0.1326,0.0,0.0868,0.0,0.2624,0.1756
0.0005,42,18,3,4,-0.145,-0.0398,0.0,0.0526,0.0,0.0509,-0.2169,-0.1397
0.0005,42,20,4,3,0.7333,0.7333,-0.2,0.0,0.0597,0.0,0.0224,-0.0373
0.0005,42,21,3,4,-0.9183,-0.485,0.0,0.1111,0.0,0.2574,0.3663,0.3979
0.0005,42,23,4,3,-1.0664,-1.2482,0.1189,-0.0909,0.0897,0.0,-0.0585,-0.0979
0.0005,55,1,3,4,0.1916,0.168,-0.0214,-0.0171,-0.0876,0.0715,,
0.0005,55,2,4,3,0.7036,0.7036,-0.1179,0.0,0.0715,0.0,0.1211,0.0496
0.0005,55,6,3,4,0.5825,0.7491,0.0577,0.0833,0.0,0.0555,-0.0791,-0.0791
0.0005,55,8,4,3,-0.0473,-0.0473,0.05,0.0,0.0559,0.0,0.0936,0.0377
0.0005,55,17,3,4,1.5466,1.8811,-0.3077,0.1538,0.0,0.2586,0.1894,0.245
0.0005,55,19,4,3,-0.0737,-0.0737,-0.0745,0.0,0.1168,0.0,-0.0945,-0.2113
0.0005,55,22,3,4,0.0801,0.2229,0.2699,0.0714,0.0,0.0748,-0.3591,-0.2957
0.0005,55,23,4,3,-1.6106,-1.7534,0.2857,-0.0714,0.0748,0.0,-0.134,-0.1974
0.0005,123,10,3,4,-0.5341,-0.1996,0.0923,0.1538,0.0,0.3436,-0.1385,0.0022
0.0005,123,12,4,3,1.6135,1.6135,-0.3158,0.0,0.0556,0.0,0.0265,-0.0291
0.0005,123,15,3,4,-1.3055,-0.9422,0.3831,0.0714,0.0,0.1751,-0.0536,-0.0342
0.0005,123,17,4,3,-0.558,-0.558,0.1018,0.0,0.0346,0.0,-0.1332,-0.1678
0.0005,123,20,3,4,1.3363,1.6313,-0.483,0.2102,0.0,0.1919,0.4393,0.4474
0.0005,123,21,4,3,-2.0049,-2.2999,0.5455,-0.2727,0.1919,0.0,0.1544,0.1463
0.0005,314,2,3,4,0.1864,0.4752,-0.0524,0.1111,0.0,0.3887,-0.1913,0.0402
0.0005,314,4,4,3,0.9338,0.9338,-0.0808,0.0,0.0565,0.0,0.0617,0.0052
0.0005,314,9,3,4,-0.3959,-0.136,-0.0647,0.05,0.0,0.0973,-0.1412,-0.0963
0.0005,314,11,4,3,-0.9214,-0.9214,0.1471,0.0,0.0104,0.0,-0.1319,-0.1423
0.0005,314,12,3,4,0.3181,0.4558,0.1529,0.05,0.0,0.0266,-0.101,-0.101
0.0005,314,14,4,3,-2.1281,-2.1281,0.4286,0.0,0.0538,0.0,0.3786,0.3248
0.0005,314,24,3,4,1.0371,1.1901,-0.1159,0.1111,0.0,0.0215,-0.1027,-0.1027
